"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2015;521,00;0;0;0;0;0
2015;524,00;90;76;167;0;0
2015;432,00;0;0;0;0;0
2015;19,00;106;87;196;3;0
2015;25,00;0;0;0;0;0
2015;26,00;0;0;0;0;0
2015;890,00;1195;313;1532;126;0
2015;904,00;439;121;559;20;0
2015;957,00;2917;737;3708;310;0
2015;939,00;1583;472;2103;182;0
2015;236,00;176;153;327;0;0
2015;735,00;2337;651;3033;272;0
2015;146,00;0;0;0;0;0
2015;363,00;0;0;0;0;0
2015;187,00;0;0;0;0;0
2015;265,00;0;0;0;0;0
2015;295,00;0;0;0;0;0
2015;496,00;728;120;830;21;0
2015;77,00;0;0;0;0;0
2015;391,00;0;0;0;0;0
2015;240,00;172;63;172;3;0
2015;448,00;64;27;91;1;0
2015;151,00;0;0;0;0;0
2015;425,00;33;31;64;0;0
2015;300,00;0;0;0;0;0
2015;339,00;269;104;380;13;0
2015;826,00;0;0;0;0;0
2015;874,00;364;127;494;24;0
2015;905,00;2012;540;2622;248;0
2015;736,00;2511;756;3359;220;0
2015;459,00;0;0;0;0;0
2015;320,00;0;0;0;0;0
2015;45,00;0;0;0;0;0
2015;618,00;356;103;460;14;0
2015;463,00;0;0;0;0;0
2015;891,00;253;234;487;10;0
2015;958,00;720;248;983;81;0
2015;244,00;0;2;2;0;0
2015;28,00;0;0;0;0;0
2015;444,00;0;0;0;0;0
2015;479,00;0;0;0;0;0
2015;285,00;65;43;111;5;0
2015;253,00;1103;476;1675;162;0
2015;481,00;229;130;355;17;0
2015;540,00;320;153;436;25;0
2015;332,00;0;0;0;0;0
2015;41,00;0;0;0;0;0
2015;510,00;0;0;0;0;0
2015;305,00;0;0;0;0;0
2015;708,00;801;260;1061;48;0
2015;755,00;4897;1479;6484;586;0
2015;750,00;2345;682;3085;265;
2015;696,00;2187;665;2870;240;0
2015;434,00;237;99;336;6;0
2015;421,00;0;0;0;0;0
2015;827,00;0;0;0;0;0
2015;933,00;0;0;0;0;0
2015;1030,00;541;417;958;81;0
2015;1003,00;0;0;0;0;0
2015;1050,00;0;0;0;0;0
2015;1043,00;1755;691;2514;146;0
2015;934,00;484;105;601;42;0
