"año";"NCODI";"primDiges_hosp";"totDiges_hosp";"primDigestivo_CEP";"totDigestivo_CEP";"primCardio_hosp";"totCardio_hosp";"primCardio_CEP";"totCardio_CEP";"primDerma_hosp";"totDerma_hosp";"primDerma_CEP";"totDerma_CEP";"primNeurolog_hosp";"totNeurolog_hosp";"primNeurolog_CEP";"totNeurolog_CEP";"primPsquia_hosp";"totPsquia_hosp";"primPsquia_CEP";"totPsquia_CEP";"primRestoMed_hosp";"totRestoMed_hosp";"primRestoMed_CEP";"totRestoMed_CEP";"primCirGeneral_hosp";"totCirGeneral_hosp";"primCirGeneral_CEP";"totCirGeneral_CEP";"primTrauma_hosp";"totTrauma_hosp";"primTrauma_CEP";"totTrauma_CEP";"primGine_hosp";"totGine_hosp";"primGine_CEP";"totGine_CEP";"primOftalmo_hosp";"totOftalmo_hosp";"primOftalmo_CEP";"totOftalmo_CEP";"primOrl_hosp";"totOrl_hosp";"primOrl_CEP";"totOrl_CEP";"primUrolog_hosp";"totUrolog_hosp";"primUrolog_CEP";"totUrolog_CEP";"primRestoQuirurg_hosp";"totRestoQuirurg_hosp";"primRestoQuirurg_CEP";"totRestoQuirurg_CEP";"primPediatria_hosp";"totPediatria_hosp";"primPediatria_CEP";"totPediatria_CEP";"primPreAnest_hosp";"totPreAnest_hosp";"primPreAnest_CEP";"totPreAnest_CEP";"primRehabil_hosp";"totRehabil_hosp";"primRehabil_CEP";"totRehabil_CEP";"otrasTexto";"primOtrasConsul_hosp";"totOtrasConsul_hosp";"primOtrasConsul_CEP";"totOtrasConsul_CEP";"primTotal_hosp";"total_hosp";"primTotal_CEP";"total_CEP"
2015;260,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;838,00;720;1280;0;0;1414;1674;0;0;7578;7583;0;0;0;0;0;0;0;0;0;0;;;0;0;5068;6040;0;0;8836;15784;0;0;1019;1661;0;0;0;0;0;0;0;0;0;0;4985;6954;0;0;0;0;0;0;1356;5442;0;0;64;80;0;0;0;0;0;0;"Otros";0;0;0;0;31040;46498;0;0
2015;839,00;113;160;0;0;75;84;0;0;101;121;0;0;11;11;0;0;13;14;0;0;854;1178;0;0;111;135;0;0;799;1239;0;0;457;553;0;0;96;101;0;0;116;140;0;0;148;179;0;0;0;0;0;0;727;888;0;0;288;288;0;0;0;0;0;0;"Otros";0;0;0;0;3909;5091;0;0
2015;851,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622;1859;0;0;0;0;0;0;175;175;0;0;0;0;0;0;"Otros";0;0;0;0;797;2034;0;0
2015;852,00;1178;9197;341;2116;1551;9652;336;2224;7574;19218;3861;10642;1779;10887;404;2610;143;1669;2890;35609;10860;134371;5190;29676;2831;7469;369;455;13191;37965;545;2218;2056;17161;6958;21945;6410;25329;5132;19439;5561;23462;1120;3463;2769;20652;913;3663;11633;42612;13569;23790;2751;11409;105;799;19695;19698;0;0;256;487;6796;13373;"Otros";97;234;1507;5958;90335;391472;50036;177980
2015;988,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;1056,00;2126;12260;2182;6485;4907;9978;1900;4467;6566;12740;6318;9870;4110;9673;1610;5880;85;87;0;0;11644;52717;4286;13799;4810;12532;2697;5365;9406;34189;7517;14682;3290;8569;2967;6313;10136;23928;6144;15137;4622;12514;3784;6633;3762;14200;1406;2542;5762;13301;4368;7953;4345;10553;0;0;11364;14670;0;0;5159;11998;2304;4868;"Otros";927;15891;0;0;93021;269800;47483;103994
2015;1044,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;1114,00;385;1291;272;1009;591;961;335;864;1225;1895;2410;3859;554;1467;445;1514;6;102;0;0;3521;8748;484;2029;1508;3042;0;0;2742;7488;2308;3448;180;561;1408;2089;10;1193;3776;6930;1695;2484;1374;1893;775;2092;0;0;0;0;0;0;0;0;0;0;1654;1654;0;0;1962;3288;0;930;"Otros";0;0;0;0;16808;36266;12812;24565
2015;644,00;3288;13850;1098;2893;3425;9031;1089;2003;3276;8267;8787;19634;4177;9221;0;0;3525;38776;0;0;16984;68046;4075;9877;3584;8579;617;1486;2611;25279;16573;19486;5294;22617;7076;17158;8240;29304;16203;19317;4081;12289;4504;8258;2507;13025;2350;7710;5866;17709;0;0;1540;8436;0;0;6927;16009;5208;5529;3498;8418;1977;6358;"Otros";0;0;0;0;78823;308856;69557;119709
2015;752,00;2921;9783;3104;8817;14;3072;4335;10185;7823;18427;5055;7975;931;5071;3002;22033;391;6391;3488;8184;14470;74318;3449;16136;1734;4362;2446;6083;5776;28635;12183;17370;3521;16746;8319;20712;6324;38068;8606;11837;5256;16194;2859;7433;118;4966;3670;15533;9252;23914;0;0;2325;17372;0;0;10309;10534;519;519;157;767;6984;17032;"Otros";0;0;0;0;71322;278620;68019;169849
2015;238,00;960;1090;0;0;910;999;0;0;220;360;0;0;0;0;0;0;0;0;0;0;2650;4569;0;0;2540;3125;0;0;5580;7560;0;0;179;220;0;0;550;776;0;0;410;456;0;0;1986;3560;0;0;0;0;0;0;4560;8566;0;0;4980;4999;0;0;650;1350;0;0;"Otros";0;0;0;0;26175;37630;0;0
2015;325,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;24417;0;0;"Otros";21;198;0;0;245;25138;0;0
2015;622,00;1478;5196;0;0;901;3046;0;0;0;0;0;0;0;0;0;0;912;4856;0;0;3022;29404;0;0;1034;3345;0;0;4782;14526;0;0;2373;8664;0;0;4456;10227;0;0;2950;8708;0;0;1534;7386;0;0;0;0;0;0;322;2373;0;0;2291;2291;0;0;2375;5230;0;0;"Otros";0;0;0;0;28430;105252;0;0
2015;879,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1283;3720;0;0;15;41;0;0;312;665;0;0;0;0;0;0;3;3;0;0;3;3;0;0;1238;2721;0;0;82;117;0;0;2321;3832;0;0;232;232;0;0;1002;2215;0;0;"Otros";0;0;0;0;6491;13549;0;0
2015;906,00;18;43;0;0;1302;3010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6978;16336;0;0;1120;2766;0;0;5638;13022;0;0;15;34;0;0;62;143;0;0;40;92;0;0;1;2;0;0;1210;3164;0;0;2956;7115;0;0;3021;3021;0;0;242;492;0;0;"Otros";;;0;0;22603;49240;0;0
2015;370,00;0;0;0;0;16;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;334;1325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1554;3678;0;0;"Otros";0;0;0;0;1904;5207;0;0
2015;418,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;684;1236;0;0;0;0;0;0;0;0;0;0;2439;6192;0;0;0;0;0;0;93;1423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2175;2175;0;0;708;3282;0;0;"Otros";33;450;0;0;6132;14758;0;0
2015;574,00;0;0;0;0;0;0;0;0;149;324;0;0;0;0;0;0;0;0;0;0;742;2689;0;0;0;0;0;0;5398;12404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;331;789;0;0;2412;6966;0;0;"Otros";0;0;0;0;9032;23172;0;0
2015;399,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;991;0;0;168;505;0;0;2131;7609;0;0;0;0;0;0;0;0;0;0;440;1659;0;0;466;1628;0;0;275;1038;0;0;0;0;0;0;777;777;0;0;0;0;0;0;"Otros";0;0;0;0;4568;14207;0;0
2015;195,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;783,00;726;9544;5649;20434;937;8062;6290;22655;1257;8139;14680;29883;731;8424;5622;20239;1023;13523;0;0;10402;60838;11758;47830;1909;16087;7868;11276;2283;35795;20426;55241;882;11462;11297;48385;1368;34597;15920;52058;1234;12556;10363;23908;545;9661;6406;26387;5684;19891;1953;4233;2517;17173;0;0;10206;10773;0;0;1795;8782;9076;27362;"Otros";3894;13549;2400;7174;47393;298856;129708;397065
2015;263,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
