"año";"NCODI";"pacienteTot_hospDom";"visitaTot_hospDom"
2015;5,00;0;0
2015;234,00;0;0
2015;64,00;0;0
2015;842,00;347;4445
2015;843,00;255;4370
2015;803,00;0;0
2015;211,00;0;0
2015;773,00;0;0
2015;424,00;0;0
2015;298,00;0;0
2015;594,00;0;0
2015;237,00;0;0
2015;16,00;0;0
2015;768,00;0;0
2015;617,00;0;0
2015;297,00;0;0
2015;105,00;0;0
2015;544,00;0;0
2015;804,00;0;0
2015;104,00;0;0
2015;20,00;0;0
2015;550,00;342;3597
2015;112,00;0;0
2015;818,00;0;0
2015;882,00;0;0
2015;914,00;0;0
2015;928,00;0;0
2015;964,00;0;0
2015;1026,00;0;0
2015;1068,00;0;0
2015;1108,00;0;0
2015;404,00;195;1644
2015;274,00;0;0
2015;270,00;0;0
2015;676,00;0;0
2015;709,00;0;0
2015;754,00;0;0
2015;997,00;0;0
2015;734,00;4;8
2015;299,00;0;0
2015;645,00;0;0
2015;17,00;0;0
2015;1046,00;0;0
2015;420,00;0;0
2015;802,00;0;0
2015;266,00;0;0
2015;137,00;0;0
2015;769,00;0;0
2015;776,00;475;7093
2015;640,00;823;7110
2015;315,00;0;0
2015;40,00;0;0
2015;508,00;342;4370
2015;46,00;0;0
2015;590,00;919;15319
2015;777,00;1075;18188
2015;897,00;2357;26134
2015;965,00;0;0
2015;461,00;0;0
2015;376,00;0;0
2015;621,00;0;0
2015;793,00;378;911
2015;1102,00;0;0
2015;712,00;0;0
2015;32,00;0;0
2015;361,00;0;0
2015;486,00;0;0
2015;595,00;0;0
2015;433,00;0;0
2015;1058,00;0;0
2015;261,00;0;0
2015;730,00;0;0
2015;577,00;0;0
2015;788,00;0;0
2015;865,00;0;0
2015;979,00;0;0
2015;998,00;0;0
2015;221,00;0;0
2015;506,00;0;0
2015;727,00;228;1583
2015;355,00;0;0
2015;487,00;0;0
2015;938,00;0;0
2015;886,00;0;0
2015;835,00;0;0
2015;999,00;0;0
2015;798,00;1135;9692
2015;504,00;0;0
2015;247,00;0;0
2015;216,00;0;0
2015;654,00;141;392
2015;65,00;0;0
2015;472,00;0;0
2015;427,00;0;0
2015;491,00;0;0
2015;551,00;0;0
2015;106,00;0;0
2015;819,00;0;0
2015;836,00;0;0
2015;915,00;0;0
2015;942,00;0;0
2015;748,00;1665;24776
2015;198,00;0;0
2015;871,00;702;9188
2015;948,00;0;0
2015;1051,00;0;0
2015;1083,00;0;0
2015;1096,00;0;0
2015;679,00;569;8614
2015;176,00;0;0
2015;537,00;0;0
2015;608,00;258;6579
2015;596,00;0;0
2015;749,00;0;0
2015;758,00;256;509
2015;1104,00;1696;16631
2015;436,00;0;0
2015;567,00;0;0
2015;677,00;188;1685
2015;670,00;111;1791
2015;588,00;583;4676
2015;753,00;270;2723
2015;887,00;0;0
2015;245,00;0;0
2015;603,00;0;0
2015;426,00;0;0
2015;232,00;0;0
2015;288,00;0;0
2015;246,00;0;0
2015;284,00;0;0
2015;18,00;0;0
