"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2015;646,00;10923478;4677119;3020273;968510;2051763;1435145;1422350;368591;0;1110178;439114;671064;18015492;15098576;0;2916916;0;0;0;0;30049148
2015;536,00;7442260;3273984;2104235;674764;1429471;999871;990956;73214;0;745264;307380;437884;10937032;8950021;0;1981710;5301;0;0;0;19124556
2015;242,00;1107250;334755;498523;362844;135679;0;273972;0;-5392;2186908;57889;2129019;1864813;1459630;0;398627;6556;132615;80836;113656;5480686
2015;490,00;9873721;4081670;4065386;2762153;1303233;0;1621220;105445;11168;956898;414093;542805;15113385;11860915;993;3251477;0;74193;0;72297;26101662
2015;500,00;15383334;3907465;2931518;431672;2499846;6588816;1570904;384631;-233882;1466712;541730;924982;10019507;7929935;76342;1982484;30746;1540888;55203;498;28232260
2015;206,00;3640813;696584;66887;35344;31543;2582735;203940;90667;-10576;594812;113469;481343;3040709;2369740;75000;595969;0;387098;1363662;376884;9393402
2015;58,00;108342;27049;4891;0;4891;31321;0;45081;0;175273;27890;147383;705792;552945;0;152847;0;6542;5019;8109;1009077
2015;572,00;44230571;20217337;15769245;4790953;10978292;777710;6744593;721686;-830221;4299021;2027032;2271989;85665718;67368882;0;18135595;161241;0;0;0;133365089
2015;180,00;1513848;102113;440214;10881;429333;287641;500384;183496;-8552;1115285;102570;1012715;3839885;2919655;12282;879771;28177;196920;1315;40359;6699060
2015;549,00;6610889;2028912;2823392;691342;2132050;312056;1130847;315682;-24041;1155553;296213;859340;17855587;14445536;0;3409876;175;171586;0;28264;25797838
2015;582,00;9239131;3522448;3642511;1120440;2522071;0;1860330;213842;46267;1488518;370931;1117587;21937744;17695985;0;4241759;0;173335;0;26567;32911562
2015;743,00;62410663;39644129;14757487;14031810;725677;1959939;5537085;512023;12325810;7363896;2841785;4522111;102787966;81383409;0;21144680;259877;1202188;0;1810022;187900545
2015;795,00;4066402;417474;2193405;468674;1724731;702863;364318;388342;-34497;625892;241693;384199;9947267;7614029;6357;2300697;26184;475633;315;215052;15296064
2015;269,00;312475;60852;90495;17629;72866;0;161128;0;72732;820085;20000;800085;1045493;810345;0;234947;201;0;0;0;2250785
2015;634,00;8525927;2453513;2553297;684272;1869025;0;2812302;706815;209779;1533930;387368;1146562;22316605;17713880;0;4602725;0;1229623;0;10463;33826327
2015;1,00;3451442;741815;658602;0;658602;1913240;0;137785;-41484;1098712;108398;990314;2662600;2059354;0;603246;0;56076;0;120494;7347840
2015;717,00;15374267;8417675;4588497;1998313;2590184;0;2334268;33827;92845;2674868;1038071;1636797;57699495;46455548;0;11115014;128933;0;0;95739;75937214
2015;373,00;569238;374680;68347;0;68347;50322;67800;8089;4140;1378284;218475;1159809;4580342;3515091;0;1019708;45543;188470;9022;7607;6737103
2015;535,00;15453329;8586447;5935613;1890145;4045468;;634975;296294;156415;1993213;866061;1127152;35114851;28142857;0;6902050;69944;0;0;0;52717808
2015;824,00;180612710;88210058;75234571;25658802;49575769;8054109;4934938;4179034;2027808;17199829;8925494;8274335;238369756;187458652;29717;49809220;1072167;0;0;627653;438837756
2015;888,00;7640825;1925958;3380121;870051;2510070;378600;1796471;159675;-74260;1544924;565006;979918;17077736;13418954;26982;3631800;0;438593;0;301427;26929245
2015;902,00;68738;3660;3524;0;3524;15959;37789;7806;83;51331;18078;33253;334022;254765;83;76537;2637;22861;0;3496;480531
2015;968,00;111317;17557;35;0;35;0;25714;68011;0;412454;52400;360054;343232;276978;6672;58010;1572;123711;0;100772;1091486
2015;346,00;705520;52375;25766;0;25766;7463;498690;121226;6423;427385;257017;170368;3391704;2557832;0;801287;32585;448495;8346;310334;5298207
2015;27,00;4191839;590778;77970;0;77970;3900;3119814;399377;20658;1321073;572323;748750;8874999;6545073;40136;2035268;254522;1439286;16305;411801;16275961
2015;165,00;1072191;312582;133839;51;133788;0;587891;37879;14586;523848;54814;469034;1064148;835381;0;228767;0;89752;11458;91613;2867596
2015;956,00;40039621;21144524;13730734;1564461;12166273;2581213;0;2583150;-737605;9655839;1483019;8172820;73383202;60294056;0;12796254;292892;0;0;138681;122479738
2015;413,00;697018;100462;36012;0;36012;0;560544;0;0;75301;75301;0;1645318;1114581;0;530737;0;0;0;0;2417637
2015;149,00;1120987;256680;160710;19840;140870;687727;13458;2412;8676;436034;77004;359030;1148050;839932;43178;245817;19123;119362;0;1411;2834520
2015;612,00;14680706;2552874;3569101;1192896;2376205;6627694;1684131;246906;-160828;1335396;1243168;92228;10851878;8374462;0;2414099;63317;1164801;42094;438670;28352717
2015;559,00;2519403;619736;895460;352030;543430;0;822385;181822;6626;2442097;174326;2267771;2537096;1990719;39234;484294;22849;286713;;122014;7913949
2015;7,00;3048464;984367;436108;208107;228001;0;1627989;0;-17428;851360;104983;746377;2478975;1934994;55000;463559;25422;152645;0;145297;6659313
2015;283,00;19625429;2203207;2919637;878473;2041164;12775153;1311455;415977;-70189;2846151;368109;2478042;9222736;7249495;38385;1895360;39496;988156;113109;0;32725392
2015;37,00;42367;11770;2560;0;2560;0;28037;0;1943;396794;35052;361742;603322;485366;0;117956;0;46638;67436;0;1158500
