"año";"NCODI";"progAngioVasc_hosp";"urgeAngioVasc_hosp";"progAngioVasc_cma";"urgeAngioVasc_cma";"progAngioVasc_resto";"urgeAngioVasc_resto";"progAngioVasc_total";"urgeAngioVasc_total";"progCirCardio_hosp";"urgeCirCardio_hosp";"progCirCardio_cma";"urgeCirCardio_cma";"progCirCardio_resto";"urgeCirCardio_resto";"progCirCardio_total";"urgeCirCardio_total";"progCirGeneral_hosp";"urgeCirGeneral_hosp";"progCirGeneral_cma";"urgeCirGeneral_cma";"progCirGeneral_resto";"urgeCirGeneral_resto";"progCirGeneral_total";"urgeCirGeneral_total";"progMaxilo_hosp";"urgeMaxilo_hosp";"progMaxilo_cma";"urgeMaxilo_cma";"progMaxilo_resto";"urgeMaxilo_resto";"progMaxilo_total";"urgeMaxilo_total";"progCirPediat_hosp";"urgeCirPediat_hosp";"progCirPediat_cma";"urgeCirPediat_cma";"progCirPediat_resto";"urgeCirPediat_resto";"progCirPediat_total";"urgeCirPediat_total";"progPlastica_hosp";"urgePlastica_hosp";"progPlastica_cma";"urgePlastica_cma";"progPlastica_resto";"urgePlastica_resto";"progPlastica_total";"urgePlastica_total";"progToracica_hosp";"urgeToracica_hosp";"progToracica_cma";"urgeToracica_cma";"progToracica_resto";"urgeToracica_resto";"progToracica_total";"urgeToracica_total";"progDerma_hosp";"urgeDerma_hosp";"progDerma_cma";"urgeDerma_cma";"progDerma_resto";"urgeDerma_resto";"progDerma_total";"urgeDerma_total";"progGine_hosp";"urgeGine_hosp";"progGine_cma";"urgeGine_cma";"progGine_resto";"urgeGine_resto";"progGine_total";"urgeGine_total";"progCirNeuro_hosp";"urgeCirNeuro_hosp";"progCirNeuro_cma";"urgeCirNeuro_cma";"progCirNeuro_resto";"urgeCirNeuro_resto";"progCirNeuro_total";"urgeCirNeuro_total";"progOftalmo_hosp";"urgeOftalmo_hosp";"progOftalmo_cma";"urgeOftalmo_cma";"progOftalmo_resto";"urgeOftalmo_resto";"progOftalmo_total";"urgeOftalmo_total";"progORL_hosp";"urgeORL_hosp";"progORL_cma";"urgeORL_cma";"progORL_resto";"urgeORL_resto";"progORL_total";"urgeORL_total";"progTrauma_hosp";"urgeTrauma_hosp";"progTrauma_cma";"urgeTrauma_cma";"progTrauma_resto";"urgeTrauma_resto";"progTrauma_total";"urgeTrauma_total";"progUrolog_hosp";"urgeUrolog_hosp";"progUrolog_cma";"urgeUrolog_cma";"progUrolog_resto";"urgeUrolog_resto";"progUrolog_total";"urgeUrolog_total";"progOtrasCirugias_hosp";"urgeOtrasCirugias_hosp";"progOtrasCirugias_cma";"urgeOtrasCirugias_cma";"progOtrasCirugias_resto";"urgeOtrasCirugias_resto";"progOtrasCirugias_total";"urgeOtrasCirugias_total";"totalProg_hosp";"totalUrge_hosp";"totalProg_cma";"totalUrge_cma";"totalProg_resto";"totalUrge_resto";"total_programada";"total_urgente"
2015;380,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2015;716,00;12;12;65;0;1;0;78;12;0;0;0;0;0;0;0;0;1080;165;619;5;2044;0;3743;170;28;0;22;0;2;0;52;0;0;0;0;0;0;0;0;0;67;6;25;0;327;0;419;6;0;0;0;0;0;0;0;0;0;1;2;0;2114;0;2116;1;339;6;167;0;23;0;529;6;961;50;0;0;11;0;972;50;0;0;0;0;589;0;589;0;72;6;179;0;16;0;267;6;747;114;469;0;370;0;1586;114;560;35;223;0;462;0;1245;35;123;73;119;2;1068;0;1310;75;3989;468;1890;7;7027;0;12906;475
2015;534,00;293;15;141;0;0;0;434;15;36;26;3;0;0;0;39;26;1528;649;2255;10;0;0;3783;659;145;5;41;0;0;0;186;5;0;0;0;0;0;0;0;0;195;5;613;0;0;0;808;5;75;22;0;0;0;0;75;22;0;0;858;0;0;0;858;0;112;0;12;0;0;0;124;0;295;25;2;0;0;0;297;25;17;14;741;0;0;0;758;14;701;29;65;0;0;0;766;29;1072;73;291;0;0;0;1363;73;215;26;526;0;0;0;741;26;0;0;977;0;0;0;977;0;4684;889;6525;10;0;0;11209;899
2015;185,00;289;0;15;0;0;0;304;0;0;0;0;0;0;0;0;0;645;10;246;0;1919;0;2810;10;230;0;0;0;56;0;286;0;0;0;0;0;0;0;0;0;520;0;85;0;403;0;1008;0;0;0;0;0;0;0;0;0;0;0;0;0;335;0;335;0;131;0;27;0;32;0;190;0;38;0;0;0;0;0;38;0;332;0;1317;0;2452;0;4101;0;53;0;0;0;12;0;65;0;902;2;36;0;210;0;1148;2;1187;4;12;0;1425;0;2624;4;0;0;0;0;0;0;0;0;4327;16;1738;0;6844;0;12909;16
2015;258,00;102;0;36;0;0;0;138;0;71;3;4;0;0;0;75;3;1066;29;355;0;0;0;1421;29;108;4;63;0;0;0;171;4;0;0;0;0;0;0;0;0;1402;21;673;0;0;0;2075;21;10;1;0;0;0;0;10;1;0;0;57;0;0;0;57;0;65;3;50;0;0;0;115;3;503;8;4;0;0;0;507;8;153;1;575;0;0;0;728;1;48;1;11;0;0;0;59;1;966;49;243;0;0;0;1209;49;249;3;254;0;0;0;503;3;308;29;206;0;0;0;514;29;5051;152;2531;0;0;0;7582;152
2015;505,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;113;0;0;0;204;0;5;0;14;0;0;0;19;0;0;0;0;0;0;0;0;0;377;;648;0;0;0;1025;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;72;0;13;0;17;0;0;0;30;0;22;0;3;0;0;0;25;0;6;0;270;0;0;0;276;0;2;0;24;0;0;0;26;0;170;0;33;0;0;0;203;0;44;0;99;0;0;0;143;0;0;0;82;0;0;0;82;0;730;0;1375;0;0;0;2105;0
2015;268,00;48;0;43;0;3;0;94;0;63;0;0;0;0;0;63;0;607;0;28;0;2882;0;3517;0;35;0;15;0;12;0;62;0;0;0;0;0;0;0;0;0;199;0;99;0;149;0;447;0;43;0;0;0;0;0;43;0;0;0;0;0;510;0;510;0;126;0;66;0;8;0;200;0;894;0;92;0;16;0;1002;0;22;0;29;0;106;0;157;0;167;0;24;0;111;0;302;0;1203;0;210;0;1970;0;3383;0;410;0;57;0;925;0;1392;0;211;0;181;0;1117;0;1509;0;4028;0;844;0;7809;0;12681;0
2015;602,00;138;0;53;0;37;0;228;0;373;0;1;0;1;0;375;0;323;0;156;0;355;0;834;0;124;0;24;0;15;0;163;0;1;0;1;0;16;0;18;0;214;0;108;0;0;0;322;0;46;0;0;0;0;0;46;0;16;0;526;0;218;0;760;0;1055;0;278;0;621;0;1954;0;100;0;2;0;1;0;103;0;64;0;636;0;95;0;795;0;412;0;135;0;15;0;562;0;1246;0;302;0;106;0;1654;0;193;0;101;0;223;0;517;0;458;0;565;0;796;0;1819;0;4763;0;2888;0;2499;0;10150;0
2015;254,00;62;0;0;0;36;0;98;0;44;0;0;0;2;0;46;0;958;512;0;0;6925;53;7883;565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188;1;0;0;1312;0;1500;1;56;14;0;0;0;0;56;14;0;0;0;0;124;0;124;0;2037;119;0;0;825;79;2862;198;209;17;0;0;0;0;209;17;21;0;0;0;1245;37;1266;37;199;2;0;0;161;7;360;9;611;114;0;0;181;1;792;115;442;18;0;0;388;0;830;18;0;0;0;0;0;0;0;0;4827;797;0;0;11199;177;16026;974
2015;705,00;98;17;254;1;18;0;370;18;146;31;30;1;0;0;176;32;522;109;539;5;13;1;1074;115;38;1;270;0;6;0;314;1;46;23;181;1;12;1;239;25;179;1;498;6;16;0;693;7;28;2;3;1;0;0;31;3;0;0;1416;20;974;17;2390;37;349;45;457;40;20;6;826;91;179;17;33;0;1;0;213;17;71;0;1181;3;113;1;1365;4;341;23;966;9;13;3;1320;35;469;92;523;7;24;1;1016;100;479;23;592;4;15;0;1086;27;25;18;484;3;213;2;722;23;2970;402;7427;101;1438;32;11835;535
