"año";"NCODI";"pacienteTot_med";"sesionTot_med";"pacienteTot_psiquia";"sesionTot_psiquia";"pacienteTot_geria";"sesionTot_geria"
2014;113,00;0;0;15500;16979;0;0
2014;619,00;198;730;0;0;0;0
2014;163,00;0;0;0;0;0;0
2014;131,00;0;0;0;0;0;0
2014;375,00;0;0;0;0;0;0
2014;1090,00;15551;49970;850;3401;0;0
2014;764,00;1687;10926;3793;6462;147;246
2014;14,00;0;0;0;0;0;0
2014;657,00;1684;2352;0;0;0;0
2014;362,00;0;0;0;0;0;0
2014;989,00;351;1967;0;0;0;0
2014;990,00;475;2082;0;0;0;0
2014;680,00;38016;55879;0;0;0;0
2014;411,00;281;1559;0;0;0;0
2014;241,00;188;1067;0;0;0;0
2014;558,00;3525;63573;0;0;0;0
2014;167,00;0;0;0;0;0;0
2014;248,00;237;1310;0;0;0;0
2014;224,00;0;0;0;0;0;0
2014;591,00;4234;42343;0;0;0;0
2014;586,00;12082;40577;73;3015;0;0
2014;453,00;0;0;0;0;0;0
2014;145,00;0;0;0;0;0;0
2014;511,00;15179;17540;0;0;0;0
2014;530,00;4248;33233;0;0;0;0
2014;6,00;0;0;0;0;0;0
2014;161,00;0;0;0;0;0;0
2014;623,00;2435;10601;0;0;0;0
2014;489,00;0;0;0;0;0;0
2014;875,00;78;395;0;0;0;0
2014;940,00;0;0;0;0;0;0
2014;946,00;0;0;0;0;0;0
2014;1023,00;5552;51165;0;0;0;0
2014;1054,00;1361;10414;0;0;0;0
2014;1057,00;0;0;0;0;0;0
2014;1031,00;0;0;0;0;0;0
2014;1032,00;4946;41018;0;0;0;0
2014;1064,00;0;0;0;0;0;0
2014;226,00;0;0;0;0;0;0
2014;687,00;774;2707;105;2457;0;0
2014;745,00;4390;7552;1254;15624;0;0
2014;109,00;0;0;0;0;0;0
2014;808,00;0;0;51;4558;0;0
2014;971,00;949;1626;0;0;0;0
2014;128,00;0;0;0;0;0;0
2014;919,00;1552;9314;46;537;0;0
2014;725,00;4776;15380;0;0;0;0
2014;3,00;0;0;0;0;0;0
2014;306,00;0;0;0;0;0;0
2014;15,00;0;0;0;0;0;0
2014;264,00;0;0;0;0;0;0
2014;867,00;0;0;0;0;0;0
2014;910,00;601;4870;0;0;0;0
2014;1053,00;693;5764;0;0;0;0
2014;1055,00;6942;12411;0;0;0;0
2014;1081,00;0;0;0;0;0;0
2014;1099,00;0;0;0;0;0;0
2014;529,00;0;0;0;0;0;0
2014;345,00;0;0;0;0;0;0
2014;515,00;0;0;0;0;0;0
2014;174,00;0;0;0;0;0;0
2014;523,00;0;0;0;0;160;5376
2014;697,00;252;2271;7;7;0;0
2014;239,00;282;1068;0;0;0;0
2014;287,00;0;0;0;0;88;4699
2014;377,00;0;0;0;0;0;0
2014;692,00;826;4537;137;2788;0;0
2014;335,00;0;0;0;0;0;0
2014;435,00;0;0;0;0;0;0
2014;423,00;0;0;0;0;0;0
2014;351,00;0;0;0;0;0;0
2014;810,00;0;0;0;0;0;0
2014;830,00;6071;12368;0;0;0;0
2014;892,00;3044;27560;145;4729;0;0
2014;921,00;0;0;0;0;0;0
2014;991,00;0;0;0;0;0;0
2014;992,00;404;5116;112;4284;0;0
2014;993,00;2778;6985;44;2025;0;0
2014;1070,00;2798;11192;54;2056;0;0
2014;1095,00;0;0;0;0;0;0
2014;1094,00;31;31;0;0;0;0
2014;473,00;1672;3024;0;0;0;0
2014;663,00;8486;33874;83;2808;0;0
2014;552,00;1244;7399;0;0;0;0
2014;772,00;20443;83479;499;9949;114;7862
2014;568,00;0;0;0;0;0;0
2014;398,00;0;0;0;0;0;0
2014;394,00;0;0;0;0;0;0
2014;614,00;0;0;0;0;0;0
2014;235,00;0;0;0;0;0;0
2014;616,00;4876;6845;0;0;0;0
2014;267,00;0;0;0;0;0;0
2014;565,00;258;541;0;0;0;0
2014;220,00;150;4695;0;0;0;0
2014;278,00;0;0;0;0;0;0
2014;107,00;0;0;81;3965;106;13273
2014;711,00;18725;68965;1305;12239;0;0
2014;204,00;0;0;0;0;39;4888
2014;579,00;0;0;0;0;0;0
2014;348,00;471;16023;0;0;0;0
2014;766,00;843;2662;0;0;0;0
2014;761,00;0;0;47;3007;175;10543
2014;728,00;381;2402;0;0;0;0
2014;280,00;2893;3735;0;0;0;0
2014;222,00;166;856;0;0;0;0
2014;276,00;881;6917;0;0;0;0
2014;11,00;684;1288;5;9;0;0
2014;302,00;0;0;0;0;0;0
2014;682,00;5299;18626;0;0;0;0
2014;279,00;540;2564;0;0;0;0
2014;282,00;816;6339;0;0;0;0
2014;281,00;479;8355;0;0;0;0
2014;183,00;0;0;0;0;0;0
2014;610,00;0;0;0;0;0;0
2014;116,00;0;0;0;0;208;4918
2014;115,00;0;0;0;0;0;0
2014;114,00;0;0;0;0;0;0
2014;119,00;0;0;0;0;0;0
2014;770,00;7999;23751;63;2309;0;0
2014;583,00;232;8911;0;0;0;0
2014;136,00;0;0;0;0;217;12189
2014;469,00;1844;5122;0;0;22;3490
2014;642,00;301;1928;0;0;117;5069
2014;674,00;1653;8330;194;5226;0;0
2014;193,00;0;0;0;0;90;4132
2014;526,00;5436;21816;0;0;201;6592
2014;698,00;3899;32609;41;1684;0;0
2014;630,00;1568;5299;0;0;0;0
2014;124,00;0;0;0;0;194;7855
2014;364,00;0;0;0;0;174;8093
2014;439,00;275;1139;0;0;0;0
2014;570,00;5416;22427;208;4288;0;0
2014;123,00;0;0;0;0;319;14906
2014;310,00;0;0;230;12400;143;13096
2014;571,00;949;6068;0;0;0;0
2014;296,00;0;0;0;0;63;5461
2014;566,00;3089;8350;195;2725;0;0
2014;784,00;9173;43116;275;6002;239;4777
2014;102,00;0;0;99;3568;52;5187
2014;379,00;0;0;287;18142;0;0
2014;639,00;3687;8816;0;0;0;0
2014;457,00;1257;1499;0;0;0;0
2014;609,00;200;1860;23;2810;0;0
2014;101,00;0;0;0;0;46;4634
2014;454,00;753;2864;0;0;0;0
2014;318,00;0;0;56;3223;54;6289
2014;600,00;1608;14478;0;0;0;0
2014;545,00;4601;18215;51;4119;59;5832
