"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2014;635,00;0;1092888;0;1092888;0;1092888
2014;113,00;75900;0;0;0;0;75900
2014;619,00;29175;3321769;1470758;1851011;0;3350944
2014;163,00;1639;246747;0;246747;0;248386
2014;131,00;0;0;0;0;0;0
2014;375,00;25085;12439;0;12439;0;37524
2014;1090,00;909484;941332;0;941332;2525890;4376706
2014;764,00;0;610055;0;610055;0;610055
2014;14,00;0;25020;0;25020;0;25020
2014;657,00;0;125389;0;125389;0;125389
2014;362,00;0;434134;0;434134;0;434134
2014;989,00;0;82046;0;82046;0;82046
2014;990,00;0;94617;0;94617;0;94617
2014;680,00;0;1589390;0;1589390;0;1589390
2014;411,00;10836;1275938;0;1275938;0;1286774
2014;241,00;165357;1068004;0;1068004;0;1233361
2014;558,00;0;532893;0;532893;0;532893
2014;167,00;0;0;0;0;0;0
2014;248,00;204938;4683250;0;4683250;0;4888188
2014;224,00;112631;10762979;230072;10532907;0;10875610
2014;591,00;201397;555467;0;555467;0;756864
2014;586,00;0;860553;0;860553;0;860553
2014;453,00;0;15268;0;15268;0;15268
2014;145,00;0;0;0;0;0;0
2014;511,00;0;0;0;0;589478;589478
2014;530,00;0;5884920;5884920;0;0;5884920
2014;6,00;27961;268880;0;268880;0;296841
2014;161,00;0;25100;0;25100;0;25100
2014;623,00;0;912422;0;912422;0;912422
2014;489,00;0;0;0;0;0;0
2014;875,00;0;509224;0;509224;0;509224
2014;940,00;0;0;0;0;0;0
2014;946,00;34334;1344182;256615;1087567;0;1378516
2014;1023,00;310057;856305;0;856305;0;1166362
2014;1054,00;0;0;0;0;0;0
2014;1057,00;0;80000;0;80000;0;80000
2014;1031,00;0;92744;0;92744;0;92744
2014;1032,00;213791;580457;0;580457;0;794248
2014;1064,00;109578;101959;0;101959;0;211537
2014;226,00;7019;587255;0;587255;0;594274
2014;687,00;0;63835;0;63835;0;63835
2014;745,00;0;275813;0;275813;0;275813
2014;109,00;6550;526189;0;526189;0;532739
2014;808,00;0;988968;0;988968;0;988968
2014;971,00;13388;0;0;0;0;13388
2014;128,00;0;111871;0;111871;0;111871
2014;919,00;13231;163644;0;163644;0;176875
2014;725,00;0;66099;0;66099;0;66099
