"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2014;113,00;0;0;0;0;0
2014;619,00;16059;672;0;0;16731
2014;163,00;3039;13;0;0;3052
2014;131,00;0;0;0;0;0
2014;375,00;375;0;88;0;463
2014;1090,00;137428;21615;820;41;159904
2014;764,00;122679;16400;461;131;139671
2014;14,00;17360;574;387;4;18325
2014;657,00;28087;3267;366;26;31746
2014;362,00;15155;673;125;0;15953
2014;989,00;20622;2157;392;22;23193
2014;990,00;26819;3521;585;30;30955
2014;680,00;125380;18668;2406;79;146533
2014;411,00;33867;2979;86;5;36937
2014;241,00;30054;2708;34;5;32801
2014;558,00;37852;7658;363;61;45934
2014;167,00;2063;121;19;0;2203
2014;248,00;8811;2606;137;2;11556
2014;224,00;18813;1037;2;0;19852
2014;591,00;66995;11123;643;47;78808
2014;586,00;66338;12860;289;113;79600
2014;453,00;986;57;0;0;1043
2014;145,00;0;0;0;0;0
2014;511,00;65001;10553;665;71;76290
2014;530,00;57335;11922;392;71;69720
2014;6,00;21378;947;0;0;22325
2014;161,00;0;0;0;0;0
2014;623,00;71093;12838;702;70;84703
2014;489,00;213;65;8;0;286
2014;875,00;25585;2769;64;0;28418
2014;940,00;0;0;0;0;0
2014;946,00;27315;4990;78;7;32390
2014;1023,00;59382;12439;240;79;72140
2014;1054,00;45187;8259;176;75;53697
2014;1057,00;0;0;0;0;0
2014;1031,00;0;0;0;0;0
2014;1032,00;77210;9502;226;80;87018
2014;1064,00;11879;2382;21490;1;35752
2014;226,00;35954;1963;53;1;37971
2014;687,00;48930;5658;1032;94;55714
2014;745,00;131019;16872;1160;103;149154
2014;109,00;35957;2125;39;2;38123
2014;808,00;112755;10419;806;94;124074
2014;971,00;57786;589;2679;6;61060
2014;128,00;10799;674;0;0;11473
2014;919,00;31584;9362;285;41;41272
2014;725,00;121394;20455;0;93;141942
2014;3,00;0;0;0;0;0
2014;306,00;0;0;0;0;0
2014;15,00;7451;17;15;0;7483
2014;264,00;28057;2175;53;3;30288
2014;867,00;6622;0;0;0;6622
2014;910,00;33192;7436;648;44;41320
2014;1053,00;53154;9745;1160;56;64115
2014;1055,00;59077;11749;1287;72;72185
2014;1081,00;0;0;0;0;0
2014;1099,00;2559;22;0;0;2581
2014;529,00;0;0;0;0;0
2014;345,00;0;0;0;0;0
2014;515,00;10822;490;0;0;11312
2014;174,00;0;0;0;0;0
2014;523,00;0;0;0;0;0
2014;697,00;73074;7854;677;6;81611
2014;239,00;35616;4602;185;5;40408
2014;287,00;50556;4814;116;4;55490
2014;377,00;0;0;0;0;0
2014;692,00;44461;6320;79;51;50911
2014;335,00;0;0;0;0;0
2014;435,00;17188;1511;33;0;18732
2014;423,00;7239;1398;0;0;8637
2014;351,00;15435;3652;223;2;19312
2014;810,00;7522;998;0;0;8520
2014;830,00;55641;8972;456;37;65106
2014;892,00;84164;12517;652;90;97423
2014;921,00;82172;7150;136;0;89458
2014;991,00;15904;258;142;2;16306
2014;992,00;48813;5396;487;69;54765
2014;993,00;18482;3867;81;16;22446
2014;1070,00;113256;16618;838;131;130843
2014;1095,00;7350;852;88;2;8292
2014;1094,00;5872;2124;96;0;8092
2014;473,00;25292;3810;41;0;29143
2014;663,00;101597;10799;3883;196;116475
2014;552,00;11071;15;856;0;11942
2014;772,00;68626;13866;3116;401;86009
2014;568,00;5481;244;0;0;5725
2014;398,00;6609;1072;11;0;7692
2014;394,00;5924;390;10;0;6324
2014;614,00;0;0;0;0;0
2014;235,00;4664;101;5;0;4770
2014;616,00;40555;1218;2043;6;43822
2014;267,00;15169;2136;40;5;17350
2014;565,00;0;0;0;0;0
2014;220,00;16410;1774;34;1;18219
2014;278,00;15416;1238;59;0;16713
2014;107,00;0;0;0;0;0
2014;711,00;114245;18399;5192;204;138040
2014;204,00;242;0;0;0;242
2014;579,00;96619;1101;16;0;97736
2014;348,00;0;0;0;0;0
2014;766,00;14069;1067;183;1;15320
2014;761,00;0;0;0;0;0
2014;728,00;38527;6111;258;27;44923
2014;280,00;35172;2575;154;3;37904
2014;222,00;678;73;0;0;751
2014;276,00;73964;3115;1045;0;78124
2014;11,00;14197;3344;28;2;17571
2014;302,00;25344;219;24;0;25587
2014;682,00;14420;1742;166;9;16337
2014;279,00;72203;5056;437;3;77699
2014;282,00;84277;6214;223;0;90714
2014;281,00;41206;7484;74;40;48804
2014;183,00;1424;33;0;0;1457
2014;610,00;12269;34;0;0;12303
2014;116,00;0;0;0;0;0
2014;115,00;0;0;0;0;0
2014;114,00;0;0;0;0;0
2014;119,00;40;20;0;0;60
2014;770,00;90765;11664;1567;125;104121
2014;583,00;48575;3105;642;16;52338
2014;136,00;0;0;0;0;0
2014;469,00;25912;2272;152;8;28344
2014;642,00;45083;6678;915;93;52769
2014;674,00;123564;10962;81;0;134607
2014;193,00;0;0;0;0;0
2014;526,00;93631;11755;468;50;105904
2014;698,00;73207;13233;6455;221;93116
2014;630,00;48467;3955;754;37;53213
2014;124,00;0;0;0;0;0
2014;364,00;0;0;0;0;0
2014;439,00;29829;1336;216;0;31381
2014;570,00;92884;13247;2160;23;108314
2014;123,00;0;0;0;0;0
2014;310,00;1935;1002;0;0;2937
2014;571,00;49455;4516;1021;40;55032
2014;296,00;4815;0;0;0;4815
2014;566,00;69405;1177;238;43;70863
2014;784,00;119523;10419;3758;369;134069
2014;102,00;0;0;0;0;0
2014;379,00;3252;1057;480;0;4789
2014;639,00;80010;6723;1514;28;88275
2014;457,00;26708;1407;309;15;28439
2014;609,00;101688;8661;118;9;110476
2014;101,00;0;0;0;0;0
2014;454,00;45510;6672;843;16;53041
2014;318,00;2831;1033;92;0;3956
2014;600,00;55475;4929;798;22;61224
2014;545,00;101102;7289;577;140;109108
2014;100,00;0;0;0;0;0
2014;702,00;106066;8792;642;161;115661
2014;778,00;47005;8024;478;23;55530
2014;341,00;5531;217;52;0;5800
2014;99,00;0;0;0;0;0
2014;767,00;38763;4072;1622;67;44524
2014;359,00;43885;93;1344;3;45325
2014;98,00;0;0;0;0;0
2014;132,00;0;0;0;0;0
2014;97,00;0;0;0;0;0
2014;103,00;0;0;0;0;0
2014;110,00;0;0;0;0;0
2014;94,00;0;0;0;0;0
2014;91,00;0;0;0;0;0
2014;664,00;92082;11130;1168;83;104463
2014;918,00;162485;24193;5414;386;192478
2014;92,00;0;0;0;0;0
2014;95,00;0;0;0;0;0
2014;96,00;0;0;0;0;0
2014;301,00;18684;4;15;0;18703
2014;492,00;61931;3999;910;25;66865
2014;811,00;9112;1111;33;1;10257
2014;812,00;0;0;0;0;0
2014;832,00;0;0;0;0;0
2014;841,00;0;0;0;0;0
2014;856,00;0;0;0;0;0
2014;859,00;0;0;0;0;0
2014;861,00;0;0;0;0;0
2014;880,00;0;0;0;0;0
2014;883,00;0;0;0;0;0
2014;884,00;0;0;0;0;0
2014;877,00;0;0;0;0;0
