"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2014;113,00;1865347;406182;162565;0;162565;3942;778021;514637;-4219;1080586;388610;691976;22720364;17780058;5446;4869759;65101;395424;-3296;24962;26079168
2014;619,00;7012094;869011;1548956;559684;989272;3764767;70997;758363;-44564;1836864;453242;1383622;7159483;5480773;0;1581213;97497;1239601;181354;513183;17898015
2014;163,00;3193632;90128;737085;183676;553409;1925568;373831;67020;-44994;824471;164067;660404;2545484;1967573;52603;474882;50426;517094;33763;1374900;8444350
2014;131,00;187555;70466;53056;0;53056;0;14118;49915;0;301315;68611;232704;951322;741210;39950;170162;0;5433;0;27614;1473239
2014;375,00;887816;137401;291682;132;291550;28924;92177;337632;-83;153623;54790;98833;6749992;5275639;4553;1463028;6772;239892;-11289;1354;8021305
2014;1090,00;84033335;34896981;32638545;10303168;22335377;3917931;11012035;1567843;-150762;6726242;3537835;3188407;197154558;156326319;119348;39762712;946179;6521086;780040;7831;295072330
2014;764,00;85571879;33880433;28300703;10621454;17679249;12637844;9070927;1681972;0;5405815;3284288;2121527;142875140;113383313;33435;29167720;290672;0;0;594681;234447515
2014;14,00;3123745;1338376;732873;0;732873;591261;352519;108716;-24273;744580;198661;545919;2114658;1622520;10500;476766;4872;430822;0;80088;6469620
2014;657,00;8395122;3353568;2337434;572335;1765099;351476;1832311;520333;0;871930;504502;367428;22985333;19010544;0;3974789;0;768860;0;0;33021245
2014;362,00;4717425;813812;1671059;597975;1073084;1667826;298587;266141;107534;741572;205591;535981;5851743;4607863;0;1216051;27829;516079;100241;76670;12111264
2014;989,00;6654000;2653580;1742666;624068;1118598;146525;1661267;449962;-45000;1981421;956380;1025041;18307226;15033445;0;3251977;21804;0;0;0;26897647
2014;990,00;11792157;4082079;2232774;639012;1593762;1116154;3637396;723754;-102257;0;0;0;20222473;16614256;4585;3603632;0;0;0;0;31912373
2014;680,00;108360215;48274834;42273574;15756337;26517237;14218747;0;3593060;659000;6055095;2965593;3089502;154525682;122797319;0;30510891;1217472;0;0;24127;269624119
2014;411,00;16862647;3629967;2490793;382669;2108124;9551519;548102;642266;-174903;1878499;446368;1432131;11549709;9029768;143753;2348071;28117;1315791;191591;861895;32485229
2014;241,00;9423696;1340169;2046919;341577;1705342;4014618;1341019;680971;52189;1660163;495354;1164809;8163637;6261481;12500;1861546;28110;1089766;786060;1114756;22290267
2014;558,00;51578751;14516817;10537315;1087026;9450289;13129754;3944576;9450289;0;3075732;2202810;872922;49796818;39722000;184818;9650000;240000;0;0;0;104451301
2014;167,00;518268;130685;17592;3538;14054;0;369991;0;100000;294908;62448;232460;346372;265218;0;81154;0;49189;0;77304;1386041
2014;248,00;12507070;2164737;3370713;2436213;934500;4102615;2314590;554415;18955;4752867;427318;4325549;12314057;9561609;126810;2513669;111969;2256348;119876;764461;32733634
2014;224,00;2821952;380474;508407;104297;404110;1767721;47631;117719;6248;691749;141622;550127;3462788;2639738;18000;793230;11820;421490;20368;121149;7545744
2014;591,00;60067750;26355826;16176818;3162492;13014326;10682760;5919892;932454;0;3790324;1555952;2234372;81678709;64658271;282366;16733286;4786;0;0;1297805;146834588
2014;586,00;48303776;21927282;12583550;2204248;10379302;6372753;6964797;455394;0;4349890;2142035;2207855;91438595;73313877;0;17989942;134776;0;0;0;144092261
