"año";"NCODI";"70_tIngresos";"700_particular";"701_AsegPriv";"701_1_AsistSanitaria";"701_2_AccTrafic";"702_MATEPSS";"704_SNS";"705_1_FdirectaSS";"705_2_FdirectaAPriv_MATEPSS";"706_OyEntiPublica";"708_bonificaciones";"709_Otros_Ips";"74_Total_Subvencion";"740_subvenciones";"741_otraSubvencion";"7X_restoIngresos";"total_ventasIngresos";"70_Hospital";"70_consulExter";"70_CMA";"70_hospDia";"70_Urgencia";"70_hospDom";"700_Hospital";"700_consulExter";"700_CMA";"700_hospDia";"700_Urgencia";"700_hospDom";"701_Hospital";"701_consulExter";"701_CMA";"701_hospDia";"701_Urgencia";"701_hospDom";"701_1Hospital";"701_1consulExter";"701_1CMA";"701_1hospDia";"701_1Urgencia";"701_1hospDom";"701_2Hospital";"701_2consulExter";"701_2CMA";"701_2hospDia";"701_2Urgencia";"701_2hospDom";"702_Hospital";"702_consulExter";"702_CMA";"702_hospDia";"702_Urgencia";"702_hospDom";"704_Hospital";"704_consulExter";"704_CMA";"704_hospDia";"704_Urgencia";"704_hospDom";"705_1Hospital";"705_1consulExter";"705_1CMA";"705_1hospDia";"705_1Urgencia";"705_1hospDom";"705_2Hospital";"705_2consulExter";"705_2CMA";"705_2hospDia";"705_2Urgencia";"705_2hospDom";"706_Hospital";"706_consulExter";"706_CMA";"706_hospDia";"706_Urgencia";"706_hospDom";"708_Hospital";"708_consulExter";"708_CMA";"708_hospDia";"708_Urgencia";"708_hospDom"
2014;145,00;925773;0;0;0;0;0;925773;0;0;0;0;0;536824;33381;503443;84928;1547525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;511,00;82334185;461931;973659;288847;684812;238702;2238377;78421516;0;0;0;0;0;0;0;54228;82388413;2369715;39985;3523;228;1382338;0;300964;3577;0;114;127704;0;132742;6638;0;114;808124;0;112485;5397;0;114;154166;0;20257;1241;0;0;653958;0;117789;7796;0;0;71853;0;1818220;21974;3523;0;374657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;530,00;90731333;233240;1738880;125975;1612905;151696;357385;88250132;0;0;0;0;0;0;0;0;90731333;11900869;2302258;3408589;114;4417755;0;123058;10372;0;114;57296;0;56290;8950;969;0;1650708;0;47930;4830;969;0;48080;0;8360;4120;0;0;1602628;0;6552;3459;969;0;98608;0;272373;12329;2923;0;67915;0;11442596;2267148;3403728;0;2543228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;6,00;19404317;4750681;14581544;14581544;0;0;72092;0;0;0;0;0;0;0;0;405834;19810151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;161,00;857500;0;0;0;0;0;0;0;0;0;0;857500;5100;0;5100;0;862600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;623,00;153887216;278118;1314806;254549;1060257;119271;1190410;150984422;0;189;0;0;0;0;0;344;153887560;1161183;71088;10601;11005;1446506;0;60767;9961;1937;10440;79795;0;98863;25833;0;565;1149655;0;91063;5963;0;565;93120;0;7800;19870;0;0;1056535;0;27848;4604;968;0;53836;0;973705;30690;7528;0;163220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;0;0;0;0;0;0;0;0;0
2014;489,00;754058;107838;534248;524858;9390;32973;47039;0;0;0;0;31960;0;0;0;612;754670;171327;115257;0;0;162521;0;2725;59969;0;0;20616;0;118425;31591;0;0;135814;0;118425;27601;0;0;130414;0;0;3990;0;0;5400;0;3138;23697;0;0;6091;0;47039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;875,00;33647389;8200104;24350706;23445734;904972;389926;2108232;0;0;0;-1401579;0;417045;0;417045;0;34064434;19253427;12419194;0;0;973768;0;3985603;2725891;0;0;488610;0;14993814;8820248;0;0;536644;0;14942532;8106362;0;0;396840;0;51282;713886;0;0;139804;0;200461;106384;0;0;83081;0;1088221;1019011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1014672;-252340;0;0;-134567;0
2014;940,00;574377;574377;0;0;0;0;0;0;0;0;0;0;0;0;0;739;575116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;946,00;29806120;5292445;23010323;22768338;241985;1217001;286351;0;0;0;0;0;19839;0;19839;1349037;31174996;9761247;10229897;5987483;0;3827482;0;1653179;1759028;1070797;0;809440;0;7463735;7956572;4866453;0;2723558;0;7413962;7869322;4796354;0;2688698;0;49773;87250;70099;0;34860;0;426347;462748;48832;0;279072;0;217986;51549;1401;0;15412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1023,00;141579253;922980;1713883;377736;1336147;234027;0;138517448;0;190915;0;0;73091;73091;0;2824700;144477044;38771828;30162366;5577442;27130;19226819;15367;511987;3809;0;114;407070;0;450397;1066;0;0;1262420;0;371144;1066;0;0;5526;0;79253;0;0;0;1256894;0;182960;0;0;0;51068;0;0;0;0;0;0;0;37512333;30148026;5577442;27016;17438962;15367;0;0;0;0;0;0;114151;9465;0;0;67299;0;0;0;0;0;0;0
2014;1054,00;110731616;2126009;0;0;0;0;0;108605607;0;0;0;0;0;0;0;5924702;116656318;5866611;436413;175734;294872;2129645;28103;1092682;56831;5322;71559;897272;2343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4773929;379582;170412;223313;1232373;25760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1057,00;14161267;0;0;0;0;0;0;14161267;0;0;0;0;0;0;0;0;14161267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1031,00;269989;213496;0;0;0;0;0;0;0;0;0;56493;758;758;0;54265;325012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1032,00;124532432;39582;1608765;0;1608765;109949;0;122485513;33721;0;0;254902;4000;0;4000;1986880;126523312;11860083;284011;809710;94736;2583493;14071;24221;609;0;0;12727;0;42528;0;0;0;1566237;0;0;0;0;0;0;0;42528;0;0;0;1566237;0;52640;0;0;0;57309;0;0;0;0;0;0;0;11728304;282635;807260;94736;938794;14071;12390;767;2450;0;8426;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1064,00;19072566;3789230;11062357;10112954;949403;659334;3561645;0;0;0;0;0;18817;18817;0;378974;19470357;6969596;6582941;3474193;0;2045431;0;1136769;1326231;757846;0;568384;0;3151119;4102566;2519164;0;1289106;0;2932757;3741793;2224850;0;1213154;0;218362;360773;294314;0;75952;0;224173;263733;72526;0;98900;0;2457535;890411;124657;0;89041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;226,00;20981275;1731615;16688318;15002418;1685900;1287883;1012826;0;0;0;0;260633;139042;139042;0;654987;21775304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;687,00;57075690;181390;467315;158469;308846;197252;36291;54653790;0;0;0;1539652;0;0;0;0;57075690;26116087;17280719;625604;667001;10810356;0;131948;1820;0;0;47622;0;262148;2873;0;0;202314;0;115274;1590;0;0;41605;0;146874;1283;0;0;160709;0;71382;0;0;0;125870;0;0;0;0;0;0;0;25650609;17276026;625604;667001;10434550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;745,00;218375650;423594;1523333;0;1523333;405749;579657;214083010;0;1201379;0;158928;0;0;0;0;218375650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;109,00;15985717;1642973;12106218;10854063;1252155;753538;1214688;0;374;340004;-72078;0;21091;21091;0;596353;16603161;7821491;4647665;1120575;949770;1446216;0;1012324;302966;179067;112823;35793;0;5820191;3801232;624885;511675;1348235;0;5820191;2549077;624885;511675;1348235;0;0;1252155;0;0;0;0;434814;178715;77821;0;62188;0;626240;349646;238802;0;0;0;0;0;0;0;0;0;0;374;0;0;0;0;0;14732;0;325272;0;0;-72078;0;0;0;0;0
