"año";"NCODI";"totHemodina_Paciente";"totPaciente_radioInterv";"totLitofrag_Paciente";"totLitofrag_Sesion";"totAceleLineal_Paciente";"totAceleLineal_Sesion";"totBomCobal_Paciente";"totBomCobal_Sesion";"totOtraRadio_Paciente";"totOtraRadio_Sesion";"totFisiot_Paciente";"totFisiot_Sesion";"totLogop_Paciente";"totLogop_Sesion";"totTerapOcupa_Paciente";"totTerapOcupa_Sesion";"totHemodial_Paciente";"totHemodial_Sesion";"totHemodialDom_Paciente";"totHemodialDom_Sesion";"totDialPerito_Paciente";"totDialPerito_Sesion"
2014;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;3416;0;0;0;0;0;0
2014;619,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;163,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;131,00;0;0;0;0;0;0;0;0;0;0;52;440;0;0;0;0;0;0;0;0;0;0
2014;375,00;0;0;0;0;0;0;0;0;0;0;1161;14854;0;0;0;0;0;0;0;0;0;0
2014;1090,00;1409;1635;467;697;752;14098;0;0;0;0;15820;332205;0;0;0;0;177;15441;0;0;0;0
2014;764,00;1798;1965;368;476;824;17318;0;0;46;169;12319;101549;2534;4294;2136;23446;83;12560;1;158;59;19879
2014;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;657,00;0;404;0;0;0;0;0;0;0;0;2710;19651;0;0;0;0;0;0;0;0;0;0
2014;362,00;126;69;0;0;0;0;0;0;0;0;1562;16293;0;0;0;0;0;0;0;0;0;0
2014;989,00;0;0;0;0;0;0;0;0;0;0;1232;20007;161;2861;95;1833;0;0;0;0;0;0
2014;990,00;0;0;0;0;0;0;0;0;0;0;2305;16605;464;1276;270;2971;0;0;0;0;0;0
2014;680,00;2435;1634;185;276;0;0;0;0;0;0;5894;255458;0;0;0;0;729;13879;0;0;26;9490
2014;411,00;8511;454;0;0;0;0;0;0;0;0;572;924;0;0;0;0;84;12994;0;0;0;0
2014;241,00;193;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;30757;0;0;3;1436
2014;558,00;0;903;0;0;0;0;0;0;0;0;2256;203012;0;0;0;0;115;14367;10;1988;13;4609
2014;167,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;248,00;264;187;0;0;610;675;0;0;108;213;1294;16111;0;0;0;0;359;13338;0;0;0;0
2014;224,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;591,00;293;0;111;111;0;0;0;0;0;0;17328;388027;0;0;0;0;182;8827;0;0;32;35040
2014;586,00;0;943;0;0;0;0;0;0;0;0;13020;434919;0;0;0;0;1254;13318;0;0;153;18620
2014;453,00;0;0;0;0;0;0;0;0;0;0;1227;100429;138;2640;645;12817;0;0;0;0;0;0
2014;145,00;0;0;0;0;0;0;0;0;0;0;26;4461;0;0;0;0;0;0;0;0;0;0
2014;511,00;0;667;0;0;0;0;0;0;0;0;5728;103104;0;0;0;0;429;4573;0;0;104;104
2014;530,00;0;0;0;0;0;0;0;0;0;0;6967;286489;0;0;0;0;0;0;0;0;0;0
2014;6,00;0;2;70;70;0;0;0;0;0;0;1245;4235;38;96;0;0;0;0;0;0;0;0
