"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2014;113,00;0;0;0;0;0
2014;619,00;98;46;143;0;0
2014;163,00;0;0;0;0;0
2014;131,00;0;0;0;0;0
2014;375,00;0;0;0;0;0
2014;1090,00;2385;332;2628;202;0
2014;764,00;1703;511;2253;357;0
2014;14,00;278;225;503;0;0
2014;657,00;301;124;420;13;0
2014;362,00;18;14;32;0;0
2014;989,00;266;66;333;39;0
2014;990,00;372;114;491;19;0
2014;680,00;1849;471;2386;310;0
2014;411,00;264;251;496;19;0
2014;241,00;203;395;598;28;0
2014;558,00;726;305;1046;65;0
2014;167,00;8;10;18;0;0
2014;248,00;0;0;0;0;0
2014;224,00;120;73;193;4;0
2014;591,00;1040;319;1403;183;0
2014;586,00;1070;314;1415;131;0
2014;453,00;0;0;0;0;0
2014;145,00;0;0;0;0;0
2014;511,00;724;348;1086;82;0
2014;530,00;1012;331;1371;71;0
2014;6,00;221;288;509;43;0
2014;161,00;0;0;0;0;0
2014;623,00;774;245;1038;91;0
2014;489,00;3;1;4;0;0
2014;875,00;0;0;0;0;0
2014;940,00;0;0;0;0;0
2014;946,00;89;113;202;11;0
2014;1023,00;960;239;1209;66;0
2014;1054,00;830;179;1104;58;0
2014;1057,00;0;0;0;0;0
2014;1031,00;0;0;0;0;0
2014;1032,00;1332;262;1613;99;0
2014;1064,00;169;118;287;8;0
2014;226,00;285;264;531;19;0
2014;687,00;963;209;1185;79;0
2014;745,00;2475;651;3187;307;1
2014;109,00;273;207;486;0;0
2014;808,00;2037;490;2551;154;0
2014;971,00;0;0;0;0;0
2014;128,00;0;0;0;0;0
2014;919,00;760;242;989;35;0
2014;725,00;1862;601;2502;120;0
2014;3,00;0;0;0;0;0
2014;306,00;0;0;0;0;0
2014;15,00;0;0;0;0;0
2014;264,00;263;172;435;16;0
2014;867,00;0;0;0;0;0
2014;910,00;350;271;633;33;0
2014;1053,00;719;306;1038;47;0
2014;1055,00;1142;361;1539;103;0
2014;1081,00;0;0;0;0;0
2014;1099,00;6;2;8;0;0
2014;529,00;0;0;0;0;0
2014;345,00;0;0;0;0;0
2014;515,00;0;0;0;0;0
2014;174,00;0;0;0;0;0
2014;523,00;0;0;0;0;0
2014;697,00;751;276;1025;68;0
2014;239,00;0;0;0;0;0
2014;287,00;409;279;700;36;0
2014;377,00;0;0;0;0;0
2014;692,00;961;165;1207;65;0
2014;335,00;0;0;0;0;0
2014;435,00;133;80;215;2;0
2014;423,00;58;63;121;0;0
2014;351,00;0;0;0;0;0
2014;810,00;0;0;0;0;0
2014;830,00;756;172;929;0;0
2014;892,00;1670;360;2068;134;0
2014;921,00;478;392;870;60;0
2014;991,00;65;18;83;2;0
2014;992,00;648;156;811;32;0
2014;993,00;421;144;572;34;0
2014;1070,00;1312;563;1948;304;0
2014;1095,00;0;0;0;0;0
2014;1094,00;0;0;0;0;0
2014;473,00;2187;869;3132;392;0
2014;663,00;1069;312;1388;124;0
2014;552,00;0;0;0;0;0
2014;772,00;0;0;0;0;0
2014;568,00;0;0;0;0;0
2014;398,00;0;0;0;0;0
2014;394,00;0;0;0;0;0
2014;614,00;0;0;0;0;0
2014;235,00;0;0;0;0;0
2014;616,00;0;0;0;0;0
2014;267,00;1163;888;2048;98;0
2014;565,00;0;0;0;0;0
2014;220,00;202;184;387;19;0
2014;278,00;973;548;1552;85;0
2014;107,00;0;0;0;0;0
2014;711,00;1282;377;1688;132;1
2014;204,00;0;0;0;0;0
2014;579,00;0;0;0;0;0
2014;348,00;0;0;0;0;0
2014;766,00;0;0;0;0;0
2014;761,00;0;0;0;0;0
2014;728,00;0;0;0;0;0
2014;280,00;1158;874;2098;198;0
2014;222,00;0;0;0;0;0
2014;276,00;2217;1262;3564;133;0
2014;11,00;204;124;330;5;0
2014;302,00;62;60;125;3;0
2014;682,00;0;0;0;0;0
2014;279,00;1815;746;2665;257;0
2014;282,00;1299;896;2232;155;0
2014;281,00;544;445;1020;80;0
2014;183,00;0;0;0;0;0
2014;610,00;0;0;0;0;0
2014;116,00;0;0;0;0;0
2014;115,00;0;0;0;0;0
2014;114,00;0;0;0;0;0
2014;119,00;0;0;0;0;0
2014;770,00;1044;390;1467;141;0
2014;583,00;0;0;0;0;0
2014;136,00;0;0;0;0;0
2014;469,00;117;41;157;7;0
2014;642,00;711;189;912;35;0
2014;674,00;2391;853;3351;393;0
2014;193,00;0;0;0;0;0
2014;526,00;1288;371;1651;125;0
2014;698,00;0;0;0;0;0
2014;630,00;1231;253;1542;91;0
2014;124,00;0;0;0;0;0
2014;364,00;0;0;0;0;0
2014;439,00;319;213;548;16;0
2014;570,00;1082;229;1381;97;0
2014;123,00;0;0;0;0;0
2014;310,00;0;0;0;0;0
2014;571,00;528;137;670;26;0
2014;296,00;0;0;0;0;0
2014;566,00;705;167;872;21;0
2014;784,00;1933;470;2448;211;0
2014;102,00;0;0;0;0;0
2014;379,00;0;0;0;0;0
2014;639,00;1319;329;1659;55;0
2014;457,00;0;0;0;0;0
2014;609,00;1544;964;2561;229;0
2014;101,00;0;0;0;0;0
2014;454,00;558;142;714;16;0
2014;318,00;0;0;0;0;0
2014;600,00;732;182;911;14;0
2014;545,00;1092;180;1288;82;0
2014;100,00;0;0;0;0;0
2014;702,00;1309;390;1707;120;0
2014;778,00;1041;269;1312;42;0
2014;341,00;0;0;0;0;0
2014;99,00;0;0;0;0;0
2014;767,00;0;0;0;0;0
2014;359,00;0;0;0;0;0
2014;98,00;0;0;0;0;0
2014;132,00;0;0;0;0;0
2014;97,00;0;0;0;0;0
2014;103,00;0;0;0;0;0
2014;110,00;0;0;0;0;0
2014;94,00;0;0;0;0;0
2014;91,00;0;0;0;0;0
2014;664,00;976;263;1256;85;0
2014;918,00;2121;714;2933;590;0
2014;92,00;0;0;0;0;0
2014;95,00;0;0;0;0;0
2014;96,00;0;0;0;0;0
2014;301,00;0;0;0;0;0
2014;492,00;431;119;544;18;0
2014;811,00;373;142;515;0;0
2014;812,00;0;0;0;0;0
2014;832,00;0;0;0;0;0
2014;841,00;0;0;0;0;0
2014;856,00;0;0;0;0;0
2014;859,00;0;0;0;0;0
2014;861,00;0;0;0;0;0
2014;880,00;0;0;0;0;0
2014;883,00;0;0;0;0;0
2014;884,00;0;0;0;0;0
2014;877,00;0;0;0;0;0
2014;911,00;0;0;0;0;0
2014;913,00;0;0;0;0;0
2014;922,00;400;244;648;0;0
2014;923,00;0;0;0;0;0
2014;924,00;0;0;0;0;0
