"año";"NCODI";"primDiges_hosp";"totDiges_hosp";"primDigestivo_CEP";"totDigestivo_CEP";"primCardio_hosp";"totCardio_hosp";"primCardio_CEP";"totCardio_CEP";"primDerma_hosp";"totDerma_hosp";"primDerma_CEP";"totDerma_CEP";"primNeurolog_hosp";"totNeurolog_hosp";"primNeurolog_CEP";"totNeurolog_CEP";"primPsquia_hosp";"totPsquia_hosp";"primPsquia_CEP";"totPsquia_CEP";"primRestoMed_hosp";"totRestoMed_hosp";"primRestoMed_CEP";"totRestoMed_CEP";"primCirGeneral_hosp";"totCirGeneral_hosp";"primCirGeneral_CEP";"totCirGeneral_CEP";"primTrauma_hosp";"totTrauma_hosp";"primTrauma_CEP";"totTrauma_CEP";"primGine_hosp";"totGine_hosp";"primGine_CEP";"totGine_CEP";"primOftalmo_hosp";"totOftalmo_hosp";"primOftalmo_CEP";"totOftalmo_CEP";"primOrl_hosp";"totOrl_hosp";"primOrl_CEP";"totOrl_CEP";"primUrolog_hosp";"totUrolog_hosp";"primUrolog_CEP";"totUrolog_CEP";"primRestoQuirurg_hosp";"totRestoQuirurg_hosp";"primRestoQuirurg_CEP";"totRestoQuirurg_CEP";"primPediatria_hosp";"totPediatria_hosp";"primPediatria_CEP";"totPediatria_CEP";"primPreAnest_hosp";"totPreAnest_hosp";"primPreAnest_CEP";"totPreAnest_CEP";"primRehabil_hosp";"totRehabil_hosp";"primRehabil_CEP";"totRehabil_CEP";"primOtrasConsul_hosp";"totOtrasConsul_hosp";"primOtrasConsul_CEP";"totOtrasConsul_CEP";"primTotal_hosp";"total_hosp";"primTotal_CEP";"total_CEP";"otrasTexto"
2014;722,00;2800;9230;3261;6948;1767;15372;3312;8229;3253;12289;11427;15311;2113;17619;3216;7013;2127;13491;0;0;23780;183533;4605;13080;5118;28062;6374;8299;10661;39863;11708;21503;30102;61046;2;7;6124;25386;14331;27890;4972;16713;4432;8227;3169;14897;2961;5628;15299;41337;339;1008;9560;38422;0;0;8190;11109;0;0;7109;18307;0;0;1623;12436;0;0;137767;559112;65968;123143;"Otros"
2014;660,00;3952;12092;0;0;3275;11632;0;0;11390;26079;0;0;3047;9105;0;0;444;2212;0;0;13709;52865;0;0;5250;14564;0;0;11498;34248;0;0;10743;24356;0;0;19580;39683;0;0;7469;22131;0;0;4007;13573;0;0;2896;8214;0;0;0;0;0;0;7092;8643;0;0;5153;12176;0;0;0;0;0;0;109505;291573;0;0;"Otros"
2014;75,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;1144;0;0;0;0;0;0;0;0;0;0;312;1474;0;0;"Otros"
2014;249,00;754;993;0;0;929;1178;0;0;692;856;0;0;277;396;0;0;40;51;0;0;3379;4694;0;0;1072;1664;0;0;1364;1820;0;0;1421;2479;0;0;967;1244;0;0;927;1589;0;0;1113;1769;0;0;1495;2192;0;0;481;608;0;0;2142;2173;0;0;0;0;0;0;0;0;0;0;17053;23706;0;0;"Otros"
2014;275,00;0;0;0;0;0;0;0;0;620;1083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1056;3520;0;0;190;272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;435;676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2301;5551;0;0;"Otros"
2014;227,00;750;1125;0;0;1220;1830;0;0;5082;7623;0;0;2893;4340;0;0;1086;1629;0;0;28446;65169;0;0;1655;2482;0;0;7723;11585;0;0;5503;15754;0;0;0;0;0;0;2595;3892;0;0;1915;2873;0;0;10877;16315;0;0;6079;9118;0;0;5189;7784;0;0;0;0;0;0;1627;2440;0;0;82640;153959;0;0;"Otros"
2014;150,00;612;750;0;0;259;327;0;0;625;731;0;0;36;43;0;0;215;313;0;0;1986;3849;0;0;617;1032;0;0;2200;5355;0;0;20;20;0;0;322;358;0;0;152;171;0;0;444;609;0;0;439;906;0;0;278;398;0;0;4174;4174;0;0;0;0;0;0;0;0;0;0;12379;19036;0;0;"Otros"
2014;47,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;145;0;0;"Otros"
2014;172,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2014;581,00;2022;5196;0;0;1606;3373;0;0;3963;7546;0;0;1838;4038;0;0;0;0;0;0;5871;39964;0;0;2229;4216;0;0;4701;11776;0;0;2748;7047;0;0;6219;14716;0;0;4819;8228;0;0;1869;7690;0;0;0;0;0;0;935;3024;0;0;3225;3425;0;0;5354;12547;0;0;0;0;0;0;47399;132786;0;0;"Otros"
