"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2014;120,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5418;0;0;0;0;0;0;0;0
2014;445,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0
2014;471,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18398;0;0;0;0;0;186;11;0
2014;53,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;199,00;223;0;0;0;0;0;0;0;0;189;0;0;0;0;0;7169;0;0;0;0;0;209;0;0
2014;575,00;236;0;0;0;0;0;0;0;0;861;0;0;0;775;0;67383;0;0;0;5891;0;1186;213;0
2014;528,00;4363;0;1;0;0;0;0;0;0;1015;0;0;0;0;0;30709;7665;0;0;3380;0;859;6;0
2014;631,00;11581;0;15;0;0;0;0;0;0;2906;0;0;0;0;0;111845;39102;0;0;7997;0;2629;256;0
2014;699,00;17027;0;0;0;0;0;0;0;0;4244;0;0;0;3399;0;79346;11309;0;0;15023;0;4397;272;101
2014;823,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15753;0;0;0;0;0;0;0;0
2014;849,00;3367;0;0;0;0;0;0;0;0;3019;0;0;0;0;0;45835;0;0;0;2906;0;761;187;0
2014;869,00;699;0;0;0;0;4;0;0;0;590;0;0;0;0;0;104728;0;0;0;1462;0;550;0;0
2014;955,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;983,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1002,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1015,00;24537;0;57;637;0;0;0;1690;0;3398;0;1722;0;12487;0;190919;0;180;0;17899;0;5336;537;307
2014;51,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;441,00;835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;0;0;0;0;0;0;0;0
2014;327,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;690,00;9672;0;8;747;0;4070;0;0;0;4596;0;2946;0;8473;0;37913;0;2380;0;14793;0;3288;269;39
2014;262,00;2296;0;1;0;0;1308;0;0;0;995;0;0;0;4948;0;15162;0;0;0;2860;0;2631;17;16
2014;403,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;312,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;589,00;0;0;0;0;0;0;0;0;0;336;0;0;0;0;0;41479;0;0;0;3269;0;1312;29;0
2014;665,00;6576;0;6;0;0;0;0;0;0;971;0;0;0;0;0;67085;0;0;0;8504;0;1432;82;0
2014;334,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1075,00;71940;0;174;1612;0;0;0;5957;0;16233;0;0;0;14925;0;193123;0;0;0;32831;0;4116;570;609
2014;751,00;22850;0;48;319;0;2468;0;3804;0;6772;0;0;0;9159;0;147452;17196;1089;0;22904;0;3236;712;432
2014;186,00;500;0;0;0;0;221;0;0;0;855;0;0;0;7823;0;10074;0;0;0;1180;0;220;0;0
2014;646,00;2170;0;0;0;0;0;0;0;0;476;0;0;0;0;0;27301;0;0;0;2669;0;939;0;0
2014;536,00;0;0;0;0;0;0;0;0;0;688;0;0;0;0;0;55571;0;0;0;2763;0;953;0;0
2014;242,00;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;0;0
2014;490,00;0;0;0;0;0;0;0;0;0;17052;0;0;0;0;0;11232;0;0;0;0;0;729;0;0
2014;500,00;4994;0;0;0;0;1709;0;646;0;3300;0;640;0;12969;0;30058;0;48;0;5442;0;1840;35;32
2014;206,00;1240;0;0;0;0;1077;0;0;0;1239;0;0;0;10840;0;11820;0;0;0;1882;0;312;5;0
2014;58,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;572,00;8733;0;14;0;0;0;0;0;0;3587;0;0;0;5694;0;108936;0;0;0;9558;0;2675;388;130
2014;180,00;678;0;0;0;0;712;0;0;0;7629;0;0;0;0;0;1735;0;0;0;0;0;0;0;0
2014;549,00;2284;0;6;0;0;0;0;0;0;2355;0;0;0;0;0;29489;0;0;0;2002;0;478;30;0
2014;582,00;2265;0;7;0;0;0;0;0;0;3815;0;0;0;0;0;34145;0;0;0;3140;0;259;226;16
2014;743,00;13283;0;69;0;0;0;0;0;0;4326;0;0;0;6595;0;124857;42362;0;0;15542;0;3725;209;183
2014;795,00;7091;0;0;0;0;0;0;0;0;16535;0;0;0;0;0;9085;0;0;0;0;0;0;0;0
2014;269,00;256;0;0;0;0;0;0;0;0;0;0;0;0;3246;0;28125;0;0;0;0;0;625;0;0
2014;634,00;4370;0;4;0;0;0;0;0;0;3151;0;0;0;6931;0;45033;0;0;0;6013;0;1416;44;193
2014;1,00;0;0;0;0;0;0;0;0;0;2389;0;0;0;0;0;156897;0;0;0;0;0;91;63;0
2014;717,00;4593;0;8;0;0;0;0;0;0;1163;0;0;0;3475;0;57132;0;0;0;7814;0;1507;92;0
2014;373,00;0;0;0;0;0;0;0;0;0;4878;0;0;0;0;0;3685;0;0;0;0;0;0;0;0
2014;535,00;6725;0;3;0;0;0;0;0;0;5323;0;0;0;3736;0;49374;0;0;0;5918;0;1768;47;55
2014;824,00;23120;0;130;585;0;6224;0;5298;0;13412;0;550;0;17056;0;211745;53829;361;0;41064;0;4050;557;252
2014;888,00;2525;0;4;0;0;0;0;0;0;3295;0;0;0;0;0;35573;0;0;0;3778;0;721;33;0
2014;902,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;0;0;0;0;0;0;0
2014;968,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;346,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;27,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;165,00;759;0;0;0;0;0;0;0;0;634;0;0;0;0;0;5995;0;0;0;1140;0;439;0;0
2014;956,00;14957;0;3;0;0;865;0;0;0;4446;0;0;0;5132;0;127008;0;0;0;12492;0;3451;309;661
2014;413,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;149,00;0;0;0;0;0;0;0;0;0;891;0;0;0;0;0;1814;0;0;0;0;0;0;0;0
2014;612,00;0;0;0;0;0;1519;0;0;0;4819;0;0;0;8840;0;27052;0;0;0;2256;0;1425;0;0
2014;559,00;568;0;0;0;0;0;0;0;0;783;0;0;0;1688;0;5977;0;0;0;567;0;541;0;0
2014;7,00;0;0;0;0;0;0;0;0;0;793;0;0;0;0;0;3664;0;0;0;295;0;0;0;0
2014;283,00;3395;0;0;74;0;1348;0;3917;0;4640;0;1765;0;12811;0;46558;0;47;0;7348;0;865;25;25
2014;37,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;153,00;3108;0;0;0;0;1220;0;0;0;4300;0;0;0;10161;0;57633;0;0;0;5802;0;970;41;0
2014;547,00;11797;0;9;99;0;0;0;0;0;1743;0;0;0;0;0;70574;0;0;0;5870;0;2034;140;70
2014;397,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;612;0;0;0;0;0;0;0;0
2014;556,00;4323;0;1;0;0;0;0;0;0;1150;0;0;0;0;0;41548;0;0;0;3490;0;1116;0;0
2014;42,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;31,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;740,00;20328;0;48;1558;0;1726;0;4083;0;6561;9997;0;0;3275;0;134866;73537;1368;0;20127;0;6635;726;204
2014;217,00;1869;0;0;0;0;250;0;0;0;1427;0;0;0;2411;0;25902;0;0;0;1711;0;559;25;0
2014;863,00;556;0;0;0;0;3;0;0;0;329;0;0;0;5622;0;9893;0;0;0;1090;0;184;0;0
2014;889,00;21257;0;38;2712;0;3019;0;4651;0;3536;0;1735;0;4202;0;132009;100034;820;0;23068;0;4431;709;256
2014;984,00;1300;0;0;0;0;366;0;0;0;1572;0;0;0;3446;0;25805;0;0;0;3010;0;615;44;0
2014;1106,00;0;0;0;0;0;0;0;0;0;129;0;0;0;872;0;2416;0;0;0;445;0;83;0;0
2014;34,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;791,00;6540;0;0;0;0;1381;0;0;0;1452;0;0;0;8055;0;64606;0;0;0;9493;0;1074;0;126
2014;181,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;0;0;0;0;0;0;0;0
2014;430,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7452;0;0;0;0;0;0;0;0
2014;715,00;15855;0;3;152;0;0;0;4186;0;4220;0;0;0;18435;0;122087;0;677;0;28045;0;2765;327;83
2014;521,00;259;0;0;0;0;0;0;0;0;0;0;0;0;1413;0;22158;0;0;0;550;0;73;29;0
2014;524,00;0;0;0;47;0;0;0;664;0;3194;0;0;0;4507;0;10880;0;0;0;2878;0;479;61;30
2014;432,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4875;0;0;0;0;0;52;0;0
2014;459,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5987;0;0;0;0;0;0;0;0
2014;320,00;393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4831;0;0;0;0;0;0;0;0
2014;45,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;618,00;4310;0;1;0;0;0;0;0;0;2677;0;0;0;0;0;50442;3880;0;0;4149;0;1380;118;0
2014;463,00;9067;0;4;0;0;0;0;0;0;3986;0;0;0;4325;0;78698;17251;0;0;9589;0;2969;160;87
2014;891,00;3597;0;4;0;0;0;0;0;0;0;0;0;0;139;0;16627;0;0;0;674;0;792;94;0
2014;958,00;14675;0;4;0;0;777;0;0;0;3098;0;0;0;6258;0;72396;0;0;0;18725;0;2621;217;98
2014;244,00;974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1895;0;0;0;123;0;298;0;0
2014;28,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;444,00;4308;0;0;0;0;0;0;0;0;431;0;0;0;0;0;13235;0;0;0;0;0;2338;0;0
2014;479,00;589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2471;0;0;0;0;0;532;0;0
2014;285,00;0;0;0;0;0;3075;0;0;0;4426;0;0;0;5899;0;31511;0;0;0;5384;0;1423;96;29
2014;253,00;10766;0;1;122;0;3345;0;0;0;8378;0;0;0;15210;0;68612;0;0;0;9940;0;2728;46;0
2014;481,00;2215;0;2;0;0;1284;0;0;0;2020;0;0;0;5325;0;20028;0;0;0;2877;0;555;10;8
2014;540,00;9850;0;0;84;0;0;0;924;0;3226;0;301;0;7297;0;32322;0;0;0;5848;0;0;0;0
2014;332,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;41,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;510,00;1547;0;0;0;0;464;0;0;0;1040;0;0;0;2852;0;26828;0;0;0;1289;0;566;3;4
2014;305,00;0;0;0;0;0;0;0;0;0;1722;0;0;0;0;0;17159;0;0;0;0;0;0;0;0
2014;708,00;4588;0;7;0;0;0;0;0;0;9216;0;0;0;0;0;105178;0;0;0;10119;0;1274;145;109
2014;755,00;33110;0;137;2762;0;9573;0;7997;0;14069;1960;5577;0;20592;0;362400;98285;5320;0;63683;0;6122;1196;520
2014;750,00;20871;0;75;2522;0;3569;0;3969;0;8281;5746;0;0;8111;0;299486;51631;2475;0;42312;0;7876;1360;425
2014;696,00;12865;0;19;281;0;0;0;0;0;10784;0;0;0;8431;0;193058;83112;0;0;28754;0;5390;2061;226
2014;434,00;0;0;0;0;0;0;0;0;0;3335;0;0;0;0;0;19588;0;0;0;2108;0;1160;9;0
2014;421,00;0;0;0;0;0;0;0;0;0;0;0;0;0;5283;0;21853;0;0;0;1781;0;0;0;0
2014;827,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;933,00;10833;0;1;0;0;0;0;0;0;6317;0;0;0;5250;0;155915;0;0;0;14697;0;3495;374;177
