"año";"NCODI";"pacienteTot_hospDom";"visitaTot_hospDom"
2014;113,00;0;0
2014;619,00;0;0
2014;163,00;0;0
2014;131,00;0;0
2014;375,00;0;0
2014;1090,00;907;12559
2014;764,00;0;0
2014;14,00;0;0
2014;657,00;0;0
2014;362,00;0;0
2014;989,00;0;0
2014;990,00;0;0
2014;680,00;3698;23269
2014;411,00;0;0
2014;241,00;0;0
2014;558,00;1397;15098
2014;167,00;0;0
2014;248,00;0;0
2014;224,00;0;0
2014;591,00;483;10881
2014;586,00;3436;13566
2014;453,00;0;0
2014;145,00;0;0
2014;511,00;2559;12571
2014;530,00;1386;7560
2014;6,00;0;0
2014;161,00;0;0
2014;623,00;1019;12974
2014;489,00;0;0
2014;875,00;0;0
2014;940,00;0;0
2014;946,00;0;0
2014;1023,00;1026;14511
2014;1054,00;1180;19289
2014;1057,00;0;0
2014;1031,00;0;0
2014;1032,00;1381;15703
2014;1064,00;0;0
2014;226,00;0;0
2014;687,00;0;0
2014;745,00;191;860
2014;109,00;0;0
2014;808,00;0;0
2014;971,00;0;0
2014;128,00;0;0
2014;919,00;241;1912
2014;725,00;0;0
2014;3,00;0;0
2014;306,00;0;0
2014;15,00;0;0
2014;264,00;0;0
2014;867,00;0;0
2014;910,00;0;0
2014;1053,00;0;0
2014;1055,00;0;0
2014;1081,00;0;0
2014;1099,00;0;0
2014;529,00;0;0
2014;345,00;0;0
2014;515,00;0;0
2014;174,00;0;0
2014;523,00;0;0
2014;697,00;0;0
2014;239,00;0;0
2014;287,00;35;5460
2014;377,00;0;0
2014;692,00;417;7422
2014;335,00;0;0
2014;435,00;0;0
2014;423,00;0;0
2014;351,00;0;0
2014;810,00;0;0
2014;830,00;0;0
2014;892,00;0;0
2014;921,00;0;0
2014;991,00;0;0
2014;992,00;39;591
2014;993,00;0;0
2014;1070,00;348;3795
2014;1095,00;0;0
2014;1094,00;0;0
2014;473,00;0;0
2014;663,00;167;201
2014;552,00;0;0
2014;772,00;422;5064
2014;568,00;0;0
2014;398,00;0;0
2014;394,00;0;0
2014;614,00;0;0
2014;235,00;0;0
2014;616,00;462;5043
2014;267,00;0;0
2014;565,00;0;0
2014;220,00;0;0
2014;278,00;0;0
2014;107,00;409;4370
2014;711,00;0;0
2014;204,00;0;0
2014;579,00;0;0
2014;348,00;0;0
2014;766,00;0;0
2014;761,00;0;0
2014;728,00;0;0
2014;280,00;0;0
2014;222,00;0;0
2014;276,00;0;0
2014;11,00;0;0
2014;302,00;0;0
2014;682,00;0;0
2014;279,00;0;0
2014;282,00;0;0
2014;281,00;198;5000
2014;183,00;0;0
2014;610,00;0;0
2014;116,00;0;0
2014;115,00;0;0
2014;114,00;195;981
2014;119,00;0;0
2014;770,00;951;11815
2014;583,00;587;4435
2014;136,00;251;3145
2014;469,00;78;1376
2014;642,00;361;4267
2014;674,00;133;341
2014;193,00;0;0
2014;526,00;0;0
2014;698,00;656;8250
2014;630,00;0;0
2014;124,00;0;0
2014;364,00;0;0
2014;439,00;0;0
2014;570,00;484;6407
2014;123,00;0;0
2014;310,00;305;3183
2014;571,00;0;0
2014;296,00;0;0
2014;566,00;264;2139
2014;784,00;938;11757
2014;102,00;0;0
2014;379,00;0;0
2014;639,00;471;3269
2014;457,00;136;136
2014;609,00;0;0
2014;101,00;0;0
2014;454,00;0;0
2014;318,00;0;0
2014;600,00;285;1539
2014;545,00;368;427
2014;100,00;0;0
2014;702,00;409;4754
2014;778,00;296;1430
2014;341,00;0;0
2014;99,00;987;6398
2014;767,00;644;4559
2014;359,00;0;0
2014;98,00;0;0
2014;132,00;0;0
2014;97,00;0;0
2014;103,00;0;0
2014;110,00;0;0
2014;94,00;0;0
2014;91,00;0;0
2014;664,00;255;4526
2014;918,00;645;7592
2014;92,00;0;0
2014;95,00;0;0
2014;96,00;0;0
2014;301,00;0;0
2014;492,00;0;0
2014;811,00;0;0
2014;812,00;0;0
2014;832,00;0;0
2014;841,00;0;0
2014;856,00;0;0
2014;859,00;0;0
2014;861,00;0;0
2014;880,00;0;0
2014;883,00;0;0
2014;884,00;0;0
2014;877,00;0;0
2014;911,00;0;0
2014;913,00;0;0
2014;922,00;0;0
2014;923,00;0;0
2014;924,00;0;0
2014;947,00;0;0
2014;951,00;0;0
2014;1103,00;0;0
2014;972,00;0;0
2014;973,00;0;0
2014;974,00;0;0
2014;975,00;0;0
2014;960,00;118;1774
2014;1028,00;0;0
2014;976,00;263;385
2014;977,00;0;0
2014;1020,00;0;0
2014;994,00;0;0
2014;995,00;0;0
2014;1060,00;0;0
2014;1005,00;0;0
2014;1061,00;0;0
2014;1006,00;0;0
2014;1088,00;0;0
2014;1089,00;0;0
2014;1076,00;0;0
2014;1078,00;0;0
2014;1033,00;507;5315
2014;1037,00;0;0
2014;1039,00;0;0
2014;1067,00;0;0
2014;1065,00;0;0
2014;1066,00;0;0
2014;1100,00;0;0
2014;1105,00;0;0
2014;1107,00;0;0
2014;207,00;0;0
2014;431,00;0;0
2014;387,00;0;0
2014;179,00;0;0
2014;606,00;0;0
2014;925,00;856;17336
2014;541,00;0;0
2014;797,00;0;0
2014;627,00;0;0
2014;173,00;0;0
2014;636,00;0;0
2014;205,00;0;0
2014;814,00;0;0
2014;881,00;0;0
2014;771,00;162;837
2014;533,00;538;954
2014;447,00;0;0
2014;815,00;0;0
2014;801,00;0;0
2014;800,00;0;0
2014;389,00;0;0
2014;695,00;415;622
2014;816,00;0;0
2014;833,00;0;0
2014;870,00;0;0
2014;927,00;0;0
2014;961,00;266;1780
2014;962,00;0;0
2014;1079,00;0;0
2014;1101,00;0;0
2014;666,00;1530;11573
2014;392,00;0;0
2014;790,00;479;12554
2014;650,00;503;2019
2014;876,00;1210;13168
2014;944,00;0;0
2014;952,00;0;0
2014;54,00;0;0
2014;367,00;0;0
2014;538,00;0;0
2014;557,00;0;0
2014;653,00;0;0
2014;647,00;0;0
2014;978,00;0;0
2014;996,00;0;0
2014;729,00;0;0
2014;182,00;0;0
2014;633,00;0;0
2014;685,00;0;0
2014;683,00;0;0
2014;945,00;0;0
2014;953,00;0;0
2014;1022,00;0;0
2014;1049,00;0;0
2014;794,00;947;10282
2014;415,00;53;402
2014;592,00;0;0
2014;497,00;0;0
2014;458,00;42;2451
2014;726,00;212;3611
2014;272,00;0;0
2014;805,00;549;592
2014;5,00;0;0
2014;234,00;0;0
2014;64,00;0;0
2014;842,00;354;4254
2014;843,00;292;4749
2014;803,00;0;0
2014;211,00;0;0
2014;773,00;0;0
2014;424,00;0;0
2014;298,00;0;0
2014;594,00;0;0
2014;237,00;0;0
2014;16,00;0;0
2014;768,00;0;0
2014;617,00;0;0
2014;297,00;0;0
2014;105,00;0;0
2014;544,00;0;0
2014;804,00;0;0
2014;470,00;0;0
2014;104,00;0;0
2014;20,00;0;0
2014;550,00;274;3574
2014;112,00;0;0
2014;818,00;0;0
2014;914,00;0;0
2014;928,00;0;0
2014;964,00;0;0
2014;1026,00;0;0
2014;1068,00;0;0
2014;1108,00;0;0
2014;738,00;0;0
2014;404,00;223;5874
2014;274,00;0;0
2014;270,00;0;0
2014;676,00;0;0
2014;709,00;0;0
2014;754,00;0;0
2014;997,00;0;0
2014;734,00;52;104
2014;299,00;0;0
2014;645,00;0;0
2014;17,00;0;0
2014;1046,00;0;0
2014;420,00;0;0
2014;802,00;0;0
2014;266,00;0;0
2014;137,00;0;0
2014;769,00;0;0
2014;776,00;402;4334
2014;640,00;635;5142
2014;315,00;0;0
2014;40,00;0;0
2014;508,00;316;4440
2014;46,00;0;0
2014;590,00;368;4617
2014;777,00;843;16394
2014;897,00;2481;28313
2014;965,00;0;0
2014;671,00;0;0
2014;461,00;0;0
2014;376,00;0;0
2014;621,00;0;0
2014;793,00;229;1011
2014;1102,00;0;0
2014;712,00;0;0
2014;32,00;0;0
2014;361,00;0;0
2014;486,00;0;0
2014;595,00;0;0
2014;433,00;0;0
2014;1058,00;0;0
2014;261,00;0;0
2014;730,00;0;0
2014;577,00;0;0
2014;788,00;0;0
2014;865,00;0;0
2014;979,00;0;0
2014;998,00;0;0
2014;221,00;0;0
2014;506,00;0;0
2014;727,00;199;1784
2014;355,00;0;0
2014;487,00;0;0
2014;938,00;0;0
2014;886,00;0;0
2014;835,00;0;0
2014;999,00;0;0
2014;798,00;1071;10076
2014;504,00;0;0
2014;247,00;0;0
2014;216,00;0;0
2014;654,00;170;452
2014;65,00;0;0
2014;472,00;0;0
2014;427,00;0;0
2014;491,00;0;0
2014;551,00;0;0
2014;106,00;0;0
2014;819,00;0;0
2014;836,00;0;0
2014;915,00;0;0
2014;942,00;0;0
2014;748,00;1724;23493
2014;198,00;0;0
2014;871,00;399;4662
2014;948,00;0;0
2014;1051,00;0;0
2014;1083,00;0;0
2014;1096,00;0;0
2014;679,00;585;13224
2014;176,00;0;0
2014;537,00;0;0
2014;608,00;131;5294
2014;596,00;0;0
2014;749,00;0;0
2014;758,00;245;471
2014;1104,00;1705;17521
2014;436,00;0;0
2014;567,00;0;0
2014;677,00;0;0
2014;670,00;163;2062
2014;588,00;666;4924
2014;753,00;282;3054
2014;887,00;0;0
2014;245,00;0;0
2014;603,00;0;0
2014;426,00;0;0
2014;232,00;0;0
2014;288,00;0;0
2014;246,00;0;0
2014;284,00;0;0
2014;18,00;0;0
2014;356,00;0;0
2014;401,00;2;84
2014;733,00;0;0
2014;243,00;0;0
2014;380,00;0;0
2014;716,00;0;0
2014;534,00;0;0
2014;185,00;0;0
2014;258,00;0;0
2014;505,00;0;0
2014;268,00;0;0
2014;602,00;0;0
2014;254,00;0;0
2014;705,00;0;0
2014;133,00;0;0
2014;33,00;0;0
2014;143,00;0;0
2014;36,00;0;0
2014;756,00;0;0
2014;662,00;66;2044
2014;192,00;0;0
2014;382,00;0;0
2014;322,00;0;0
2014;478,00;0;0
2014;352,00;0;0
2014;628,00;0;0
2014;291,00;0;0
2014;495,00;0;0
2014;845,00;321;3097
2014;498,00;0;0
2014;314,00;0;0
2014;720,00;0;0
2014;721,00;0;0
2014;485,00;0;0
2014;273,00;0;0
2014;846,00;0;0
2014;847,00;0;0
2014;848,00;3;97
2014;864,00;0;0
2014;916,00;0;0
2014;930,00;0;0
2014;954,00;0;0
2014;943,00;0;0
2014;949,00;341;3048
2014;980,00;0;0
2014;981,00;0;0
2014;1024,00;0;0
2014;1017,00;39;219
2014;1000,00;0;0
2014;1018,00;0;0
2014;1001,00;0;0
2014;1007,00;0;0
2014;1008,00;0;0
2014;1009,00;195;1887
2014;1010,00;0;0
2014;1011,00;0;0
2014;1012,00;0;0
2014;1013,00;0;0
2014;1041,00;0;0
2014;1073,00;541;6770
2014;1087,00;0;0
2014;789,00;0;0
2014;326,00;0;0
2014;442,00;0;0
2014;294,00;0;0
2014;378,00;0;0
2014;402,00;0;0
2014;29,00;0;0
2014;450,00;0;0
2014;656,00;0;0
2014;333,00;0;0
2014;668,00;0;0
2014;684,00;0;0
2014;422,00;0;0
2014;763,00;762;6622
2014;741,00;0;0
2014;553,00;0;0
2014;357,00;0;0
2014;899,00;0;0
2014;900,00;0;0
2014;932,00;0;0
2014;950,00;0;0
2014;966,00;0;0
2014;967,00;1129;4104
2014;982,00;0;0
2014;1014,00;0;0
2014;1048,00;0;0
2014;1080,00;0;0
2014;1074,00;0;0
2014;1084,00;0;0
2014;722,00;304;6353
2014;660,00;271;1672
2014;75,00;63;2957
2014;249,00;0;0
2014;275,00;0;0
2014;227,00;0;0
2014;150,00;0;0
2014;47,00;0;0
2014;172,00;0;0
2014;581,00;0;0
2014;120,00;0;0
2014;445,00;0;0
2014;471,00;0;0
2014;53,00;0;0
2014;199,00;0;0
2014;575,00;0;0
2014;528,00;0;0
2014;631,00;0;0
2014;699,00;0;0
2014;823,00;0;0
2014;849,00;0;0
2014;869,00;0;0
2014;955,00;0;0
2014;983,00;0;0
2014;1002,00;0;0
2014;1015,00;0;0
2014;51,00;0;0
2014;441,00;0;0
2014;327,00;0;0
2014;690,00;0;0
2014;262,00;0;0
2014;403,00;0;0
2014;312,00;0;0
2014;589,00;266;0
2014;665,00;677;6770
2014;334,00;0;0
2014;1075,00;622;8840
2014;751,00;963;14533
2014;186,00;0;0
2014;646,00;0;0
2014;536,00;0;0
2014;242,00;0;0
2014;490,00;0;0
2014;500,00;0;0
2014;206,00;0;0
2014;58,00;0;0
2014;572,00;353;19267
2014;180,00;0;0
2014;549,00;0;0
2014;582,00;0;0
2014;743,00;451;7396
2014;795,00;0;0
2014;269,00;0;0
2014;634,00;0;0
2014;1,00;0;0
2014;717,00;0;0
2014;373,00;0;0
2014;535,00;0;0
2014;824,00;0;0
2014;888,00;0;0
2014;902,00;0;0
2014;968,00;0;0
2014;346,00;0;0
2014;27,00;0;0
2014;165,00;0;0
2014;956,00;159;1384
2014;413,00;0;0
2014;149,00;0;0
2014;612,00;0;0
2014;559,00;0;0
2014;7,00;0;0
2014;283,00;0;0
2014;37,00;0;0
2014;153,00;0;0
2014;547,00;156;2371
2014;397,00;0;0
2014;556,00;0;0
2014;42,00;0;0
2014;31,00;0;0
2014;740,00;111;2165
2014;217,00;0;0
2014;863,00;0;0
2014;889,00;609;9531
2014;984,00;0;0
2014;1106,00;0;0
2014;34,00;0;0
2014;791,00;0;0
2014;181,00;0;0
2014;430,00;0;0
2014;715,00;489;3934
2014;521,00;0;0
2014;524,00;0;0
2014;432,00;0;0
2014;19,00;0;0
2014;25,00;0;0
2014;26,00;0;0
2014;890,00;822;5894
2014;904,00;300;2329
2014;957,00;891;13938
2014;939,00;0;0
2014;236,00;0;0
2014;735,00;276;2678
2014;146,00;0;0
2014;363,00;0;0
2014;187,00;0;0
2014;265,00;0;0
2014;295,00;0;0
2014;496,00;0;0
2014;77,00;0;0
2014;391,00;0;0
2014;240,00;0;0
2014;448,00;0;0
2014;151,00;0;0
2014;425,00;0;0
2014;300,00;0;0
2014;339,00;0;0
2014;826,00;0;0
2014;874,00;0;0
2014;905,00;95;2071
2014;736,00;1567;20318
2014;459,00;0;0
2014;320,00;0;0
2014;45,00;0;0
2014;618,00;279;25791
2014;463,00;0;0
2014;891,00;0;0
2014;958,00;0;0
2014;244,00;0;0
2014;28,00;0;0
2014;444,00;0;0
2014;479,00;0;0
2014;285,00;0;0
2014;253,00;0;0
2014;481,00;0;0
2014;540,00;2529;2529
2014;332,00;0;0
2014;41,00;0;0
2014;510,00;0;0
2014;305,00;0;0
2014;708,00;0;0
2014;755,00;1970;11367
2014;750,00;2398;5671
2014;696,00;0;0
2014;434,00;0;0
2014;421,00;0;0
2014;827,00;0;0
2014;933,00;0;0
2014;1030,00;0;0
2014;1003,00;0;0
2014;1050,00;0;0
2014;1043,00;0;0
2014;934,00;0;0
2014;629,00;1080;11803
2014;21,00;0;0
2014;615,00;0;0
2014;626,00;0;0
2014;417,00;0;0
2014;597,00;0;0
2014;539,00;0;0
2014;343,00;0;0
2014;135,00;0;0
2014;158,00;0;0
2014;775,00;341;2963
2014;177,00;0;0
2014;578,00;0;0
2014;416,00;0;0
2014;561,00;288;1821
2014;62,00;0;0
2014;828,00;0;0
2014;860,00;0;0
2014;935,00;0;0
2014;936,00;0;0
2014;986,00;0;0
2014;987,00;0;0
2014;1021,00;0;0
2014;1085,00;0;0
2014;658,00;0;0
2014;353,00;0;0
2014;323,00;0;0
2014;620,00;0;0
2014;384,00;0;0
2014;554,00;0;0
2014;209,00;0;0
2014;707,00;0;0
2014;395,00;0;0
2014;969,00;0;0
2014;1052,00;0;0
2014;739,00;4837;33187
2014;613,00;1897;18352
2014;593,00;1262;4744
2014;704,00;1776;16702
2014;493,00;0;0
2014;686,00;1953;14702
2014;257,00;0;0
2014;494,00;0;0
2014;681,00;542;29125
2014;286,00;0;0
2014;255,00;0;0
2014;79,00;0;0
2014;81,00;0;0
2014;688,00;782;8852
2014;531,00;1736;15180
2014;514,00;312;2269
2014;499,00;0;0
2014;532,00;1145;8880
2014;190,00;0;0
2014;598,00;0;0
2014;260,00;0;0
2014;838,00;0;0
2014;839,00;0;0
2014;851,00;0;0
2014;852,00;1005;5231
2014;988,00;0;0
2014;1056,00;770;6213
2014;1044,00;0;0
2014;644,00;443;6385
2014;752,00;2029;13821
2014;238,00;0;0
2014;325,00;0;0
2014;622,00;0;0
2014;879,00;0;0
2014;906,00;0;0
2014;370,00;0;0
2014;418,00;0;0
2014;574,00;0;0
2014;399,00;0;0
2014;195,00;0;0
2014;783,00;2090;16471
2014;263,00;0;0
2014;194,00;0;0
2014;785,00;2040;20988
2014;780,00;0;0
2014;782,00;429;7463
2014;369,00;0;0
2014;84,00;0;0
2014;713,00;0;0
2014;941,00;0;0
2014;1091,00;260;11062
2014;1045,00;0;0
2014;1086,00;0;0
2014;937,00;318;6993
2014;1004,00;0;0
2014;737,00;0;0
2014;765,00;0;0
2014;329,00;0;0
2014;87,00;0;0
2014;527,00;0;0
2014;562,00;0;0
2014;251,00;0;0
2014;129,00;0;0
2014;154,00;805;2310
2014;516,00;0;0
2014;184,00;0;0
2014;652,00;0;0
2014;637,00;0;0
2014;88,00;0;0
2014;907,00;0;0
2014;970,00;0;0
2014;1019,00;0;0
2014;1016,00;0;0
2014;1047,00;0;0
2014;635,00;0;0
