"año";"NCODI";"due_cTotal";"matronas_cTotal";"oDueEspeciali_cTotal";"fisioterapeutas_cTotal";"terapeutas_cTotal";"logopedas_cTotal";"oSaniMedio_cTotal";"gMedioSani_cTotal";"gSuperiorSani_cTotal";"tecSani_cTotal";"restSani_cTotal2";"due_cMujeres";"matronas_cMujeres";"oDueEspeciali_cMujeres";"fisioterapeutas_cMujeres";"terapeutas_cMujeres";"logopedas_cMujeres";"oSaniMedio_cMujeres";"gMedioSani_cMujeres";"gSuperiorSani_cMujeres";"tecSani_cMujeres";"restSani_cMujeres2";"due_pTotal";"matronas_pTotal";"oDueEspeciali_pTotal";"fisioterapeutas_pTotal";"terapeutas_pTotal";"logopedas_pTotal";"oSaniMedio_pTotal";"gMedioSani_pTotal";"gSuperiorSani_pTotal";"tecSani_pTotal";"restSani_pTotal2";"due_pMujeres";"matronas_pMujeres";"oDueEspeciali_pMujeres";"fisioterapeutas_pMujeres";"terapeutas_pMujeres";"logopedas_pMujeres";"oSaniMedio_pMujeres";"gMedioSani_pMujeres";"gSuperiorSani_pMujeres";"tecSani_pMujeres";"restSani_pMujeres2";"due_colabTotal";"matronas_colabTotal";"oDueEspeciali_colabTotal";"fisioterapeutas_colabTotal";"terapeutas_colabTotal";"logopedas_colabTotal";"oSaniMedio_colabTotal";"gMedioSani_colabTotal";"gSuperiorSani_colabTotal";"tecSani_colabTotal";"restSani_colabTotal2";"due_colabMujeres";"matronas_colabMujeres";"oDueEspeciali_colabMujeres";"fisioterapeutas_colabMujeres";"terapeutas_colabMujeres";"logopedas_colabMujeres";"oSaniMedio_colabMujeres";"gMedioSani_colabMujeres";"gSuperiorSani_colabMujeres";"tecSani_colabMujeres";"restSani_colabMujeres2";"direccion_cTotal";"trabSocial_cTotal";"perOficio_cTotal";"administrativos_cTotal";"oNoSani_cTotal";"direccion_cMujeres";"trabSocial_cMujeres";"perOficio_cMujeres";"administrativos_cMujeres";"oNoSani_cMujeres";"direccion_pTotal";"trabSocial_pTotal";"perOficio_pTotal";"administrativos_pTotal";"oNoSani_pTotal";"direccion_pMujeres";"trabSocial_pMujeres";"perOficio_pMujeres";"administrativos_pMujeres";"oNoSani_pMujeres";"direccion_colabTotal";"trabSocial_colabTotal";"perOficio_colabTotal";"administrativos_colabTotal";"oNoSani_colabTotal";"direccion_colabMujeres";"trabSocial_colabMujeres";"perOficio_colabMujeres";"administrativos_colabMujeres";"oNoSani_colabMujeres"
2011;781,00;602;21;10;29;3;0;1;388;94;482;0;563;21;8;22;3;0;1;376;81;457;0;143;6;2;8;0;0;2;44;9;53;0;133;6;2;6;0;0;1;43;9;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;2;56;176;198;13;2;12;154;125;1;0;3;19;11;1;0;2;19;4;0;0;0;0;0;0;0;0;0;0
2011;779,00;400;0;19;24;1;0;0;281;155;436;0;375;0;18;19;1;0;0;171;48;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;3;29;139;230;9;3;6;122;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;113,00;74;0;0;0;1;0;0;151;0;151;0;67;0;0;0;1;0;0;119;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;12;11;30;43;5;8;0;24;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;619,00;47;0;0;0;0;0;0;27;0;27;7;44;0;0;0;0;0;0;20;0;20;7;9;0;0;0;0;0;0;13;0;13;1;7;0;0;0;0;0;0;11;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;21;25;2;0;0;18;20;0;0;3;8;3;0;0;0;8;3;1;0;0;0;0;0;0;0;0;0
2011;163,00;21;0;0;0;0;0;0;17;5;22;0;21;0;0;0;0;0;0;17;4;21;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;6;4;4;0;0;6;1;0;0;0;7;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
2011;131,00;11;0;0;1;0;0;0;50;0;50;0;8;0;0;1;0;0;0;42;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;26;2;0;1;1;23;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;375,00;28;0;0;4;0;0;0;28;4;32;0;26;0;0;3;0;0;0;26;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;37;5;8;1;0;30;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;764,00;961;25;0;40;7;2;0;692;166;858;0;872;25;0;28;7;2;0;671;130;801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;13;80;258;410;16;12;3;203;290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;14,00;18;0;0;0;0;0;0;11;1;12;0;14;0;0;0;0;0;0;11;0;11;0;8;0;0;0;0;0;0;3;0;3;0;7;0;0;0;0;0;0;3;0;3;0;1;4;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;6;4;12;0;0;6;4;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2011;657,00;127;6;0;9;0;0;0;113;26;139;0;107;4;0;6;0;0;0;111;23;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;13;44;53;1;2;0;31;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;362,00;62;0;0;2;0;0;0;32;14;46;0;49;0;0;1;0;0;0;29;12;41;0;6;0;0;0;0;0;0;1;0;1;0;6;0;0;0;0;0;0;1;0;1;0;0;4;1;1;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;10;0;4;21;33;3;0;0;16;20;2;0;0;5;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
2011;989,00;135;6;0;9;3;1;124;96;24;120;0;110;4;0;7;2;1;0;91;21;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;2;2;4;0;9;0;0;0;0;0;0;2;2;4;0;3;1;0;16;44;2;1;0;13;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;990,00;128;5;0;5;1;1;1;109;23;132;0;114;5;0;5;1;1;1;97;20;117;0;4;1;0;0;0;0;0;1;0;1;0;3;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;3;39;39;5;1;1;31;19;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2011;680,00;939;26;0;21;0;0;0;715;80;795;3;761;25;0;14;0;0;0;697;65;762;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;7;98;222;302;21;7;24;191;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;411,00;76;4;0;3;0;0;0;77;14;91;0;58;4;0;2;0;0;0;72;12;84;0;17;0;0;0;0;0;0;14;7;21;0;13;0;0;0;0;0;0;14;4;18;0;4;5;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;4;0;3;30;57;2;0;0;22;33;0;0;0;5;9;0;0;0;3;3;0;0;2;0;1;0;0;0;0;0
2011;241,00;59;0;0;0;0;0;0;76;0;76;0;45;0;0;0;0;0;0;62;0;62;0;22;0;0;0;0;0;0;12;0;12;0;16;0;0;0;0;0;0;10;0;10;0;1;8;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;3;0;2;22;7;1;0;0;14;7;1;0;1;8;3;1;0;0;8;3;0;0;0;0;0;0;0;0;0;0
2011;558,00;314;11;0;10;0;0;1;193;38;231;0;272;11;0;4;0;0;1;183;32;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;29;80;133;5;1;5;69;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
