"año";"NCODI";"pacienteTot_med";"sesionTot_med";"pacienteTot_psiquia";"sesionTot_psiquia";"pacienteTot_geria";"sesionTot_geria"
2011;285,00;216;1050;0;0;0;0
2011;253,00;0;0;0;0;0;0
2011;481,00;103;711;0;0;0;0
2011;540,00;0;0;0;0;0;0
2011;332,00;0;0;0;0;0;0
2011;41,00;0;0;0;0;0;0
2011;510,00;15;81;0;0;0;0
2011;305,00;7;37;0;0;0;0
2011;708,00;2328;2805;0;0;0;0
2011;755,00;43566;55874;0;0;0;0
2011;750,00;8106;71699;51;2962;0;0
2011;696,00;4741;18966;0;0;0;0
2011;434,00;907;1036;0;0;0;0
2011;421,00;0;0;0;0;0;0
2011;827,00;0;0;0;0;0;0
2011;933,00;4138;5014;0;0;0;0
2011;1030,00;129;877;0;0;0;0
2011;1003,00;865;1021;0;0;0;0
2011;1050,00;277;338;0;0;0;0
2011;1043,00;0;0;0;0;0;0
2011;934,00;807;4064;0;0;0;0
2011;629,00;2847;15871;7;239;0;0
2011;21,00;0;0;0;0;144;11334
2011;615,00;0;0;0;0;0;0
2011;626,00;0;0;0;0;0;0
2011;417,00;1483;1483;0;0;0;0
2011;597,00;0;0;0;0;24;1492
2011;539,00;1258;8553;0;0;88;11328
2011;343,00;0;0;0;0;0;0
2011;135,00;0;0;0;0;0;0
2011;158,00;0;0;178;9144;43;4977
2011;775,00;2423;12020;0;0;0;0
2011;177,00;0;0;0;0;107;3491
2011;578,00;0;0;0;0;0;0
2011;416,00;0;0;0;0;25;3778
2011;561,00;29;90;0;0;86;7844
2011;828,00;0;0;0;0;42;5092
2011;860,00;0;0;0;0;196;12540
2011;935,00;0;0;0;0;75;5040
2011;936,00;0;0;0;0;0;0
2011;986,00;0;0;15;3333;0;0
2011;987,00;0;0;0;0;0;0
2011;1021,00;0;0;0;0;0;0
2011;658,00;1332;2643;0;0;0;0
2011;353,00;0;0;0;0;409;3012
2011;323,00;0;0;20;3892;0;0
2011;620,00;0;0;0;0;0;0
2011;384,00;420;582;0;0;0;0
2011;484,00;36;252;35;3386;0;0
2011;554,00;857;6681;157;2473;0;0
2011;209,00;0;0;0;0;0;0
2011;707,00;2020;11933;0;0;92;2132
2011;395,00;0;0;0;0;0;0
2011;969,00;21;297;0;0;0;0
2011;1052,00;0;0;0;0;0;0
2011;739,00;1724;9963;0;0;0;0
2011;613,00;4938;14815;0;0;0;0
2011;593,00;3634;17858;0;0;0;0
2011;704,00;12542;37628;0;0;0;0
2011;493,00;0;0;0;0;0;0
2011;686,00;6279;26713;0;0;0;0
2011;257,00;0;0;0;0;0;0
2011;494,00;0;0;0;0;0;0
2011;681,00;1697;13728;0;0;0;0
2011;286,00;0;0;0;0;0;0
2011;255,00;347;3172;0;0;0;0
2011;79,00;0;0;0;0;0;0
2011;81,00;0;0;0;0;0;0
2011;688,00;589;7934;0;0;1;1
2011;531,00;3105;18635;0;0;0;0
2011;514,00;539;1134;0;0;0;0
2011;499,00;0;0;0;0;0;0
2011;532,00;615;7776;0;0;0;0
2011;190,00;0;0;0;0;0;0
2011;598,00;1930;5069;0;0;0;0
2011;260,00;0;0;0;0;0;0
2011;838,00;0;0;0;0;0;0
2011;839,00;2;2;0;0;0;0
2011;851,00;0;0;0;0;0;0
2011;852,00;2550;14156;98;380;0;0
2011;988,00;70;3810;44;5208;0;0
2011;1056,00;2709;9569;0;0;0;0
2011;1044,00;0;0;0;0;0;0
2011;644,00;2975;13306;0;0;0;0
2011;752,00;2496;12988;728;13453;0;0
2011;238,00;118;171;0;0;0;0
2011;325,00;0;0;0;0;0;0
2011;622,00;477;477;0;0;0;0
2011;879,00;0;0;0;0;0;0
2011;906,00;171;1301;0;0;0;0
2011;370,00;0;0;0;0;0;0
2011;418,00;0;0;0;0;0;0
2011;574,00;0;0;0;0;0;0
2011;399,00;59;59;0;0;0;0
2011;195,00;0;0;0;0;0;0
2011;783,00;9802;27021;129;1609;0;0
2011;188,00;9252;9252;0;0;0;0
2011;263,00;9016;9016;0;0;0;0
2011;194,00;0;0;0;0;0;0
2011;214,00;0;0;0;0;0;0
2011;785,00;8601;56738;119;3359;0;0
2011;780,00;2567;2567;0;0;0;0
2011;83,00;0;0;0;0;0;0
2011;782,00;1422;6116;66;1119;0;0
2011;369,00;0;0;0;0;0;0
2011;84,00;0;0;0;0;0;0
2011;713,00;0;0;0;0;0;0
2011;85,00;0;0;0;0;0;0
2011;86,00;0;0;0;0;0;0
2011;941,00;0;0;0;0;0;0
2011;1045,00;1095;1161;0;0;0;0
2011;937,00;1560;8957;26;1226;0;0
2011;1004,00;28;207;0;0;0;0
2011;737,00;0;8787;162;5055;0;0
2011;765,00;3808;27733;0;0;0;0
2011;329,00;2821;2821;1955;1955;0;0
2011;87,00;0;0;0;0;0;0
2011;527,00;0;0;0;0;595;5317
2011;562,00;0;0;0;0;0;0
2011;251,00;0;0;0;0;0;0
2011;129,00;0;0;0;0;0;0
2011;154,00;0;0;0;0;0;0
2011;516,00;2413;2778;0;0;0;0
2011;184,00;0;0;0;0;0;0
2011;652,00;0;0;0;0;0;0
2011;637,00;464;1081;0;0;0;0
2011;88,00;0;0;0;0;0;0
2011;907,00;0;0;0;0;0;0
2011;970,00;0;0;59;2406;0;0
2011;1019,00;0;0;0;0;0;0
2011;1016,00;0;0;0;0;0;0
2011;1047,00;100;1961;0;0;1;1
2011;635,00;200;2068;48;1632;0;0
2011;781,00;9883;31812;0;0;0;0
2011;779,00;5103;5103;1734;1734;0;0
2011;113,00;0;0;0;0;0;0
2011;619,00;177;667;0;0;0;0
2011;163,00;0;0;0;0;0;0
2011;131,00;0;0;0;0;0;0
2011;375,00;0;0;0;0;0;0
2011;764,00;1930;11823;3149;9030;308;357
2011;14,00;0;0;0;0;0;0
2011;657,00;859;977;0;0;0;0
2011;362,00;0;0;0;0;0;0
2011;989,00;295;1562;0;0;0;0
2011;990,00;280;1671;0;0;0;0
2011;680,00;39224;50799;0;0;0;0
2011;411,00;292;1404;0;0;0;0
2011;241,00;153;864;0;0;0;0
2011;558,00;2268;63858;0;0;0;0
2011;167,00;0;0;0;0;0;0
2011;248,00;458;3318;0;0;0;0
2011;224,00;0;0;0;0;0;0
2011;591,00;0;31423;0;0;1;1
2011;586,00;9475;28225;0;0;0;0
2011;453,00;41;1415;0;0;0;0
2011;145,00;0;0;0;0;0;0
2011;511,00;9804;11430;0;0;0;0
2011;530,00;4435;30860;0;0;0;0
2011;6,00;0;0;0;0;0;0
2011;161,00;0;0;0;0;0;0
2011;623,00;2146;9070;0;0;0;0
2011;489,00;0;0;0;0;0;0
2011;875,00;125;733;0;0;0;0
2011;908,00;0;0;0;0;0;0
2011;940,00;0;0;0;0;0;0
2011;946,00;0;0;0;0;0;0
2011;1023,00;4596;46141;0;0;0;0
2011;1054,00;2515;6674;0;0;0;0
2011;1057,00;0;0;0;0;0;0
2011;1031,00;0;0;0;0;0;0
2011;1032,00;3360;26026;0;0;0;0
2011;1064,00;0;0;0;0;0;0
2011;226,00;0;0;0;0;0;0
2011;687,00;2699;3487;123;3877;0;0
2011;745,00;7101;20176;149;1171;0;0
2011;109,00;0;0;0;0;0;0
2011;808,00;0;0;52;4291;0;0
2011;971,00;128;285;0;0;0;0
2011;128,00;0;0;0;0;0;0
2011;919,00;1337;8511;41;212;0;0
2011;725,00;0;10804;0;0;1;1
2011;3,00;0;0;0;0;0;0
2011;386,00;0;0;0;0;0;0
2011;306,00;0;0;0;0;0;0
2011;15,00;0;0;0;0;0;0
2011;264,00;0;0;0;0;0;0
2011;867,00;0;0;0;0;0;0
2011;910,00;430;1309;0;0;0;0
2011;1053,00;500;5511;0;0;0;1
2011;1055,00;5218;9964;0;0;0;0
