"año";"NCODI";"camas_medicina";"estancias_medicina";"altFinal_med";"altCuracion_med";"altTraslaHosp_med";"altExitus_med";"altOtracausa_med";"altTraslaInter_med";"camas_cirugia";"estancias_cirugia";"altFinal_cirugia";"altCuracion_cirugia";"altTraslaHosp_cirugia";"altExitus_cirugia";"altOtracausa_cirugia";"altTraslaInter_cirugia";"camas_trauma";"estancias_trauma";"altFinal_trauma";"altCuracion_trauma";"altTraslaHosp_trauma";"altExitus_trauma";"altOtracausa_trauma";"altTraslaInter_trauma";"camas_gine";"estancias_gine";"altFinal_gine";"altCuracion_gine";"altTraslaHosp_gine";"altExitus_gine";"altOtracausa_gine";"altTraslaInter_gine";"camas_pediatria";"estancias_pediatria";"altFinal_pediatria";"altCuracion_pediatria";"altTraslaHosp_pediatria";"altExitus_pediatria";"altOtracausa_pediatria";"altTraslaInter_pediatria";"camas_neonatologia";"estancias_neonatologia";"altFinal_neonatologia";"altCuracion_neonatologia";"altTraslaHosp_neonatologia";"altExitus_neonatologia";"altOtracausa_neonatologia";"altTraslaInter_neonatologia";"camas_restoPedia";"estancias_restoPedia";"altFinal_restoPedia";"altCuracion_restoPedia";"altTraslaHosp_restoPedia";"altExitus_restoPedia";"altOtracausa_restoPedia";"altTraslaInter_restoPedia";"camas_rehabilitacion";"estancias_rehabilitacion";"altFinal_rehabilitacion";"altCuracion_rehabilitacion";"altTraslaHosp_rehabilitacion";"altExitus_rehabilitacion";"altOtracausa_rehabilitacion";"altTraslaInter_rehabilitacion";"camas_mIntensiva";"estancias_mIntensiva";"aFinales_mIntensiva";"altCuracion_mIntensiva";"altTraslaHosp_mIntensiva";"altExitus_mIntensiva";"altOtracausa_mIntensiva";"altTraslaInter_mIntensiva";"camas_uci";"estancias_uci";"altFinal_uci";"altCuracion_uci";"altTraslaHosp_uci";"altExitus_uci";"altOtracausa_uci";"altTraslaInter_uci";"camas_uCoronarios";"estancias_uCoronarios";"altFinal_uCoronarios";"altCuracion_uCoronarios";"altTraslaHosp_uCoronarios";"altExitus_uCoronarios";"altOtracausa_uCoronarios";"altTraslaInter_uCoronarios";"camas_uNeonatales";"estancias_uNeonatales";"altFinal_uNeonatales";"altCuracion_uNeonatales";"altTraslaHosp_uNeonatales";"altExitus_uNeonatales";"altOtracausa_uNeonatales";"altTraslaInter_uNeonatales";"camas_uQuemados";"estancias_uQuemados";"altFinal_uQuemados";"altCuracion_uQuemados";"altTraslaHosp_uQuemados";"altExitus_uQuemados";"altOtracausa_uQuemados";"altTraslaInter_uQuemados";"camas_largaEstan";"estancias_largaEstan";"altFinal_largaEstan";"altCuracion_largaEstan";"altTraslaHosp_largaEstan";"altExitus_largaEstan";"altOtracausa_largaEstan";"altTraslaInter_largaEstan";"camas_psiquiatria";"estancias_psiquiatria";"altFinal_psiquiatria";"altCuracion_psiquiatria";"altTraslaHosp_psiquiatria";"altExitus_psiquiatria";"altOtracausa_psiquiatria";"altTraslaInter_psiquiatria";"camas_psiAgudo";"estancias_psiAgudo";"altFinal_psiAgudo";"altCuracion_psiAgudo";"altTraslaHosp_psiAgudo";"altExitus_psiAgudo";"altOtracausa_psiAgudo";"altTraslaInter_psiAgudo";"camas_psiquiMedia";"estancias_psiquiMedia";"altFinal_psiquiMedia";"altCuracion_psiquiMedia";"altTraslaHosp_psiquiMedia";"altExitus_psiquiMedia";"altOtracausa_psiquiMedia";"altTraslaInter_psiquiMedia";"camas_paliativos";"estancias_paliativos";"altFinal_paliativos";"altCuracion_paliativos";"altTraslaHosp_paliativos";"altExitus_paliativos";"altOtracausa_paliativos";"altTraslaInter_paliativos";"otros1_texto";"camas_o1";"estancias_o1";"altFinal_o1";"altCuracion_o1";"altTraslaHosp_o1";"altExitus_o1";"altOtracausa_o1";"altTraslaInter_o1";"otros2_texto";"camas_o2";"estancias_o2";"altFinal_o2";"altCuracion_o2";"altTraslaHosp_o2";"altExitus_o2";"altOtracausa_o2";"altTraslaInter_o2";"otros3_texto";"camas_o3";"estancias_o3";"altFinal_o3";"altCuracion_o3";"altTraslaHosp_o3";"altExitus_o3";"altOtracausa_o3";"altTraslaInter_o3";"camas_total";"estancias_total";"altFinal_total";"altCuracion_total";"altTraslaHosp_total";"altExitus_total";"altOtracausa_total";"altTraslaInter_total";"ingreProgr";"ingreUrge";"total_ingresosHops"
2011;533,00;20;1396;349;349;0;0;0;0;53;9765;1257;1257;0;0;0;0;0;0;0;0;0;0;0;0;35;457;272;272;0;0;0;0;7;95;95;95;0;0;0;0;5;0;0;0;0;0;0;0;2;95;95;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;115;11713;1973;1973;0;0;0;0;1797;181;1978
2011;447,00;95;20952;2275;1900;80;295;0;0;43;4822;1432;1417;4;11;0;0;37;8012;1192;1133;56;3;0;0;7;1026;458;458;0;0;0;0;4;11;4;3;1;0;0;0;4;11;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;406;48;21;11;16;0;0;4;406;48;21;11;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;190;35229;5409;4932;152;325;0;0;2696;2803;5499
2011;815,00;5;86;86;86;0;0;0;0;7;745;573;573;0;0;0;0;1;40;37;37;0;0;0;0;4;48;31;30;1;0;0;0;1;69;69;69;0;0;0;0;0;0;0;0;0;0;0;0;1;69;69;69;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;19;988;796;795;1;0;0;0;754;42;796
2011;801,00;262;77734;8986;8053;312;561;60;1848;54;14132;2640;2587;30;15;8;204;32;8853;1421;1366;40;8;7;49;59;11166;3932;3885;5;0;42;81;66;12191;1682;1636;39;3;4;341;28;5486;546;522;21;2;1;0;38;6705;1136;1114;18;1;3;341;0;0;0;0;0;0;0;0;17;2244;318;143;38;136;1;627;17;2244;318;143;38;136;1;627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;7622;405;387;3;2;13;4;28;7622;405;387;3;2;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;518;133942;19384;18057;467;725;135;3154;9260;11355;20615
2011;800,00;90;25735;2375;1923;33;410;9;53;4;814;2976;2958;7;0;11;46;4;1197;783;774;6;2;1;8;2;169;210;209;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;100;27915;6344;5864;46;412;22;108;4374;1993;6367
2011;389,00;100;19123;3143;2746;95;261;41;0;65;8361;2056;2022;9;16;9;0;45;4781;1000;952;33;2;13;0;40;5653;1831;1787;12;0;32;0;32;3641;1207;1143;41;1;22;0;10;690;185;169;13;1;2;0;22;2951;1022;974;28;0;20;0;0;0;0;0;0;0;0;0;8;398;70;12;36;22;0;0;8;398;70;12;36;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;290;41957;9307;8662;226;302;117;0;2453;6854;9307
2011;759,00;27;3646;470;422;6;36;6;0;12;1580;273;259;5;6;3;0;5;585;97;97;0;0;0;0;1;131;32;32;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;289;17;1;4;11;1;0;4;289;17;1;4;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;50;6233;890;812;15;53;10;0;384;545;929
2011;695,00;116;44190;5763;5092;82;537;52;508;36;11153;2489;2452;4;23;10;198;18;5814;1154;1123;17;7;7;15;43;10784;3103;3063;22;0;18;62;22;4502;866;832;31;0;3;14;12;2591;340;321;18;0;1;3;10;1911;526;511;13;0;2;11;0;0;0;0;0;0;0;0;11;2051;133;20;26;87;0;402;11;2051;133;20;26;87;0;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;7856;584;523;11;2;48;5;29;7856;584;523;11;2;48;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;275;86350;14092;13105;193;656;138;1204;3842;10236;14078
2011;816,00;45;16876;2220;1841;69;272;38;0;19;5303;1078;1052;6;10;10;0;5;2518;502;477;19;5;1;0;5;2438;748;729;10;0;9;0;4;1646;655;629;23;0;3;0;1;4;4;3;1;0;0;0;3;1642;651;626;22;0;3;0;0;0;0;0;0;0;0;0;4;730;127;55;45;26;1;0;4;730;127;55;45;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;82;29511;5330;4783;172;313;62;0;1440;3991;5431
2011;833,00;37;18714;3276;2930;104;204;38;0;30;4710;1227;1218;1;3;5;0;18;3311;712;685;16;3;8;0;14;2944;995;955;6;0;34;0;10;1216;679;661;12;0;6;0;2;49;18;12;6;0;0;0;8;1167;661;649;6;0;6;0;0;0;0;0;0;0;0;0;1;202;28;9;12;7;0;0;1;202;28;9;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;110;31097;6917;6458;151;217;91;0;2137;4780;6917
2011;870,00;27;5834;968;910;7;47;4;0;13;2751;1323;1319;1;2;1;0;5;1048;399;397;1;1;0;0;9;1885;633;633;0;0;0;0;4;653;252;241;10;0;1;0;1;26;10;9;1;0;0;0;3;627;242;232;9;0;1;0;0;0;0;0;0;0;0;0;3;738;89;76;5;8;0;0;3;738;89;76;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;61;12909;3664;3576;24;58;6;0;2549;1115;3664
2011;927,00;4;734;510;501;5;2;2;0;2;403;170;170;0;0;0;0;1;101;74;74;0;0;0;0;1;51;27;27;0;0;0;0;2;145;20;20;0;0;0;0;0;0;0;0;0;0;0;0;2;145;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4784;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;26;6218;802;793;5;2;2;0;433;369;802
2011;961,00;169;66292;6093;5167;190;675;61;573;88;20854;3530;3446;22;44;18;404;35;9100;1308;1256;25;13;14;26;74;13104;3958;3608;32;3;315;48;72;8077;2252;2135;98;2;17;37;32;1704;794;742;42;2;8;0;40;6373;1458;1393;56;0;9;37;0;0;0;0;0;0;0;0;20;5296;465;236;78;150;1;614;20;5296;465;236;78;150;1;614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3786;294;283;11;0;0;1;14;3786;294;283;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;472;126509;17900;16131;456;887;426;1703;7552;10286;17838
2011;962,00;10;326;316;316;0;0;0;0;9;771;765;765;0;0;0;0;11;126;122;122;0;0;0;0;1;83;79;79;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;32;1306;1282;1282;0;0;0;0;540;768;1308
