"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2011;781,00;2634;305;3004;205;0
2011;779,00;0;0;0;0;0
2011;113,00;0;0;0;0;0
2011;619,00;0;0;0;0;0
2011;163,00;0;0;0;0;0
2011;131,00;0;0;0;0;0
2011;375,00;0;0;0;0;0
2011;764,00;1853;557;2465;237;0
2011;14,00;313;239;561;0;
2011;657,00;359;130;493;4;0
2011;362,00;37;14;51;0;0
2011;989,00;313;98;411;0;0
2011;990,00;412;147;559;30;0
2011;680,00;1986;642;2692;311;0
2011;411,00;280;273;553;21;0
2011;241,00;325;465;803;23;0
2011;558,00;729;312;1054;56;0
2011;167,00;9;8;17;0;0
2011;248,00;0;0;0;0;0
2011;224,00;118;79;190;7;0
2011;591,00;1230;366;1650;180;0
2011;586,00;1173;347;1546;117;0
2011;453,00;0;0;0;0;0
2011;145,00;0;0;0;0;0
2011;511,00;842;348;1195;79;0
2011;530,00;1158;306;1476;70;0
2011;6,00;277;332;609;42;0
2011;161,00;0;0;0;0;0
2011;623,00;886;257;1177;116;0
2011;489,00;0;0;0;0;0
2011;875,00;0;0;0;0;0
2011;908,00;0;0;0;0;0
2011;940,00;0;0;0;0;0
2011;946,00;221;122;343;32;0
2011;1023,00;80;28;109;5;0
2011;1054,00;901;315;1078;41;0
2011;1057,00;0;0;0;0;0
2011;1031,00;0;0;0;0;0
2011;1032,00;1201;292;1525;108;0
2011;1064,00;0;4;4;0;0
2011;226,00;301;181;477;17;0
2011;687,00;1083;210;1306;80;0
2011;745,00;2610;774;3464;342;0
2011;109,00;239;161;402;0;0
2011;808,00;2115;520;2649;144;0
2011;971,00;0;0;0;0;
2011;128,00;0;0;0;0;0
2011;919,00;634;285;934;13;0
2011;725,00;2198;681;2840;184;0
2011;3,00;0;0;0;0;
2011;386,00;0;0;0;0;0
2011;306,00;0;0;0;0;0
2011;15,00;0;0;0;0;0
2011;264,00;303;175;478;1;0
2011;867,00;0;0;0;0;0
2011;910,00;427;249;678;39;0
2011;1053,00;785;348;1140;55;0
2011;1055,00;1232;423;1680;0;0
2011;529,00;0;0;0;0;0
2011;345,00;0;0;0;0;0
2011;515,00;0;0;0;0;0
2011;174,00;0;0;0;0;0
2011;523,00;0;0;0;0;0
2011;697,00;769;292;1059;59;0
2011;239,00;0;0;0;0;0
2011;287,00;577;287;864;69;0
2011;377,00;0;0;0;0;0
2011;692,00;909;234;1162;53;0
2011;335,00;0;0;0;0;0
2011;435,00;94;55;153;0;
2011;423,00;73;61;138;0;0
2011;351,00;0;0;0;0;0
2011;810,00;0;0;0;0;
2011;830,00;928;159;1090;0;0
2011;892,00;1909;448;2383;163;0
2011;921,00;443;341;783;31;0
2011;991,00;47;15;62;0;0
2011;992,00;734;171;911;34;0
2011;993,00;556;137;698;39;0
2011;1071,00;1320;489;1865;258;0
2011;473,00;2514;942;3590;537;0
2011;663,00;1139;378;1531;139;0
2011;552,00;0;0;0;0;0
2011;772,00;0;0;0;0;0
2011;568,00;0;0;0;0;0
2011;398,00;0;0;0;0;0
2011;394,00;0;0;0;0;0
2011;614,00;0;0;0;0;0
2011;235,00;0;0;0;0;0
2011;616,00;0;0;0;0;0
2011;267,00;2743;1202;3945;173;0
2011;565,00;0;0;0;0;0
2011;220,00;408;329;745;28;0
