"año";"NCODI";"progAngioVasc_hosp";"urgeAngioVasc_hosp";"progAngioVasc_cma";"urgeAngioVasc_cma";"progAngioVasc_resto";"urgeAngioVasc_resto";"progAngioVasc_total";"urgeAngioVasc_total";"progCirCardio_hosp";"urgeCirCardio_hosp";"progCirCardio_cma";"urgeCirCardio_cma";"progCirCardio_resto";"urgeCirCardio_resto";"progCirCardio_total";"urgeCirCardio_total";"progCirGeneral_hosp";"urgeCirGeneral_hosp";"progCirGeneral_cma";"urgeCirGeneral_cma";"progCirGeneral_resto";"urgeCirGeneral_resto";"progCirGeneral_total";"urgeCirGeneral_total";"progMaxilo_hosp";"urgeMaxilo_hosp";"progMaxilo_cma";"urgeMaxilo_cma";"progMaxilo_resto";"urgeMaxilo_resto";"progMaxilo_total";"urgeMaxilo_total";"progCirPediat_hosp";"urgeCirPediat_hosp";"progCirPediat_cma";"urgeCirPediat_cma";"progCirPediat_resto";"urgeCirPediat_resto";"progCirPediat_total";"urgeCirPediat_total";"progPlastica_hosp";"urgePlastica_hosp";"progPlastica_cma";"urgePlastica_cma";"progPlastica_resto";"urgePlastica_resto";"progPlastica_total";"urgePlastica_total";"progToracica_hosp";"urgeToracica_hosp";"progToracica_cma";"urgeToracica_cma";"progToracica_resto";"urgeToracica_resto";"progToracica_total";"urgeToracica_total";"progDerma_hosp";"urgeDerma_hosp";"progDerma_cma";"urgeDerma_cma";"progDerma_resto";"urgeDerma_resto";"progDerma_total";"urgeDerma_total";"progGine_hosp";"urgeGine_hosp";"progGine_cma";"urgeGine_cma";"progGine_resto";"urgeGine_resto";"progGine_total";"urgeGine_total";"progCirNeuro_hosp";"urgeCirNeuro_hosp";"progCirNeuro_cma";"urgeCirNeuro_cma";"progCirNeuro_resto";"urgeCirNeuro_resto";"progCirNeuro_total";"urgeCirNeuro_total";"progOftalmo_hosp";"urgeOftalmo_hosp";"progOftalmo_cma";"urgeOftalmo_cma";"progOftalmo_resto";"urgeOftalmo_resto";"progOftalmo_total";"urgeOftalmo_total";"progORL_hosp";"urgeORL_hosp";"progORL_cma";"urgeORL_cma";"progORL_resto";"urgeORL_resto";"progORL_total";"urgeORL_total";"progTrauma_hosp";"urgeTrauma_hosp";"progTrauma_cma";"urgeTrauma_cma";"progTrauma_resto";"urgeTrauma_resto";"progTrauma_total";"urgeTrauma_total";"progUrolog_hosp";"urgeUrolog_hosp";"progUrolog_cma";"urgeUrolog_cma";"progUrolog_resto";"urgeUrolog_resto";"progUrolog_total";"urgeUrolog_total";"progOtrasCirugias_hosp";"urgeOtrasCirugias_hosp";"progOtrasCirugias_cma";"urgeOtrasCirugias_cma";"progOtrasCirugias_resto";"urgeOtrasCirugias_resto";"progOtrasCirugias_total";"urgeOtrasCirugias_total";"totalProg_hosp";"totalUrge_hosp";"totalProg_cma";"totalUrge_cma";"totalProg_resto";"totalUrge_resto";"total_programada";"total_urgente"
2011;623,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;676;559;327;0;252;31;1255;590;282;23;282;0;2293;309;2857;332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;0;0;1670;630;1690;631;437;510;226;0;43;1;706;511;0;0;0;0;0;0;0;0;154;24;2286;0;2;7;2442;31;331;49;169;0;40;5;540;54;1038;252;271;0;64;10;1373;262;402;105;130;0;154;12;686;117;0;0;0;0;0;0;0;0;3340;1523;3691;0;4518;1005;11549;2528
2011;489,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;19;0;0;242;101;319;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;1;0;0;0;0;71;1;0;0;0;0;0;0;0;0;18;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;130;9;0;0;0;0;130;9;33;1;0;0;0;0;33;1;0;0;0;0;0;0;0;0;329;30;0;0;246;101;575;131
2011;875,00;62;1;2;0;0;0;64;1;15;0;0;0;0;0;15;0;989;52;458;0;0;0;1447;52;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;29;0;78;0;0;0;107;0;5;0;0;0;0;0;5;0;1;0;53;0;0;0;54;0;223;1;5;0;0;0;228;1;86;1;2;0;0;0;88;1;241;1;624;0;0;0;865;1;221;3;91;0;0;0;312;3;1417;18;585;0;0;0;2002;18;115;3;157;0;0;0;272;3;0;0;0;0;0;0;0;0;3405;80;2055;0;0;0;5460;80
2011;908,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;940,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;946,00;26;0;0;0;0;0;26;0;71;19;0;0;0;0;71;19;656;40;814;67;0;0;1470;107;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;589;0;0;0;0;0;589;0;1;0;0;0;0;0;1;0;0;0;57;3;0;0;57;3;453;35;0;0;0;0;453;35;126;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;98;0;51;0;0;0;149;0;891;0;0;0;0;0;891;0;194;0;0;0;0;0;194;0;56;0;27;0;0;0;83;0;3162;94;949;70;0;0;4111;164
2011;1023,00;112;57;286;45;0;0;398;102;0;0;0;0;0;0;0;0;868;956;611;12;490;24;1969;992;22;4;2140;8;6;0;2168;12;0;0;0;0;0;0;0;0;24;1;19;1;17;5;60;7;0;0;0;0;0;0;0;0;0;0;212;0;1128;0;1340;0;290;626;217;1;308;44;815;671;0;0;0;0;0;0;0;0;0;1;1877;12;10;0;1887;13;180;19;282;1;36;24;498;44;582;1491;1161;48;0;1;1743;1540;391;223;221;2;550;17;1162;242;0;0;0;28;0;0;0;28;2469;3378;7026;158;2545;115;12040;3651
2011;781,00;288;35;151;0;4;18;443;53;0;0;0;0;0;0;0;0;1282;558;630;0;407;31;2319;589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;0;513;0;4556;1;5326;1;749;539;274;0;5;400;1028;939;0;0;0;0;0;0;0;0;33;4;2710;0;197;5;2940;9;295;22;275;0;34;3;604;25;1292;348;468;0;49;25;1809;373;850;44;409;0;20;7;1279;51;0;0;0;0;0;0;0;0;5046;1550;5430;0;5272;490;15748;2040
2011;779,00;329;26;118;0;5;8;452;34;0;0;0;0;0;0;0;0;671;367;231;0;470;5;1372;372;167;20;889;0;362;5;1418;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;8298;0;8300;1;188;72;97;0;38;30;323;102;145;76;20;0;4;28;169;104;21;3;973;0;126;3;1120;6;197;7;102;0;47;3;346;10;992;224;222;0;26;26;1240;250;60;28;14;0;232;4;306;32;0;15;14;0;7;52;21;67;2772;839;2680;0;9615;164;15067;1003
2011;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
