"año";"NCODI";"totHemodina_Paciente";"totPaciente_radioInterv";"totLitofrag_Paciente";"totLitofrag_Sesion";"totAceleLineal_Paciente";"totAceleLineal_Sesion";"totBomCobal_Paciente";"totBomCobal_Sesion";"totOtraRadio_Paciente";"totOtraRadio_Sesion";"totFisiot_Paciente";"totFisiot_Sesion";"totLogop_Paciente";"totLogop_Sesion";"totTerapOcupa_Paciente";"totTerapOcupa_Sesion";"totHemodial_Paciente";"totHemodial_Sesion";"totHemodialDom_Paciente";"totHemodialDom_Sesion";"totDialPerito_Paciente";"totDialPerito_Sesion"
2011;603,00;232;0;0;0;0;0;0;0;0;0;540;28870;476;4339;2159;115483;0;0;0;0;0;0
2011;426,00;0;0;0;0;0;0;0;0;0;0;2354;25319;2;104;0;0;0;0;0;0;0;0
2011;232,00;0;0;0;0;0;0;0;0;0;0;449;3460;0;0;0;0;0;0;0;0;0;0
2011;288,00;0;0;4;6;0;0;0;0;0;0;3695;64793;54;4092;63;4252;0;0;0;0;0;0
2011;246,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;872;10698;0;0;0;0
2011;284,00;199;84;0;0;613;14099;0;0;0;0;2453;49280;0;0;0;0;396;7867;0;0;0;0
2011;18,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;82;0;0;0;0;0;0
2011;356,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;426;4601;0;0;0;0;0;0
2011;401,00;0;0;0;0;0;0;0;0;0;0;193;5275;80;8901;185;9215;0;0;0;0;0;0
2011;733,00;1514;6504;273;506;1048;24963;0;0;50;244;14965;100264;1496;8973;446;2674;1640;36316;27;567;0;0
2011;243,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;380,00;0;0;0;0;0;0;0;0;0;0;610;12718;85;1264;134;3316;0;0;0;0;0;0
2011;716,00;0;0;0;0;0;0;0;0;0;0;386;1769;0;0;0;0;116;7974;0;0;0;0
2011;534,00;1376;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;185,00;2;0;400;893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;258,00;301;185;421;487;162;176;0;0;0;0;2025;15052;0;0;0;0;0;0;0;0;0;0
2011;505,00;0;0;0;0;0;0;0;0;0;0;361;4825;0;0;0;0;162;17893;0;0;0;0
2011;268,00;0;0;0;0;0;0;0;0;0;0;280;3625;0;0;0;0;55;7911;0;0;0;0
2011;602,00;309;362;0;0;555;12157;0;0;0;0;953;14135;28;312;0;0;0;0;0;0;0;0
2011;254,00;338;0;688;1213;304;8250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;705,00;506;1410;0;0;0;0;0;0;0;0;358;2740;709;2679;0;0;0;0;0;0;0;0
2011;133,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;33,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;2488;0;0;0;0;0;0
2011;143,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;36,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;512;30748;0;0;0;0;0;0
2011;756,00;336;122;65;113;562;17470;0;0;104;217;3521;211260;80;1600;120;2200;35;6039;0;0;1;104
2011;662,00;0;500;0;0;0;0;0;0;0;0;11863;96290;687;3895;1222;5672;668;8685;0;0;278;8455
2011;192,00;0;0;0;0;0;0;0;0;0;0;592;18450;59;2202;145;5327;0;0;0;0;0;0
2011;382,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;322,00;0;0;0;0;0;0;0;0;0;0;128;161420;0;0;91;140020;0;0;0;0;0;0
2011;478,00;0;0;0;0;0;0;0;0;0;0;2447;29097;0;0;292;3470;0;0;0;0;0;0
2011;352,00;0;0;0;0;0;0;0;0;0;0;603;29845;101;5507;201;7762;0;0;0;0;0;0
2011;628,00;693;62;0;0;0;0;0;0;0;0;7708;198963;0;0;0;0;131;15480;0;0;20;7117
2011;291,00;0;0;0;0;0;0;0;0;0;0;47;4723;0;0;172;6121;0;0;0;0;0;0
2011;495,00;0;0;0;0;0;0;0;0;0;0;860;71467;0;0;289;30015;0;0;0;0;0;0
2011;845,00;0;373;0;0;0;0;0;0;0;0;4727;53675;0;0;269;1305;0;0;0;0;0;0
2011;498,00;0;160;0;0;0;0;0;0;0;0;603;10716;0;0;0;0;0;0;0;0;0;0
2011;314,00;0;0;0;0;0;0;0;0;0;0;650;17965;88;2445;354;10242;0;0;0;0;0;0
2011;720,00;0;67;0;0;0;0;0;0;0;0;116;502;0;0;0;0;0;0;0;0;0;0
2011;721,00;0;1021;0;0;0;0;0;0;0;0;8363;138006;0;0;280;12580;588;7736;0;0;93;1825
2011;485,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;273,00;381;931;0;0;0;0;0;0;0;0;693;4758;0;0;0;0;0;0;0;0;0;0
2011;846,00;1253;4000;169;221;0;0;0;0;0;0;8620;85811;0;0;344;4745;62;9750;0;0;43;15505
2011;847,00;0;0;0;0;0;0;0;0;0;0;2560;56777;0;0;0;0;0;0;0;0;0;0
2011;848,00;583;195;145;160;0;0;0;0;0;0;2111;13507;0;0;217;1543;0;0;0;0;0;0
2011;864,00;0;0;0;0;0;0;0;0;0;0;136;9396;3;72;132;5121;0;0;0;0;0;0
2011;916,00;0;0;0;0;278;321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;930,00;127;14;0;0;0;0;0;0;0;0;4119;30100;0;0;0;0;0;0;0;0;0;0
2011;954,00;0;2930;0;0;922;20575;0;0;0;0;8827;82657;198;2011;642;4416;0;0;0;0;0;0
2011;943,00;0;0;0;0;0;0;0;0;0;0;2618;36664;0;0;0;0;0;0;0;0;0;0
2011;949,00;1747;4116;22;25;1242;24533;0;0;0;0;20506;193516;1590;14056;1949;34227;930;11679;0;0;729;21539
2011;980,00;263;1385;43;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;981,00;0;0;0;0;0;0;0;0;0;0;438;5271;32;1344;32;1344;0;0;0;0;0;0
2011;1024,00;384;478;0;0;814;11874;0;0;129;129;4984;62310;65;685;0;0;0;0;0;0;0;0
2011;1017,00;0;0;0;0;0;0;0;0;0;0;180;1080;0;0;0;0;0;0;0;0;0;0
2011;1000,00;373;377;0;0;1349;27658;0;0;313;5264;1329;45198;0;0;0;0;12;43;0;0;0;0
2011;1018,00;0;126;0;0;0;0;0;0;0;0;2000;32721;167;2459;213;3881;38;3265;0;0;0;0
2011;1001,00;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;1007,00;0;588;0;0;0;0;0;0;0;0;5986;119726;0;0;135;2115;61;9487;0;0;8;2904
2011;1008,00;0;0;0;0;0;0;0;0;0;0;1755;32986;0;0;91;1568;45;6695;0;0;6;950
2011;1009,00;0;569;0;0;0;0;0;0;0;0;3039;44077;0;0;464;4206;74;11009;0;0;0;0
2011;1010,00;0;0;0;0;0;0;0;0;0;0;0;23391;0;0;0;3157;46;7190;0;0;4;1281
2011;1011,00;0;83;0;0;0;0;0;0;0;0;1842;24286;0;0;290;4070;28;4367;0;0;0;0
2011;1012,00;0;0;0;0;0;0;0;0;0;0;3357;56042;0;0;243;4584;89;8654;0;0;2;444
2011;1013,00;2578;0;302;361;961;21050;0;0;0;0;4475;267334;488;1948;454;17700;70;10877;1;365;10;3502
2011;1041,00;0;0;0;0;0;0;0;0;0;0;69;1331;0;0;93;2420;0;0;0;0;0;0
2011;1073,00;188;189;0;0;0;0;0;0;0;0;460;4493;19;101;0;0;0;0;0;0;0;0
2011;789,00;0;0;0;0;0;0;0;0;0;0;72;6101;0;0;300;78000;0;0;0;0;0;0
2011;326,00;0;0;0;0;0;0;0;0;0;0;393;34459;0;0;393;25770;0;0;0;0;0;0
2011;442,00;402;123;145;290;0;0;0;0;0;0;808;17161;0;0;0;0;0;0;0;0;0;0
2011;294,00;1551;270;92;92;0;0;0;0;0;0;3469;43322;0;0;0;0;0;0;0;0;0;0
2011;378,00;0;0;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;402,00;8;0;0;0;0;0;0;0;0;0;240;3600;0;0;0;0;0;0;0;0;0;0
