"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2011;748,00;81872903;32401566;34551127;6766701;27784426;1620136;10557477;2742597;2507236;15630348;3563050;12067298;122711338;96604023;42846;23842924;2221545;0;0;474548;223196373
2011;198,00;961047;199281;138526;0;138526;215768;386507;20965;4110;202240;47093;155147;1652308;1286559;0;359488;6261;162264;0;83188;3065157
2011;871,00;12885228;2575066;2466491;798092;1668399;6167390;1570272;106009;62418;2291130;544202;1746928;19227713;15039198;12364;3924111;252040;1148222;32406;315978;35963095
2011;948,00;7759000;516245;2316387;1240360;1076027;4093334;741604;91430;-30049;1739856;192150;1547706;3636355;2955690;0;668342;12323;453871;28016;102701;13689750
2011;1051,00;628249;108320;25538;0;25538;0;478840;15551;0;284926;145856;139070;4622086;3628227;0;962944;30915;0;0;6267;5541528
2011;1083,00;257234;19889;13966;0;13966;37030;168475;17874;0;226003;21247;204756;385576;316829;0;68747;0;68966;0;24844;962623
2011;679,00;64371307;28691316;19201541;4596019;14605522;2267242;11625912;2585296;0;6873146;4935415;1937731;122070179;99716925;0;22241163;112091;0;0;61441;193376073
2011;176,00;1826256;675243;1081541;957545;123996;0;0;69472;248854;1252245;205525;1046720;2746110;2071029;68051;562448;44582;397650;87721;311002;6869838
2011;537,00;2145534;490341;1319036;1073349;245687;0;297751;38406;118988;2825852;233926;2591926;3503442;2811049;0;647821;44572;789167;0;352560;9735543
2011;608,00;10405903;2530417;4792936;1129377;3663559;679063;1888164;515323;0;1251499;499700;751799;27204068;22561233;0;4637220;5615;0;0;21432;38882902
2011;596,00;7163836;2170806;2861324;896491;1964833;627594;887757;616355;0;1078660;399254;679406;22500160;18635205;0;3860788;4167;0;0;62911;30805567
2011;749,00;147580924;66229340;43505762;15441500;28064262;11746637;18299263;7799922;-919486;13559916;3441386;10118530;251625409;199058533;0;49305176;3261700;4327698;628079;2686156;419488696
2011;758,00;188907883;91158619;55641264;16305246;39336018;13474577;23413036;5220387;724723;18739805;4907124;13832681;301732730;239359519;86394;58884855;3401962;4405324;2800764;2195557;519506786
