"año";"NCODI";"70_tIngresos";"700_particular";"701_AsegPriv";"701_1_AsistSanitaria";"701_2_AccTrafic";"702_MATEPSS";"704_SNS";"705_1_FdirectaSS";"705_2_FdirectaAPriv_MATEPSS";"706_OyEntiPublica";"708_bonificaciones";"709_Otros_Ips";"74_Total_Subvencion";"740_subvenciones";"741_otraSubvencion";"7X_restoIngresos";"total_ventasIngresos";"70_Hospital";"70_consulExter";"70_CMA";"70_hospDia";"70_Urgencia";"70_hospDom";"700_Hospital";"700_consulExter";"700_CMA";"700_hospDia";"700_Urgencia";"700_hospDom";"701_Hospital";"701_consulExter";"701_CMA";"701_hospDia";"701_Urgencia";"701_hospDom";"701_1Hospital";"701_1consulExter";"701_1CMA";"701_1hospDia";"701_1Urgencia";"701_1hospDom";"701_2Hospital";"701_2consulExter";"701_2CMA";"701_2hospDia";"701_2Urgencia";"701_2hospDom";"702_Hospital";"702_consulExter";"702_CMA";"702_hospDia";"702_Urgencia";"702_hospDom";"704_Hospital";"704_consulExter";"704_CMA";"704_hospDia";"704_Urgencia";"704_hospDom";"705_1Hospital";"705_1consulExter";"705_1CMA";"705_1hospDia";"705_1Urgencia";"705_1hospDom";"705_2Hospital";"705_2consulExter";"705_2CMA";"705_2hospDia";"705_2Urgencia";"705_2hospDom";"706_Hospital";"706_consulExter";"706_CMA";"706_hospDia";"706_Urgencia";"706_hospDom";"708_Hospital";"708_consulExter";"708_CMA";"708_hospDia";"708_Urgencia";"708_hospDom"
2011;720,00;20851064;1858995;18712831;18712000;831;18079;15148;;;246011;;;11045;11045;;2575558;23437667;9044304;487678;190899;1256151;1976378;0;278370;3624;15280;6040;37975;;8730000;484037;171947;1247241;1850611;0;8730000;483817;171947;1247241;1850000;;;220;;;611;;2890;17;;;15172;;;;;;15148;;;;;;;;;;;;;;33044;;3672;2870;57472;;;;;;;
2011;721,00;179758272;41656;923072;93193;829879;336602;0;178225407;0;190875;0;40660;34596;34596;0;290724;180083592;101716527;40944573;4295908;8467859;24292715;0;24781;364;0;286;16225;0;517633;3016;0;66805;335618;0;73258;3016;0;1425;15494;0;444375;0;0;65380;320124;0;257810;9984;0;0;68808;0;0;0;0;0;0;0;100736942;40927777;4295908;8400768;23864012;0;0;0;0;0;0;0;179361;3432;0;0;8052;0;0;0;0;0;0;0
2011;485,00;1988155;955236;87644;87644;;;943230;;;2045;;;0;;;7130;1995285;166651;175763;340817;1304925;0;0;82271;95526;226350;551090;;;8150;8764;20094;50636;0;0;8150;8764;20094;50636;;;;;;;;;;;;;;;75980;71341;93503;702406;;;;;;;;;;;;;;;250;132;870;793;;;;;;;;
2011;273,00;62136333;963739;58305156;58305156;0;136975;2574792;0;0;0;-132067;287738;0;0;0;1078130;63214463;27559373;12648370;5830851;8940275;6869724;0;381027;371567;76519;12790;121836;0;27276080;12142301;3234575;8927485;6724714;0;27276080;12142301;3234575;8927485;6724714;0;0;0;0;0;0;0;9008;107590;0;0;20377;0;25325;26912;2519757;0;2797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-132067;0;0;0;0;0
2011;846,00;154406703;27312;301073;41069;260004;39937;136508385;;;332401;;17197595;415844;300436;115408;12433986;167256533;76953090;29827510;10418350;7938579;12071579;0;25636;;;944;732;;29504;10620;11241;0;249708;0;10904;10620;3441;;16104;;18600;;7800;;233604;;7744;348;979;;30866;;76716214;29806807;10272276;7935747;11777341;;;;;;;;;;;;;;173992;9735;133854;1888;12932;;;;;;;
2011;847,00;23499543;3517255;19574728;19333160;241568;366848;0;0;0;53260;-12548;0;0;0;0;1953351;25452894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;848,00;49722597;3038731;45253189;45161114;92075;40212;913573;;;476892;;;26338;26338;;4681332;54430267;26741464;912160;948049;2417095;4069159;0;965718;44115;17898;22473;48254;;25363041;864101;854983;2385275;3994578;0;25361989;863750;854983;2384617;3951693;;1052;351;;658;42885;;15854;359;;;22846;;222878;;67859;616;;;;;;;;;;;;;;;173973;3585;7309;8731;3481;;;;;;;
2011;864,00;2992937;152527;0;;;;1627010;;;;;1213400;0;;;39180;3032117;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;916,00;32164823;2927678;27432516;27432516;;;1704031;;;;100598;;0;;;774272;32939095;7632354;14584559;74985;9555605;220833;0;782309;1570771;2050;551883;24776;;6484507;12068553;72935;8619678;186843;0;6484507;12068553;72935;8619678;186843;;;;;;;;;;;;;;365538;945235;;384044;9214;;;;;;;;;;;;;;;;;;;;;;;;;
2011;930,00;26765758;667970;24741064;24741064;0;195250;1161474;0;0;0;0;0;0;0;0;2313308;29079066;3747529;3822239;5133818;0;6314541;0;27254;276092;139431;0;23759;0;3688104;3444805;4459151;0;6069140;0;3688104;3444805;4459151;0;6069140;0;0;0;0;0;0;0;1331;7746;15144;0;157892;0;30840;93596;520092;0;63750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;954,00;115435752;52917;588024;44102;543922;87129;114701089;;;6593;;;0;;;3919178;119354930;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;943,00;25652542;811513;24063792;24063792;0;10320;624606;0;0;142311;0;0;13588;13588;0;2289376;27955506;9728399;899432;999888;737256;4541357;0;177323;25518;31978;16014;44915;0;9357389;849698;939876;707019;4443860;0;9357389;849698;939876;707019;4443860;0;0;0;0;0;0;0;0;63;0;0;9765;0;172322;21740;26653;12887;34570;0;0;0;0;0;0;0;0;0;0;0;0;0;21365;2413;1381;1336;8247;0;0;0;0;0;0;0
2011;949,00;546989271;642678;2123891;282730;1841161;916236;0;542361448;0;919569;0;25449;0;0;0;559257;547548528;3960428;107490;0;11340;523116;0;565196;19852;0;4590;53040;0;1678873;51924;0;0;393094;0;222510;51924;0;0;8296;0;1456363;0;0;0;384798;0;829721;18683;0;0;67832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;886638;17031;0;6750;9150;0;0;0;0;0;0;0
2011;980,00;60231424;2020496;0;;;52398;;;58158530;;;;0;;;575108;60806532;22686143;26653533;1867196;439305;6328903;0;499672;26628;82080;19312;110132;;0;0;0;0;0;0;;;;;;;;;;;;;17539;205;4519;1063;13500;;;;;;;;;;;;;;22168932;26626700;1780597;418930;6205271;;;;;;;;;;;;;
2011;981,00;8775430;936695;7713719;7713719;0;0;124000;0;0;0;1016;0;0;0;0;0;8775430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;1024,00;92140599;12493969;78983944;78981180;2764;3460;655441;0;0;3785;0;0;0;0;0;3440898;95581497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;1017,00;2163621;222173;5659;5659;;;1710139;;;;;225650;509706;6809;502897;1579;2674906;1918285;312;0;0;0;19374;204260;312;;;;17601;3886;0;0;0;0;1773;3886;;;;;1773;;;;;;;;;;;;;1710139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;158,00;39936983;499151;163328;163328;0;0;0;39274504;0;0;0;0;20427;20427;0;2225254;42182664;28631737;9610539;0;1465484;229223;0;46088;453063;0;0;0;0;99685;61143;0;2500;0;0;99685;61143;0;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28485964;9096333;0;1462984;229223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;775,00;69109717;36763;545356;199725;345631;127007;56259;68126692;189846;0;0;27794;37301;37301;0;274557;69421575;32730317;20578185;1503871;9795352;4405825;68373;21330;3415;0;0;12018;0;455689;0;0;0;89667;0;199725;0;0;0;0;0;255964;0;0;0;89667;0;35676;17411;0;0;73920;0;47398;8861;0;0;0;0;32059688;20535891;1503871;9795352;4163517;68373;110536;12607;0;0;66703;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;177,00;17898316;0;887;0;887;581;0;15174300;0;793133;0;1929415;53281;53281;0;96743;18048340;15628968;1468;0;338465;0;0;0;0;0;0;0;0;0;887;0;0;0;0;0;0;0;0;0;0;0;887;0;0;0;0;0;581;0;0;0;0;0;0;0;0;0;0;14835835;0;0;338465;0;0;0;0;0;0;0;0;793133;0;0;0;0;0;0;0;0;0;0;0
