"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2011;919,00;9;40;0;50;0;166;0;209;1224;36;286;2;419;0;14101;105998;8646;237125;2899;37437;335;0;0;0;0;0;0;0;8;31;41;120;0;16;0;13;53;0;35;0;230;0;0;0;0;0;0;0;0;108;581;0;0;0;748;0;"Otros";0;0;0;0;0;0;0;14448;107927;8723;237616;2901;39016;335
2011;725,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32263;222532;10805;452071;10389;150870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;32263;222532;10805;452071;10389;150870;0
2011;3,00;7;5805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;32695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;180;38500;0;0;0;0;0
2011;386,00;41;12108;0;0;0;0;0;14;14;0;3579;39;35;0;80;6946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;135;19068;0;3579;39;35;0
2011;306,00;182;87091;0;0;0;0;0;0;0;0;0;0;0;0;167;22747;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";12;3175;0;0;0;0;0;361;113013;0;3;0;0;0
2011;15,00;46;46;0;606;22;23;0;197;197;0;5369;122;7047;0;744;1369;0;2581;625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;988;1618;0;9001;769;7070;0
2011;264,00;188;466;0;2403;19;113;0;1406;3426;0;28652;49;12768;0;199;505;0;579;0;1;0;2845;11632;0;0;34;16878;0;0;0;0;0;0;0;0;150;250;0;173;6;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";47;60;0;41;3;1;0;4835;16339;0;31848;111;30237;0
2011;867,00;9;19;0;2468;94;560;0;24;39;0;3151;422;1263;0;160;603;0;1117;102;81;0;16;19;0;11535;105;5774;0;0;0;0;0;0;0;0;1;1;0;1065;15;1149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;210;681;0;19336;738;8827;0
2011;910,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10354;52571;1309;148870;978;42688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;10354;52571;1309;148870;978;42688;0
2011;1053,00;10;20;0;0;0;14;0;39;646;0;0;0;266;0;12376;78700;5512;186682;1461;65551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;77;0;18;1;413;0;1;16;0;0;0;11;0;18;642;0;2;0;426;0;"Otros";0;0;0;0;0;6;0;12467;80101;5512;186702;1462;66687;0
2011;1055,00;0;0;0;0;0;0;0;103;640;0;1296;14;456;0;15719;98203;9964;198714;2036;69981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;1360;0;2752;28;969;0;5;37;0;75;1;27;0;292;1821;0;3685;38;1298;0;"Otros";37;232;0;470;4;165;0;16374;102293;9964;206992;2121;72896;0
2011;529,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1291;27158;0;2147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1291;27158;0;2147;0;0;0
2011;345,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;56072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;92;56072;0;0;0;0;0
2011;515,00;38;51;0;101;0;17;0;294;407;0;2670;0;1565;0;0;0;0;451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;809;2008;0;26272;0;8355;0;0;0;0;0;0;0;0;131;420;0;3603;0;1039;0;"Otros";0;0;0;0;0;0;0;1272;2886;0;33097;0;10977;0
2011;174,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1012;10124;2799;44524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1012;10124;2799;44524;0;0;0
2011;523,00;0;0;186;118;0;0;0;4;11;0;956;1;0;0;2553;50135;5076;57512;1718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1431;0;14;0;0;0;0;0;0;0;0;0;0;2;386;0;104;0;0;0;"Otros";0;0;0;0;0;0;0;2564;51963;5262;58704;1719;0;0
