"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2011;781,00;241635;6292890;0;6292890;0;6534525
2011;779,00;7632;1067671;0;1067671;0;1075303
2011;113,00;0;199998;0;199998;0;199998
2011;619,00;60708;1155436;166227;989209;0;1216144
2011;163,00;0;125583;0;125583;0;125583
2011;131,00;1116;39265;0;39265;0;40381
2011;375,00;0;95724;0;95724;0;95724
2011;764,00;119353;45039;0;45039;0;164392
2011;14,00;16630;83752;;83752;0;100382
2011;657,00;0;34459;0;34459;0;34459
2011;362,00;0;953529;0;953529;0;953529
2011;989,00;;0;;;11573;11573
2011;990,00;0;17322;0;17322;0;17322
2011;680,00;0;1129755;0;1129755;0;1129755
2011;411,00;0;7831261;0;7831261;0;7831261
2011;241,00;71039;445540;0;445540;0;516579
2011;558,00;0;758530;0;758530;0;758530
2011;167,00;0;0;0;0;0;0
2011;248,00;1168979;2855792;1458013;1397779;78774;4103545
2011;224,00;66720;9326523;230073;9096450;0;9393243
2011;591,00;442312;5153089;0;5153089;0;5595401
2011;586,00;0;574210;0;574210;0;574210
2011;453,00;0;120000;79803;40197;0;120000
2011;145,00;0;0;0;0;0;0
2011;511,00;0;209446;0;209446;0;209446
2011;530,00;0;171360;0;171360;383769;555129
2011;6,00;20707;601985;0;601985;9945744;10568436
2011;161,00;0;3307;0;3307;0;3307
2011;623,00;0;458552;166075;292477;0;458552
2011;489,00;0;2600;0;2600;0;2600
2011;875,00;30110;746678;0;746678;0;776788
2011;908,00;0;1725;0;1725;0;1725
2011;940,00;0;1000;0;1000;0;1000
2011;946,00;95092;498869;0;498869;25641;619602
2011;1023,00;250379;1488866;0;1488866;0;1739245
2011;1054,00;272775;1276927;309762;967165;0;1549702
2011;1057,00;0;190624;0;190624;0;190624
2011;1031,00;3448;44792;0;44792;0;48240
2011;1032,00;659702;7619859;0;7619859;0;8279561
2011;1064,00;0;30091630;3030909;27060721;0;30091630
2011;226,00;108705;1649892;0;1649892;0;1758597
2011;687,00;0;0;0;0;0;0
2011;745,00;0;3221768;0;3221768;0;3221768
2011;109,00;9543;378526;0;378526;0;388069
2011;808,00;2072;1080763;0;1080763;;1082835
2011;971,00;0;83670;0;83670;;83670
2011;128,00;0;183156;0;183156;0;183156
2011;919,00;0;212098;0;212098;0;212098
2011;725,00;7302;1209100;0;1209100;0;1216402
2011;3,00;0;30644;0;30644;0;30644
2011;386,00;0;98968;0;98968;0;98968
2011;306,00;0;0;0;0;0;0
2011;15,00;0;31281;0;31281;0;31281
2011;264,00;0;924807;0;924807;0;924807
2011;867,00;0;0;0;0;35763;35763
2011;910,00;0;108131;0;108131;0;108131
2011;1053,00;0;233499;0;233499;0;233499
2011;1055,00;0;885046;0;885046;0;885046
2011;529,00;34725;7593;0;7593;0;42318
2011;345,00;39180;8907;0;8907;0;48087
2011;515,00;57458;362914;128726;234188;0;420372
2011;174,00;0;73122;0;73122;0;73122
2011;523,00;74267;163932;0;163932;2338871;2577070
2011;697,00;6005;287345;0;287345;0;293350
2011;239,00;0;2096046;0;2096046;0;2096046
2011;287,00;31985;277848;0;277848;9287624;9597457
2011;377,00;30274;4627;0;4627;0;34901
2011;692,00;0;0;0;0;0;0
2011;335,00;0;0;0;0;63632;63632
2011;435,00;;380541;380541;;;380541
2011;423,00;10203;4729127;0;4729127;0;4739330
2011;351,00;0;986126;0;986126;41489;1027615
2011;810,00;73009;1826473;0;1826473;;1899482
2011;830,00;1269;121458;0;121458;0;122727
2011;892,00;0;336495;0;336495;0;336495
2011;921,00;38554;1230982;0;1230982;2547731;3817267
2011;991,00;0;76950;0;76950;0;76950
2011;992,00;1726;116443;0;116443;0;118169
2011;993,00;0;43915;0;43915;0;43915
2011;1071,00;0;613249;0;613249;0;613249
2011;473,00;0;0;0;0;1;1
2011;663,00;142840;5228462;0;5228462;0;5371302
2011;552,00;0;57224;0;57224;0;57224
2011;772,00;1933055;6198939;0;6198939;15333358;23465352
2011;568,00;0;711654;0;711654;0;711654
2011;398,00;0;456923;0;456923;0;456923
2011;394,00;0;501619;0;501619;0;501619
2011;614,00;0;6722;0;6722;0;6722
2011;235,00;20986;1662403;0;1662403;0;1683389
2011;616,00;0;132414;0;132414;82231;214645
2011;267,00;6189;759329;0;759329;0;765518
2011;565,00;207990;279878;0;279878;0;487868
2011;220,00;13983;229410;0;229410;0;243393
2011;278,00;4675;1107410;0;1107410;691807;1803892
2011;107,00;21269;153487;0;153487;2649;177405
2011;141,00;0;438796;0;438796;0;438796
2011;711,00;124930;7236277;0;7236277;36445;7397652
2011;204,00;-4076;378121;0;378121;0;374045
2011;579,00;0;166167;21649;144518;0;166167
2011;348,00;149291;270501;0;270501;0;419792
2011;766,00;12974;1068223;0;1068223;0;1081197
2011;761,00;2194;26679;0;26679;0;28873
2011;728,00;0;90953;0;90953;0;90953
2011;280,00;658;4257843;144809;4113034;0;4258501
2011;222,00;16707;87182;0;87182;0;103889
2011;276,00;15234;964343;8393;955950;566830;1546407
2011;11,00;0;12795;0;12795;0;12795
2011;302,00;7453;415168;0;415168;0;422621
2011;682,00;159799;465560;0;465560;95968;721327
2011;279,00;0;1005207;0;1005207;0;1005207
2011;282,00;0;0;0;0;1;1
2011;281,00;0;1501532;0;1501532;25419;1526951
2011;183,00;0;14300;0;14300;13600;27900
2011;610,00;2544;539565;0;539565;0;542109
2011;116,00;0;35028;3671;31357;46543;81571
2011;115,00;0;25411;0;25411;0;25411
2011;114,00;0;4045;0;4045;0;4045
2011;126,00;34055;518549;0;518549;0;552604
2011;119,00;3090;246050;0;246050;0;249140
2011;770,00;0;788487;0;788487;0;788487
2011;583,00;198342;1605000;0;1605000;0;1803342
2011;136,00;19332;19143;0;19143;0;38475
2011;469,00;1270;58500;0;58500;452814;512584
2011;642,00;0;0;0;0;1;1
2011;674,00;333610;7525602;0;7525602;5360;7864572
2011;193,00;0;124623;0;124623;0;124623
2011;526,00;112050;680133;0;680133;0;792183
2011;698,00;0;931063;0;931063;0;931063
2011;630,00;325638;521113;0;521113;280336;1127087
2011;124,00;11944;20975;0;20975;0;32919
2011;364,00;0;1;0;1;0;1
2011;604,00;412475;3679971;0;3679971;271;4092717
2011;123,00;0;333002;0;333002;0;333002
2011;310,00;15028;679344;0;679344;0;694372
2011;571,00;8858;607837;0;607837;2774430;3391125
2011;296,00;0;2926;0;2926;0;2926
2011;566,00;0;1420168;0;1420168;0;1420168
2011;784,00;349827;12703418;0;12703418;0;13053245
2011;102,00;264145;1627977;0;1627977;303529;2195651
2011;379,00;0;1526600;0;1526600;0;1526600
2011;639,00;0;1695058;0;1695058;0;1695058
2011;457,00;30691;37850;0;37850;249202;317743
2011;609,00;100588;3407207;0;3407207;353667;3861462
2011;101,00;0;41054;0;41054;0;41054
2011;454,00;81221;565807;0;565807;0;647028
2011;318,00;92500;314;0;314;0;92814
2011;600,00;121770;102329;0;102329;0;224099
2011;545,00;543978;5551645;0;5551645;0;6095623
2011;100,00;0;57776;0;57776;0;57776
2011;702,00;46446;4718963;0;4718963;0;4765409
2011;778,00;170225;3326961;0;3326961;0;3497186
2011;341,00;0;121832;0;121832;21000;142832
2011;99,00;23953;190319;0;190319;200030;414302
2011;767,00;0;3935014;0;3935014;0;3935014
2011;359,00;40934;285158;0;285158;0;326092
