"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2012;113,00;1934819;395732;150442;0;150442;1540;884993;502112;-1036;1240787;301879;938908;22182331;17283784;41567;4791110;65870;395290;0;0;25752191
2012;619,00;3634187;725143;1592210;236419;1355791;1199166;35159;82509;9961;1294298;377247;917051;5943909;4729822;0;1299624;-85537;898046;160440;572500;12513341
2012;163,00;4312698;104167;806105;260436;545669;2195534;1158609;48283;0;699569;192723;506846;2582801;2031145;0;506460;45196;402732;145354;1158407;9301561
2012;131,00;203079;75393;24171;0;24171;3043;14104;86368;0;147159;84940;62219;2539161;1593040;524894;421227;0;0;0;0;2889399
2012;375,00;738171;113834;193872;160;193712;21586;90630;318249;-32;156155;56966;99189;6681246;5183824;10913;1475174;11335;258198;4439;0;7838177
2012;1090,00;78958742;32772265;29039732;8542648;20497084;4016410;9719605;3410730;183157;8537511;3298487;5239024;188527594;149827864;114288;37289728;1295714;6935901;402288;526552;284071745
2012;764,00;85336698;32465662;24618583;8018837;16599746;15864692;9812104;2575657;0;5910963;3517176;2393787;160539978;132089515;41007;27701265;708191;0;0;0;251787639
2012;14,00;1683028;448257;547623;185289;362334;278708;321862;86578;-24210;610480;168856;441624;1706302;1321658;3000;375696;5948;211823;6801;0;4194224
2012;657,00;8743932;3290676;2524951;639354;1885597;620271;1920354;387680;0;1181407;760394;421013;23437240;18885177;17545;3975672;558846;773554;0;456;34136589
2012;362,00;7631530;1334538;3333555;1503671;1829884;2256595;236491;470351;54351;884631;243766;640865;6288102;4867856;0;1298122;122124;585366;-686190;43391;14801181
2012;989,00;5866209;2346919;1320038;433714;886324;0;1955227;244025;-20476;1825842;1007611;818231;11822031;9340438;0;2458708;22885;0;0;0;19493606
2012;990,00;8672863;3075928;1781430;450482;1330948;25100;2209992;1580413;0;0;0;0;12608960;9425920;25762;3113850;43428;0;0;0;21281823
2012;680,00;118660103;51346743;33436610;15405199;18031411;19120306;11729040;3027404;24007;7134394;4321731;2812663;140940375;111200774;0;28346418;1393183;0;0;19746;266778625
2012;411,00;15429519;3143830;3068097;276790;2791307;8487840;729752;0;5391;2331495;477381;1854114;11748777;9370284;108487;2236658;33348;1114692;0;304875;30934749
2012;241,00;10111407;1525752;2094971;245057;1849914;4563766;1696511;230407;24980;678439;526642;151797;8037395;6241392;6154;1756043;33806;910055;50730;1685516;21498522
2012;558,00;36697631;17922494;6389908;1147905;5242003;8080960;4304269;0;0;3411033;2847413;563620;46884238;37348998;189063;9100390;245787;0;0;0;86992902
2012;167,00;703077;55885;160188;0;160188;487004;0;0;15246;378932;41742;337190;509530;365231;38158;106141;0;92164;3178;50598;1752725
2012;248,00;11103660;3727180;3855253;615751;3239502;837980;2136663;546584;23534;8361953;418209;7943744;11930730;9458057;134935;2312741;24997;1925702;2348511;1710388;37404478
2012;224,00;2672455;413775;583436;120167;463269;1491452;51904;131888;17135;629996;162142;467854;3177941;2459619;7193;699145;11984;321231;243;96379;6915380
2012;591,00;50848558;25135095;14972091;3321984;11650107;3669571;6192228;879573;0;4895241;2512288;2382953;70172293;55370483;280728;14516437;4645;0;0;196013;126112105
2012;586,00;50385273;23549500;8417879;2394174;6023705;10139358;7246428;1032108;0;5252713;2039925;3212788;80363349;66161146;0;14202203;0;0;0;0;136001335
2012;453,00;2316315;449683;285808;0;285808;0;1457041;123783;0;547259;232700;314559;11183399;8796928;0;2365939;20532;0;0;0;14046973
2012;145,00;164409;32103;4661;2950;1711;0;0;127645;0;323053;142668;180385;1192653;947873;0;242209;2571;123187;5966;0;1809268
2012;511,00;30808294;17670700;7634458;1562751;6071707;90060;4783924;629152;0;4063844;1999507;2064337;45742274;35979457;0;9696463;66354;0;0;0;80614412
2012;530,00;35264346;14158215;9560065;1966546;7593519;6820886;4049311;675869;0;1257066;1257066;0;47759012;38192636;13691;9548166;4519;0;0;0;84280424
