"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2012;318,00;2446;762;200;0;3408
2012;600,00;56400;6216;873;12;63501
2012;545,00;94725;8314;848;123;104010
2012;100,00;0;0;0;0;0
2012;702,00;106355;10499;377;144;117375
2012;778,00;45534;7855;345;27;53761
2012;341,00;4560;209;68;0;4837
2012;99,00;0;0;0;0;0
2012;767,00;37005;3971;1485;83;42544
2012;359,00;43212;71;1341;8;44632
2012;98,00;0;0;0;0;0
2012;132,00;0;0;0;0;0
2012;97,00;0;0;0;0;0
2012;103,00;0;0;0;0;0
2012;110,00;0;0;0;0;0
2012;94,00;0;0;0;0;0
2012;91,00;0;0;0;0;0
2012;664,00;94218;12256;939;85;107498
2012;918,00;165137;24277;4003;356;193773
2012;92,00;0;0;0;0;0
2012;95,00;0;0;0;0;0
2012;96,00;0;0;0;0;0
2012;301,00;17890;10;15;0;17915
2012;492,00;52477;4223;1079;20;57799
2012;811,00;0;0;0;0;0
2012;812,00;0;0;0;0;0
2012;832,00;0;0;0;0;0
2012;841,00;0;0;0;0;0
2012;856,00;0;0;0;0;0
2012;859,00;0;0;0;0;0
2012;861,00;0;0;0;0;0
2012;880,00;0;0;0;0;0
2012;883,00;0;0;0;0;0
2012;884,00;0;0;0;0;0
2012;877,00;0;0;0;0;0
2012;911,00;0;0;0;0;0
2012;913,00;1938;175;121;0;2234
2012;922,00;13743;969;6;1;14719
2012;923,00;0;0;0;0;0
2012;924,00;0;0;0;0;0
2012;947,00;0;0;0;0;0
2012;951,00;0;0;0;0;0
2012;972,00;0;0;0;0;0
2012;973,00;5528;60;3;0;5591
2012;974,00;0;0;0;0;0
2012;975,00;0;0;0;0;0
2012;960,00;0;0;0;0;0
2012;1027,00;0;0;0;0;0
2012;1028,00;0;0;0;0;0
2012;976,00;0;0;0;0;0
2012;977,00;0;0;0;0;0
2012;1020,00;0;0;0;0;0
2012;994,00;53436;6037;643;18;60134
2012;995,00;0;0;0;0;0
2012;1060,00;305;261;67;0;633
2012;1005,00;0;0;0;0;0
2012;1061,00;0;0;0;0;0
2012;1006,00;0;0;0;0;0
2012;1088,00;0;0;0;0;0
2012;1089,00;18093;529;143;0;18765
2012;1076,00;0;0;0;0;0
2012;1078,00;0;0;0;0;0
2012;1033,00;51761;6811;947;119;59638
2012;1036,00;0;0;0;0;0
2012;1037,00;0;0;0;0;0
2012;1039,00;0;0;0;0;0
2012;1067,00;0;0;0;0;0
2012;1065,00;0;0;0;0;0
2012;1066,00;25207;1380;39;4;26630
2012;207,00;13683;289;203;0;14175
2012;431,00;0;0;0;0;0
2012;387,00;20852;3681;549;8;25090
2012;179,00;0;0;0;0;0
2012;606,00;20353;4000;393;11;24757
2012;925,00;96015;19090;29;68;115202
2012;541,00;11709;2481;439;27;14656
2012;797,00;15443;2461;272;30;18206
2012;627,00;30093;6762;411;43;37309
2012;173,00;0;0;0;0;0
2012;636,00;62951;11150;807;129;75037
2012;205,00;2236;52;100;0;2388
2012;814,00;0;0;0;0;0
2012;881,00;12270;568;345;0;13183
2012;771,00;114015;10107;1056;109;125287
2012;533,00;2498;139;16;2;2655
2012;447,00;5182;3345;166;1;8694
2012;815,00;0;0;0;0;0
2012;801,00;130147;11050;813;125;142135
2012;800,00;4276;1928;47;4;6255
2012;389,00;56252;5970;512;5;62739
2012;759,00;2706;497;57;0;3260
2012;695,00;72525;8730;989;85;82329
2012;816,00;39680;4024;259;20;43983
2012;833,00;60705;4447;438;18;65608
2012;870,00;26474;1056;42;2;27574
2012;927,00;23377;550;33;0;23960
2012;961,00;158084;10057;1352;190;169683
2012;962,00;11320;763;7;0;12090
2012;1079,00;4900;79;10;0;4989
2012;666,00;77744;14156;783;62;92745
2012;392,00;0;0;0;0;0
2012;790,00;8990;1520;158;0;10668
2012;650,00;28609;4043;463;47;33162
2012;876,00;56244;9619;887;66;66816
2012;944,00;0;30;0;0;30
2012;952,00;38321;1784;22;0;40127
2012;54,00;0;0;0;0;0
2012;367,00;8979;77;316;1;9373
2012;538,00;42818;8062;395;106;51381
2012;557,00;22324;3042;188;16;25570
2012;653,00;35756;5380;380;66;41582
2012;647,00;29545;3127;478;63;33213
2012;978,00;70068;13720;4;61;83853
2012;996,00;28302;2283;240;110;30935
2012;729,00;170451;18199;2879;321;191850
2012;182,00;28230;2318;41;3;30592
2012;633,00;22489;298;0;0;22787
2012;685,00;47240;6795;457;37;54529
2012;683,00;24161;4213;279;41;28694
2012;945,00;38775;2707;762;39;42283
2012;953,00;11386;6;0;0;11392
2012;1022,00;37853;507;1867;24;40251
2012;1049,00;19400;427;1517;21;21365
2012;794,00;126427;26384;1404;451;154666
2012;415,00;45;81;2;0;128
2012;592,00;31444;1764;29;1;33238
2012;497,00;9093;786;8;0;9887
2012;726,00;54990;10370;1567;117;67044
2012;272,00;14958;997;276;2;16233
2012;805,00;116324;21096;179;158;137757
2012;5,00;0;0;0;0;0
2012;234,00;21035;870;187;0;22092
2012;64,00;0;0;0;0;0
2012;842,00;23693;2932;1152;28;27805
2012;843,00;12924;1815;624;23;15386
2012;1025,00;70636;2764;218;5;73623
2012;803,00;41459;10043;395;39;51936
2012;211,00;5128;350;26;0;5504
2012;773,00;51323;10498;2426;95;64342
2012;424,00;14472;701;24;0;15197
2012;298,00;18323;2249;119;2;20693
2012;594,00;6385;382;0;0;6767
2012;237,00;14673;82;259;0;15014
2012;16,00;0;0;0;0;0
2012;768,00;10635;1206;359;4;12204
2012;617,00;58471;5894;619;87;65071
2012;297,00;8328;1699;115;0;10142
2012;544,00;28809;1641;453;24;30927
2012;804,00;51671;4681;680;54;57086
2012;470,00;14698;1076;276;4;16054
2012;104,00;0;0;0;0;0
2012;20,00;0;0;0;0;0
2012;550,00;37674;2788;1197;29;41688
2012;112,00;0;0;0;0;0
2012;818,00;0;0;0;0;0
2012;914,00;0;0;0;0;0
2012;928,00;0;0;0;0;0
2012;964,00;39546;6086;522;38;46192
2012;1026,00;0;0;0;0;0
2012;1068,00;0;0;0;0;0
2012;738,00;123360;12120;678;118;136276
2012;404,00;0;0;0;0;0
2012;274,00;39837;1142;28;3;41010
2012;270,00;42857;1630;26;5;44518
2012;676,00;23881;2954;254;81;27170
2012;709,00;63213;5633;656;71;69573
2012;754,00;206754;18385;3949;258;229346
2012;997,00;48776;2390;2315;14;53495
2012;734,00;71861;10904;97;78;82940
2012;299,00;11289;344;28;1;11662
2012;645,00;0;0;0;0;0
2012;17,00;0;0;0;0;0
2012;1046,00;0;0;0;0;0
