"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2012;803,00;0;59603;0;59603;0;59603
2012;211,00;0;10625;0;10625;0;10625
2012;773,00;0;554406;0;554406;0;554406
2012;424,00;78269;204560;0;204560;0;282829
2012;298,00;80364;191278;0;191278;0;271642
2012;594,00;0;5065;0;5065;0;5065
2012;237,00;36633;301404;0;301404;0;338037
2012;16,00;0;0;0;0;1;1
2012;768,00;92158;200217;0;200217;0;292375
2012;617,00;436815;848128;0;848128;0;1284943
2012;297,00;0;107568;0;107568;0;107568
2012;544,00;67075;133448;0;133448;0;200523
2012;804,00;284;874822;0;874822;0;875106
2012;470,00;0;21837;0;21837;0;21837
2012;104,00;3121;47661;0;47661;0;50782
2012;20,00;0;1;0;1;0;1
2012;550,00;63671;1113900;0;1113900;0;1177571
2012;112,00;14290;428123;0;428123;0;442413
2012;818,00;0;1294;0;1294;0;1294
2012;914,00;0;32155;0;32155;0;32155
2012;928,00;0;336821;0;336821;0;336821
2012;964,00;7184;410612;0;410612;290;418086
2012;1026,00;0;15002;0;15002;0;15002
2012;1068,00;1696;24217;0;24217;0;25913
2012;738,00;0;0;0;0;0;0
2012;404,00;21322;1226499;0;1226499;59921;1307742
2012;274,00;58651;436374;0;436374;0;495025
2012;270,00;6640;2235398;0;2235398;0;2242038
2012;676,00;0;0;0;0;0;0
2012;709,00;0;0;0;0;0;0
2012;754,00;0;0;0;0;0;0
2012;997,00;0;284658;0;284658;0;284658
2012;734,00;0;495623;0;495623;0;495623
2012;299,00;2862;189514;0;189514;0;192376
2012;645,00;0;34387;0;34387;0;34387
2012;17,00;0;0;0;0;0;0
2012;1046,00;0;0;0;0;0;0
2012;420,00;17964;64499;64499;0;4834;87297
2012;802,00;0;32375;0;32375;0;32375
2012;266,00;348307;2179138;0;2179138;0;2527445
2012;580,00;0;123094;0;123094;0;123094
2012;137,00;0;119027;0;119027;0;119027
2012;769,00;0;290668;0;290668;0;290668
2012;776,00;0;428542;0;428542;0;428542
2012;640,00;4691048;4246082;907439;3338643;-15852;8921278
2012;315,00;0;532347;0;532347;0;532347
2012;40,00;4354;228452;0;228452;0;232806
2012;508,00;0;455858;0;455858;0;455858
2012;46,00;56829;40543;0;40543;0;97372
2012;590,00;0;1275629;0;1275629;0;1275629
2012;777,00;0;655195;0;655195;0;655195
2012;897,00;0;931920;0;931920;0;931920
2012;965,00;0;32681;0;32681;0;32681
2012;671,00;0;0;0;0;0;0
2012;461,00;0;81687;0;81687;0;81687
2012;376,00;0;388838;0;388838;0;388838
2012;621,00;0;17024;0;17024;7311;24335
2012;793,00;0;0;0;0;0;0
2012;324,00;0;0;0;0;0;0
2012;712,00;0;214584;0;214584;0;214584
2012;32,00;0;869;0;869;0;869
2012;361,00;0;2536;2536;0;0;2536
2012;486,00;0;107986;0;107986;0;107986
2012;595,00;0;191513;0;191513;0;191513
2012;433,00;2400;35586;0;35586;0;37986
2012;1058,00;0;942;0;942;0;942
2012;261,00;0;11779;0;11779;0;11779
2012;730,00;0;0;0;0;0;0
2012;577,00;0;0;0;0;5031;5031
2012;788,00;0;0;0;0;1036771;1036771
2012;865,00;177538;421239;0;421239;0;598777
2012;979,00;0;16881;0;16881;0;16881
2012;998,00;0;15717;0;15717;0;15717
2012;221,00;30000;450000;0;450000;0;480000
2012;462,00;0;46850;0;46850;0;46850
2012;506,00;0;0;0;0;0;0
2012;727,00;9811;19856;0;19856;0;29667
2012;355,00;5416;185295;0;185295;0;190711
2012;487,00;0;130491;0;130491;0;130491
2012;938,00;0;14795;0;14795;233354;248149
2012;886,00;1646;166750;0;166750;0;168396
2012;835,00;0;53274;0;53274;0;53274
2012;999,00;0;0;0;0;0;0
2012;798,00;58278;3226747;0;3226747;0;3285025
2012;504,00;112104;154844;0;154844;0;266948
2012;247,00;27886;136223;0;136223;0;164109
2012;216,00;0;174350;0;174350;128;174478
2012;654,00;0;0;0;0;12044;12044
2012;65,00;0;16772;0;16772;0;16772
2012;472,00;191711;41083;0;41083;0;232794
2012;427,00;0;183382;0;183382;0;183382
2012;491,00;30000;71842;0;71842;0;101842
2012;551,00;1534;349695;0;349695;0;351229
2012;106,00;0;26271;0;26271;195645;221916
2012;819,00;0;1870;0;1870;0;1870
2012;836,00;0;6020;0;6020;0;6020
2012;915,00;0;64692;0;64692;0;64692
2012;942,00;0;141082;0;141082;60904;201986
2012;748,00;190597;263153;0;263153;0;453750
2012;198,00;0;137376;0;137376;0;137376
2012;871,00;0;145363;0;145363;0;145363
2012;948,00;0;321218;0;321218;0;321218
2012;1051,00;0;0;0;0;0;0
2012;1083,00;0;0;0;0;3000;3000
2012;679,00;50539;189666;0;189666;0;240205
2012;176,00;17451;145584;0;145584;0;163035
2012;537,00;0;322033;0;322033;605;322638
2012;608,00;0;10103;0;10103;0;10103
2012;596,00;0;0;0;0;0;0
2012;749,00;0;4166813;0;4166813;0;4166813
2012;758,00;0;3714764;0;3714764;0;3714764
2012;724,00;0;3238184;0;3238184;0;3238184
2012;436,00;0;216278;0;216278;0;216278
2012;567,00;0;525993;0;525993;0;525993
2012;677,00;0;1340317;0;1340317;0;1340317
2012;670,00;0;78736;0;78736;0;78736
2012;588,00;0;399431;0;399431;0;399431
2012;446,00;0;347702;0;347702;0;347702
2012;753,00;28919;2144623;0;2144623;0;2173542
2012;887,00;0;247442;0;247442;0;247442
2012;585,00;0;7561;0;7561;9547;17108
2012;245,00;251738;759847;0;759847;0;1011585
2012;603,00;0;2279135;0;2279135;0;2279135
2012;426,00;11052;1103088;0;1103088;0;1114140
2012;232,00;4494;200557;0;200557;0;205051
2012;288,00;456564;471071;0;471071;0;927635
2012;246,00;24906;509659;0;509659;0;534565
2012;284,00;28837;878339;0;878339;0;907176
2012;18,00;0;1541771;0;1541771;0;1541771
2012;356,00;0;53062;0;53062;0;53062
2012;401,00;20411;538225;0;538225;0;558636
2012;733,00;342977;5201273;0;5201273;0;5544250
2012;243,00;2791;68112;0;68112;0;70903
2012;380,00;0;737853;0;737853;0;737853
2012;716,00;11070;88599;0;88599;0;99669
2012;534,00;95014;1744178;0;1744178;0;1839192
2012;185,00;0;142267;0;142267;0;142267
2012;258,00;0;1029316;0;1029316;0;1029316
2012;505,00;56852;187221;0;187221;0;244073
2012;268,00;16112;1284372;0;1284372;1971651;3272135
2012;602,00;0;1352964;0;1352964;0;1352964
2012;254,00;0;845000;0;845000;0;845000
2012;705,00;32151;34373152;4936541;29436611;0;34405303
2012;133,00;7599;334921;0;334921;0;342520
2012;33,00;0;0;0;0;0;0
2012;143,00;26186;209485;0;209485;600;236271
2012;36,00;0;8947;0;8947;0;8947
2012;756,00;0;3190018;0;3190018;0;3190018
2012;662,00;0;2208685;0;2208685;0;2208685
2012;192,00;0;65104;0;65104;0;65104
2012;382,00;500860;9013706;5096231;3917475;0;9514566
2012;322,00;0;3091262;0;3091262;0;3091262
2012;478,00;0;968911;0;968911;0;968911
2012;352,00;0;38390;0;38390;0;38390
2012;628,00;0;924941;0;924941;0;924941
2012;291,00;0;191758;0;191758;0;191758
2012;495,00;0;805780;0;805780;0;805780
2012;845,00;0;909754;0;909754;0;909754
2012;498,00;0;1394971;0;1394971;0;1394971
2012;314,00;0;82100;0;82100;0;82100
2012;720,00;30529;527131;0;527131;0;557660
2012;721,00;0;801500;0;801500;0;801500
2012;485,00;0;14288;0;14288;0;14288
2012;273,00;136809;333501;0;333501;1093989;1564299
2012;846,00;133437;3221225;0;3221225;0;3354662
2012;847,00;681298;2827690;0;2827690;0;3508988
2012;848,00;96198;1848458;0;1848458;0;1944656
2012;864,00;0;0;0;0;0;0
2012;916,00;151273;4983914;0;4983914;0;5135187
2012;930,00;11601;486326;0;486326;0;497927
2012;954,00;210400;601939;0;601939;0;812339
2012;943,00;39897;763157;763157;0;0;803054
2012;949,00;0;2035909;0;2035909;0;2035909
2012;980,00;17601;1517226;0;1517226;0;1534827
2012;981,00;0;28312;0;28312;0;28312
2012;1024,00;0;2316899;0;2316899;-2215659;101240
2012;1017,00;2904;44401;0;44401;0;47305
2012;1000,00;123778;1424301;0;1424301;0;1548079
2012;1018,00;667841;0;0;0;0;667841
2012;1001,00;44767;412588;0;412588;0;457355
2012;1007,00;3261;217854;0;217854;0;221115
2012;1008,00;13492;139728;0;139728;0;153220
2012;1009,00;2922;331921;0;331921;0;334843
2012;1010,00;0;60332;0;60332;0;60332
2012;1011,00;0;168902;0;168902;0;168902
2012;1012,00;0;132991;0;132991;0;132991
2012;1013,00;0;0;0;0;0;0
2012;1041,00;0;35449;0;35449;0;35449
2012;1073,00;121739;4233248;0;4233248;0;4354987
2012;1087,00;357176;29910492;0;29910492;0;30267668
2012;789,00;1082;1159877;0;1159877;0;1160959
2012;326,00;231871;311415;0;311415;0;543286
2012;442,00;54296;2827651;0;2827651;242514;3124461
2012;294,00;0;940339;0;940339;0;940339
2012;378,00;125193;98101;0;98101;0;223294
2012;402,00;20383;42450;0;42450;0;62833
2012;29,00;0;40299;0;40299;0;40299
2012;450,00;0;0;0;0;0;0
2012;656,00;0;0;0;0;0;0
2012;333,00;5940;112943;0;112943;67311;186194
2012;668,00;0;0;0;0;0;0
2012;684,00;0;3812;0;3812;0;3812
2012;422,00;0;91413;0;91413;0;91413
2012;763,00;0;16740;0;16740;0;16740
2012;741,00;0;0;0;0;0;0
2012;553,00;1562;1889201;0;1889201;0;1890763
2012;357,00;0;90962;0;90962;0;90962
2012;899,00;0;25277;0;25277;0;25277
2012;900,00;0;0;0;0;0;0
2012;932,00;1200;1480;0;1480;0;2680
2012;950,00;47351;2290785;0;2290785;515;2338651
2012;966,00;0;0;0;0;0;0
2012;967,00;1387;19051;0;19051;3921;24359
2012;982,00;21757;31120;0;31120;0;52877
2012;1014,00;0;21718;0;21718;0;21718
2012;1048,00;0;0;0;0;0;0
2012;1080,00;0;247461;0;247461;0;247461
2012;1074,00;0;0;0;0;0;0
2012;722,00;9000;3223474;0;3223474;0;3232474
2012;660,00;2788;1770363;0;1770363;0;1773151
2012;75,00;0;17152;0;17152;0;17152
2012;249,00;3301;419403;0;419403;0;422704
2012;275,00;0;24659;0;24659;0;24659
2012;227,00;0;3741655;0;3741655;15000;3756655
2012;150,00;0;719105;28586;690519;0;719105
2012;47,00;365;31773;0;31773;0;32138
2012;172,00;0;130375;0;130375;0;130375
2012;581,00;0;319652;0;319652;0;319652
2012;120,00;0;0;0;0;0;0
2012;445,00;0;0;0;0;0;0
2012;471,00;0;149828;0;149828;0;149828
2012;53,00;0;39508;0;39508;0;39508
2012;199,00;623;196936;0;196936;0;197559
2012;575,00;54697;23890;11600;12290;0;78587
2012;528,00;0;209696;0;209696;0;209696
2012;631,00;0;1633818;0;1633818;0;1633818
2012;699,00;319415;2316185;0;2316185;0;2635600
2012;823,00;0;7299;0;7299;17647;24946
2012;849,00;0;304565;0;304565;0;304565
2012;869,00;0;91823;0;91823;0;91823
2012;955,00;0;0;0;0;0;0
2012;983,00;0;3764;0;3764;0;3764
2012;1002,00;3120;130855;0;130855;0;133975
2012;1015,00;0;1716371;0;1716371;0;1716371
2012;51,00;0;416;0;416;0;416
2012;441,00;0;241984;0;241984;2071010;2312994
2012;327,00;0;137200;0;137200;0;137200
2012;690,00;63499;4052636;910364;3142272;0;4116135
2012;262,00;60468;154531;0;154531;0;214999
2012;403,00;0;0;0;0;0;0
2012;312,00;0;0;0;0;0;0
2012;589,00;0;247384;0;247384;0;247384
2012;665,00;0;4215231;3359339;855892;0;4215231
2012;334,00;0;0;0;0;0;0
2012;1075,00;0;19785793;0;19785793;0;19785793
2012;751,00;32398;0;0;0;0;32398
2012;186,00;15849;263662;0;263662;0;279511
2012;646,00;0;0;0;0;0;0
2012;536,00;2529;3000;3000;0;0;5529
2012;242,00;24116;175385;0;175385;0;199501
2012;490,00;0;0;0;0;0;0
2012;500,00;0;1284062;0;1284062;0;1284062
2012;206,00;5452;194760;0;194760;0;200212
2012;58,00;0;1000;0;1000;0;1000
2012;572,00;0;130000;0;130000;0;130000
2012;180,00;331;18125;0;18125;0;18456
2012;549,00;0;60890;0;60890;0;60890
2012;582,00;0;0;0;0;0;0
2012;743,00;117857;9163007;0;9163007;0;9280864
2012;795,00;1084;152867;0;152867;0;153951
2012;269,00;270;45655;0;45655;0;45925
2012;634,00;49311;585063;0;585063;0;634374
2012;1,00;1256;21548;0;21548;0;22804
2012;717,00;0;2584993;0;2584993;0;2584993
2012;373,00;18422;85578;0;85578;0;104000
2012;535,00;0;0;0;0;0;0
2012;824,00;0;828808;0;828808;0;828808
2012;888,00;0;46589;0;46589;0;46589
2012;902,00;0;3495;0;3495;0;3495
2012;968,00;0;82622;0;82622;0;82622
2012;346,00;4195;144216;0;144216;0;148411
2012;27,00;0;4137865;0;4137865;93010;4230875
2012;165,00;0;71955;0;71955;0;71955
2012;956,00;0;375048;0;375048;0;375048
2012;413,00;0;7795;0;7795;0;7795
2012;149,00;22498;130772;0;130772;0;153270
