"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2012;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;619,00;0;0;0;0;0;0;0;0;0;1309;0;0;0;3291;0;8323;0;0;0;1165;0;0;0;0
2012;163,00;0;0;0;0;0;868;0;0;0;1122;0;0;0;5199;0;10592;0;0;0;1546;0;0;0;0
2012;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2156;0;0;0;0;0;0;0;0
2012;1090,00;93739;0;172;423;0;3170;0;2578;0;25061;0;163;0;0;0;199361;0;705;0;21862;0;0;0;0
2012;764,00;18884;0;18;471;0;2861;0;0;0;5435;0;0;0;4480;0;166292;0;0;0;22694;0;2287;500;375
2012;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;657,00;6166;0;1;0;0;0;0;0;0;1428;0;0;0;0;0;42315;0;0;0;4654;0;1188;83;0
2012;362,00;2478;0;0;116;0;0;0;5333;0;168;0;0;0;8174;0;12242;0;0;0;1445;0;528;3;0
2012;989,00;0;0;0;0;0;0;0;0;0;698;0;0;0;0;0;26658;0;0;0;2809;0;481;47;0
2012;990,00;0;0;0;0;0;0;0;0;0;690;0;0;0;0;0;39796;0;0;0;3637;0;703;107;0
2012;680,00;23932;0;38;2308;0;0;0;0;0;11386;0;0;0;16912;0;158148;24200;0;0;22571;0;3272;817;186
2012;411,00;2346;0;0;21;0;5314;0;0;0;3221;0;0;0;6829;0;27664;0;0;0;4099;0;1355;28;31
2012;241,00;2944;0;0;0;0;0;0;328;0;205;0;0;0;0;0;21028;0;0;0;0;0;953;23;0
2012;558,00;8489;0;5;0;0;925;0;0;0;3532;0;0;0;6066;0;70869;0;0;0;8558;0;1408;155;128
2012;167,00;0;0;0;0;0;1056;0;0;0;104;0;0;0;0;0;1179;0;0;0;60;0;0;0;0
2012;248,00;1687;0;0;557;0;451;0;1353;0;710;0;736;0;11927;0;13126;0;0;0;9459;0;543;135;0
2012;224,00;258;0;0;0;0;412;0;0;0;986;0;0;0;1479;0;14262;0;0;0;1707;0;0;0;0
2012;591,00;10952;0;14;0;0;2992;0;0;0;5296;0;0;0;7152;0;91550;0;0;0;11833;0;3830;255;15
2012;586,00;16113;0;36;0;0;0;0;0;0;4668;0;0;0;5425;0;132348;0;0;0;17548;0;2040;248;75
2012;453,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18086;0;0;0;3500;0;547;24;0
2012;145,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;511,00;11309;0;6;0;0;0;0;0;0;4046;0;0;0;0;0;78448;32801;0;0;9747;0;2621;236;67
2012;530,00;15000;0;7;0;0;0;0;0;0;1698;0;0;0;8408;0;65740;28138;0;0;11310;0;4079;283;87
2012;6,00;1118;0;0;7;0;3677;0;1186;0;2845;0;206;0;5686;0;12743;0;0;0;3705;0;0;0;0
2012;161,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;623,00;14922;0;5;0;0;0;4134;9384;0;7487;0;0;0;0;0;105120;19486;0;0;17431;0;1893;503;0
2012;489,00;932;0;0;0;0;0;0;0;0;612;0;0;0;1210;0;20832;0;0;0;1103;0;163;0;0
2012;875,00;3208;0;1;4;0;1094;0;558;0;2352;0;338;0;4556;0;36920;0;62;0;5556;0;770;89;11
2012;940,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;946,00;6471;0;18;195;0;944;0;248;0;1732;0;0;0;4423;0;17095;0;0;0;3644;0;464;62;12
2012;1023,00;13570;0;15;712;0;6572;0;0;0;4829;0;0;0;7058;0;128520;0;0;0;13001;0;1869;327;0
2012;1054,00;8623;0;0;1506;0;3907;0;0;0;2357;0;0;0;5711;0;76513;0;0;0;10490;0;2433;116;28
2012;1057,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2833;0;0;0;1060;0;0;0;0
2012;1031,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;1032,00;12916;0;12;479;0;5219;0;0;0;3900;0;2365;0;7267;0;108126;0;1959;0;11140;0;2037;314;111
2012;1064,00;1794;0;1;5;0;265;0;0;0;795;0;0;0;3729;0;7809;0;0;0;1312;0;317;59;23
2012;226,00;2203;0;0;266;0;1801;0;351;0;2230;0;0;0;5204;0;7148;0;0;0;2443;0;0;0;0
