"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2012;244,00;27;6;33;0;0
2012;28,00;0;0;0;0;0
2012;444,00;0;0;0;0;0
2012;479,00;0;0;0;0;0
2012;285,00;139;57;195;1;0
2012;253,00;1182;505;1707;99;0
2012;481,00;186;114;304;17;0
2012;540,00;407;163;560;36;0
2012;332,00;0;0;0;0;0
2012;41,00;0;0;0;0;0
2012;510,00;0;0;0;0;0
2012;305,00;0;0;0;0;0
2012;708,00;820;229;1049;45;0
2012;755,00;5713;1470;7308;593;0
2012;750,00;2513;765;3353;262;0
2012;696,00;2418;655;3185;217;0
2012;434,00;280;91;371;2;0
2012;421,00;0;0;0;0;0
2012;827,00;0;0;0;0;0
2012;933,00;0;0;0;0;0
2012;1030,00;665;467;1132;23;0
2012;1003,00;0;0;0;0;0
2012;1050,00;0;0;0;0;0
2012;1043,00;1585;663;2297;150;0
2012;934,00;535;138;680;49;0
2012;629,00;1114;392;1566;211;0
2012;21,00;0;0;0;0;0
2012;615,00;769;227;999;25;0
2012;626,00;277;215;494;10;0
2012;417,00;0;0;0;0;0
2012;597,00;139;79;216;6;0
2012;539,00;1358;331;1709;126;1
2012;343,00;100;156;258;7;0
2012;135,00;0;0;0;0;0
2012;158,00;0;0;0;0;0
2012;775,00;806;320;1143;75;0
2012;177,00;0;0;0;0;0
2012;578,00;72;94;166;0;0
2012;416,00;0;0;0;0;0
2012;561,00;354;87;444;22;0
2012;828,00;0;0;0;0;0
2012;860,00;30;27;57;0;0
2012;935,00;0;0;0;0;0
2012;936,00;0;0;0;0;0
2012;986,00;0;0;0;0;0
2012;987,00;792;168;960;22;0
2012;1021,00;0;0;0;0;0
2012;1085,00;0;0;0;0;0
2012;658,00;484;100;584;15;0
2012;353,00;0;0;0;0;0
2012;323,00;0;0;0;0;0
2012;620,00;433;73;507;29;0
2012;384,00;0;0;0;0;0
2012;484,00;0;0;0;0;0
2012;554,00;1042;282;1355;80;0
2012;209,00;0;0;0;0;0
2012;707,00;3195;796;4059;225;0
2012;395,00;0;0;0;0;0
2012;969,00;0;0;0;0;0
2012;1052,00;0;0;0;0;0
2012;739,00;3559;1276;4962;590;0
2012;613,00;1020;321;1357;91;0
2012;593,00;0;0;0;0;0
2012;704,00;1195;425;1664;192;0
2012;493,00;0;0;0;0;0
2012;686,00;1146;435;1593;94;0
2012;257,00;1325;926;2346;212;2
2012;494,00;0;0;0;0;0
2012;681,00;0;0;0;0;0
2012;286,00;339;217;556;26;0
2012;255,00;118;91;214;19;0
2012;79,00;0;0;0;0;0
2012;81,00;0;0;0;0;0
2012;688,00;712;345;1034;54;0
2012;531,00;823;173;1005;52;0
2012;514,00;164;117;284;20;0
2012;499,00;0;0;0;0;0
2012;532,00;622;293;920;54;0
2012;190,00;0;0;0;0;0
2012;598,00;289;81;370;14;0
2012;260,00;2731;2553;5284;430;0
2012;838,00;0;0;0;0;0
2012;839,00;0;0;0;0;0
2012;851,00;0;0;0;0;0
2012;852,00;1597;427;2050;80;0
2012;988,00;0;0;0;0;0
2012;1056,00;1207;216;1445;91;0
2012;1044,00;0;0;0;0;0
2012;644,00;1533;750;2331;201;0
2012;752,00;1012;344;1385;114;0
2012;238,00;0;0;0;0;0
2012;325,00;0;0;0;0;0
2012;622,00;213;112;325;8;0
2012;879,00;22;38;60;0;0
2012;906,00;412;327;739;64;0
2012;370,00;0;0;0;0;0
2012;418,00;0;0;0;0;0
2012;574,00;0;0;0;0;0
2012;399,00;0;0;0;0;0
2012;195,00;0;0;0;0;0
2012;783,00;2061;341;2458;183;0
2012;263,00;135;39;176;0;0
2012;194,00;0;0;0;0;0
2012;214,00;0;0;0;0;0
2012;785,00;5637;699;6498;546;0
2012;780,00;0;0;0;0;0
2012;782,00;0;0;0;0;0
2012;369,00;0;0;0;0;0
2012;84,00;0;0;0;0;0
2012;713,00;0;0;0;0;0
2012;941,00;0;0;0;0;0
2012;1091,00;0;0;0;0;0
2012;1045,00;259;109;375;0;2
2012;1086,00;888;397;1285;0;0
2012;937,00;755;256;1009;47;0
2012;1004,00;0;9;9;0;0
2012;737,00;1850;494;2402;186;0
2012;765,00;3501;566;4194;243;0
2012;329,00;0;0;0;0;0
2012;87,00;0;0;0;0;0
2012;527,00;0;0;0;0;0
2012;562,00;0;0;0;0;0
2012;251,00;21;13;34;1;0
2012;129,00;0;0;0;0;0
2012;154,00;0;0;0;0;0
2012;516,00;723;422;1171;1;0
2012;184,00;80;40;123;0;0
2012;652,00;0;0;0;0;0
2012;637,00;187;66;254;11;0
2012;88,00;0;0;0;0;0
2012;907,00;0;0;0;0;0
2012;970,00;0;0;0;0;0
2012;1019,00;0;0;0;0;0
2012;1016,00;628;341;998;64;0
2012;1047,00;1244;280;1547;72;0
2012;635,00;1741;631;2368;136;0
