"año";"NCODI";"Camas instaladas";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2012;113,00;"200 - 500 camas";0;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0
2012;619,00;"Menos de 200 camas";0;0;5;1;73;0;0;5;1;3;0;4;0;0;4;0;1
2012;163,00;"Menos de 200 camas";0;0;4;0;20;0;0;4;0;5;0;0;0;0;0;7;2
2012;131,00;"Menos de 200 camas";0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0
2012;375,00;"Menos de 200 camas";0;0;0;0;63;0;0;0;0;1;0;0;0;0;0;0;0
2012;1090,00;"501 - 1000 camas";23;3;23;2;696;23;3;23;2;11;5;44;4;0;40;0;2
2012;764,00;"501 - 1000 camas";13;2;15;1;644;13;2;15;1;17;0;16;56;8;32;0;0
2012;14,00;"Menos de 200 camas";3;2;3;0;42;3;2;3;0;1;0;0;0;0;0;0;0
2012;657,00;"Menos de 200 camas";3;1;4;0;75;1;1;3;0;2;0;1;0;0;3;1;1
2012;362,00;"Menos de 200 camas";1;1;3;1;65;1;1;3;1;7;0;0;0;0;8;0;0
2012;989,00;"Menos de 200 camas";0;1;4;0;55;0;1;3;0;4;0;5;0;0;0;0;0
2012;990,00;"Menos de 200 camas";1;1;4;0;91;1;1;4;0;2;0;10;0;0;0;8;0
2012;680,00;"501 - 1000 camas";24;3;27;2;772;24;3;27;1;12;3;36;0;0;3;0;0
2012;411,00;"Menos de 200 camas";4;2;7;2;104;4;2;7;2;3;0;6;0;0;1;1;1
2012;241,00;"Menos de 200 camas";3;2;7;1;96;3;2;7;1;2;0;6;0;0;2;0;0
2012;558,00;"200 - 500 camas";5;3;7;0;243;5;3;5;0;9;0;21;0;0;5;12;2
2012;167,00;"Menos de 200 camas";0;1;2;0;16;0;1;2;0;1;0;0;0;0;0;0;0
2012;248,00;"Menos de 200 camas";0;0;4;1;74;0;0;4;1;2;0;10;0;0;0;0;0
2012;224,00;"Menos de 200 camas";1;1;2;0;23;1;1;2;0;2;0;0;0;0;2;0;0
2012;591,00;"200 - 500 camas";26;2;14;1;397;26;2;14;1;10;0;57;0;0;0;0;4
2012;586,00;"501 - 1000 camas";14;2;12;0;377;14;2;12;0;4;4;26;0;0;0;0;0
2012;453,00;"Menos de 200 camas";0;0;0;0;137;0;0;0;0;1;0;6;0;0;0;0;0
2012;145,00;"Menos de 200 camas";0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0
2012;511,00;"200 - 500 camas";11;2;9;0;246;11;2;9;0;6;3;10;0;0;0;14;0
2012;530,00;"200 - 500 camas";8;2;9;0;331;8;2;9;0;6;3;25;0;0;0;2;2
2012;6,00;"Menos de 200 camas";2;1;7;0;56;2;1;7;0;1;0;0;0;0;10;0;0
2012;161,00;"200 - 500 camas";0;0;0;0;360;0;0;0;0;0;0;0;0;0;0;0;0
2012;623,00;"200 - 500 camas";14;2;10;1;350;14;2;10;1;8;2;18;0;0;0;0;0
2012;489,00;"Menos de 200 camas";1;1;1;0;10;0;1;1;0;1;0;0;0;0;0;0;0
2012;875,00;"Menos de 200 camas";0;0;6;1;82;0;0;6;1;2;0;6;0;0;2;0;0
2012;940,00;"Menos de 200 camas";0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2012;946,00;"Menos de 200 camas";3;1;4;1;88;1;1;4;1;3;0;0;0;0;0;0;0
2012;1023,00;"200 - 500 camas";8;2;11;1;207;8;2;11;1;4;0;38;0;0;13;0;0
2012;1054,00;"200 - 500 camas";12;2;15;1;209;6;2;13;1;6;0;16;0;0;0;24;2
2012;1057,00;"Menos de 200 camas";0;0;0;0;76;0;0;0;0;4;0;0;0;0;0;0;0
2012;1031,00;"Menos de 200 camas";0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0
2012;1032,00;"200 - 500 camas";8;8;12;1;196;8;8;12;1;4;0;25;0;0;14;0;0
2012;1064,00;"Menos de 200 camas";2;2;6;1;37;2;2;6;1;1;0;0;0;0;0;0;0
2012;226,00;"Menos de 200 camas";2;1;5;1;95;2;1;5;1;2;0;0;0;0;0;0;0
2012;687,00;"Menos de 200 camas";8;2;6;0;174;8;2;6;0;7;0;4;20;0;0;10;1
