"año";"NCODI";"pacienteTot_med";"sesionTot_med";"pacienteTot_psiquia";"sesionTot_psiquia";"pacienteTot_geria";"sesionTot_geria"
2013;113,00;0;0;15531;17013;0;0
2013;619,00;141;520;0;0;0;0
2013;163,00;0;0;0;0;0;0
2013;131,00;0;0;0;0;0;0
2013;375,00;0;0;0;0;0;0
2013;1090,00;14464;49870;852;3408;0;0
2013;764,00;1931;12293;3960;8115;299;445
2013;14,00;0;0;0;0;0;0
2013;657,00;1523;1914;0;0;0;0
2013;362,00;0;0;0;0;0;0
2013;989,00;424;2712;0;0;0;0
2013;990,00;411;2541;0;0;0;0
2013;680,00;32836;48975;0;0;0;0
2013;411,00;294;1619;0;0;0;0
2013;241,00;165;1009;0;0;0;0
2013;558,00;4317;56430;0;0;0;0
2013;167,00;0;0;0;0;0;0
2013;248,00;278;1978;0;0;0;0
2013;224,00;0;0;0;0;0;0
2013;591,00;3960;39633;0;0;0;0
2013;586,00;9969;41629;1261;1297;0;0
2013;453,00;0;0;0;0;0;0
2013;145,00;0;0;0;0;0;0
2013;511,00;14693;17439;0;0;0;0
2013;530,00;4417;33368;0;0;0;0
2013;6,00;0;0;0;0;0;0
2013;161,00;0;0;0;0;0;0
2013;623,00;2162;10716;0;0;0;0
2013;489,00;0;0;0;0;0;0
2013;875,00;93;553;0;0;0;0
2013;940,00;0;0;0;0;0;0
2013;946,00;0;0;0;0;0;0
2013;1023,00;4691;50956;0;0;0;0
2013;1054,00;2594;10499;0;0;0;0
2013;1057,00;0;0;0;0;0;0
2013;1031,00;0;0;0;0;0;0
2013;1032,00;4417;36377;0;0;0;0
2013;1064,00;0;0;0;0;0;0
2013;226,00;0;0;0;0;0;0
2013;687,00;2713;4731;74;3128;0;0
2013;745,00;9400;16169;159;1980;0;0
2013;109,00;0;0;0;0;0;0
2013;808,00;0;0;52;5876;0;0
2013;971,00;1703;1808;0;0;0;0
2013;128,00;0;0;0;0;0;0
2013;919,00;1567;9661;45;582;0;0
2013;725,00;2891;11119;0;0;0;0
2013;3,00;0;0;0;0;0;0
2013;386,00;0;0;0;0;0;0
2013;306,00;0;0;0;0;0;0
2013;15,00;0;0;0;0;0;0
2013;264,00;0;0;0;0;0;0
2013;867,00;0;0;0;0;0;0
2013;910,00;568;4439;0;0;0;0
2013;1053,00;1582;6329;0;0;0;0
2013;1055,00;7419;12778;0;0;0;0
2013;1081,00;0;0;0;0;0;0
2013;1099,00;0;0;0;0;0;0
2013;529,00;0;0;0;0;0;0
2013;345,00;0;0;0;0;0;0
2013;515,00;0;0;0;0;0;0
2013;174,00;0;0;0;0;96;1799
2013;523,00;0;0;0;0;153;5291
2013;697,00;1983;1983;0;0;0;0
2013;239,00;740;972;0;0;0;0
2013;287,00;0;0;0;0;0;0
2013;377,00;0;0;0;0;0;0
2013;692,00;809;4894;62;2421;0;0
2013;335,00;0;0;0;0;0;0
2013;435,00;0;0;0;0;0;0
2013;423,00;0;0;0;0;0;0
2013;351,00;0;0;0;0;0;0
2013;810,00;0;0;0;0;0;0
2013;830,00;5940;12186;0;0;0;0
2013;892,00;2897;26158;137;4665;0;0
2013;921,00;3090;5313;0;0;0;0
2013;991,00;0;0;0;0;0;0
2013;992,00;391;4639;169;3661;0;0
2013;993,00;2346;5725;35;1837;0;0
2013;1070,00;2843;11372;42;1732;0;0
2013;1095,00;0;0;0;0;0;0
2013;1094,00;6;6;0;0;0;0
2013;473,00;1430;3059;0;0;0;0
2013;663,00;7459;33808;0;0;0;0
2013;552,00;1171;7845;0;0;0;0
2013;772,00;20894;79353;496;10469;132;11789
2013;568,00;0;0;0;0;0;0
2013;398,00;0;0;0;0;0;0
2013;394,00;0;0;0;0;0;0
2013;614,00;0;0;0;0;0;0
2013;235,00;0;0;0;0;0;0
2013;616,00;4280;8990;0;0;0;0
2013;267,00;0;0;0;0;0;0
2013;565,00;166;350;0;0;0;0
2013;220,00;244;6143;0;0;0;0
2013;278,00;0;0;0;0;0;0
2013;107,00;0;0;83;3848;126;12942
2013;141,00;0;0;0;0;0;0
2013;711,00;16777;64309;1306;11400;0;0
2013;204,00;0;0;0;0;39;5172
2013;579,00;0;0;0;0;0;0
2013;348,00;442;15826;0;0;0;0
2013;766,00;821;2884;0;0;0;0
2013;761,00;0;0;0;0;166;11363
2013;728,00;658;2989;0;0;0;0
2013;280,00;513;3804;0;0;0;0
2013;222,00;91;96;0;0;0;0
2013;276,00;698;5941;0;0;0;0
2013;11,00;0;0;0;0;0;0
2013;302,00;0;0;0;0;0;0
2013;682,00;4263;15071;0;0;0;0
2013;279,00;447;2181;0;0;0;0
2013;282,00;491;4410;0;0;0;0
2013;281,00;454;7270;0;0;0;0
2013;183,00;0;0;0;0;0;0
2013;610,00;0;0;0;0;0;0
2013;116,00;0;0;0;0;211;4704
2013;115,00;0;0;0;0;0;0
2013;114,00;0;0;0;0;0;0
2013;126,00;0;0;0;0;39;2665
2013;119,00;0;0;0;0;0;0
2013;770,00;7398;27036;75;2757;0;0
2013;583,00;220;8921;0;0;0;0
2013;136,00;0;0;0;0;321;11201
2013;469,00;1796;4596;0;0;22;3513
2013;642,00;269;1837;0;0;123;4637
2013;674,00;1741;8487;175;4921;0;0
2013;193,00;0;0;0;0;72;4144
2013;526,00;4817;19511;0;0;183;6573
2013;698,00;3492;27778;47;1785;0;0
2013;630,00;2101;7509;0;0;0;0
2013;124,00;0;0;0;0;201;7560
2013;364,00;0;0;0;0;158;8744
2013;604,00;4953;20358;215;3911;0;0
2013;123,00;0;0;0;0;360;14668
2013;310,00;0;0;233;12537;161;13945
2013;571,00;752;4932;0;0;0;0
2013;296,00;0;0;0;0;64;5599
2013;566,00;3317;8288;185;3641;397;3527
2013;784,00;8515;38794;311;5755;579;6182
2013;102,00;0;0;90;3343;60;5110
2013;379,00;0;0;272;18258;0;0
2013;639,00;7840;9345;0;0;0;0
2013;457,00;858;1031;0;0;0;0
2013;609,00;218;1725;27;4249;0;0
2013;101,00;0;0;0;0;48;4556
2013;454,00;1611;3232;0;0;0;0
2013;318,00;0;0;48;3994;54;5872
2013;600,00;3646;14583;0;0;0;0
2013;545,00;4115;16382;52;4394;80;5121
2013;100,00;0;0;0;0;136;8649
2013;702,00;1847;9261;95;5357;0;0
2013;778,00;710;6099;128;3616;0;0
2013;341,00;0;0;0;0;0;0
2013;99,00;0;0;0;0;365;9322
2013;767,00;1919;6197;0;0;0;0
2013;359,00;0;0;0;0;1030;6360
2013;98,00;0;0;0;0;67;5796
2013;132,00;0;0;0;0;0;0
2013;97,00;0;0;0;0;61;7182
2013;103,00;0;0;0;0;460;4637
2013;110,00;0;0;0;0;0;0
2013;94,00;0;0;0;0;0;0
2013;91,00;0;0;0;0;110;4080
2013;664,00;4700;20122;158;4910;0;0
2013;918,00;22316;84579;0;0;0;0
2013;92,00;0;0;0;0;0;0
2013;95,00;0;0;0;0;35;5601
2013;96,00;0;0;0;0;0;0
2013;301,00;0;0;0;0;0;0
2013;492,00;1265;5827;0;0;0;0
2013;811,00;0;0;0;0;0;0
2013;812,00;4430;42644;0;0;0;0
2013;832,00;0;0;0;0;0;0
2013;841,00;0;0;0;0;33;4220
2013;856,00;0;0;0;0;63;4724
2013;859,00;0;0;97;4758;0;0
2013;861,00;0;0;0;0;0;0
2013;880,00;0;0;0;0;177;9323
2013;883,00;0;0;59;4211;0;0
2013;884,00;0;0;0;0;84;6320
2013;877,00;0;0;0;0;0;0
2013;911,00;0;0;0;0;205;6790
2013;913,00;0;0;211;4994;0;0
2013;922,00;0;0;0;0;0;0
2013;923,00;0;0;0;0;0;0
2013;924,00;3678;20119;0;0;0;0
2013;947,00;0;0;0;0;0;0
2013;951,00;0;0;0;0;34;4232
2013;1103,00;0;0;0;0;305;7509
2013;972,00;0;0;0;0;0;0
2013;973,00;0;0;0;0;0;0
2013;974,00;0;0;0;0;0;0
2013;975,00;0;0;0;0;41;5830
2013;960,00;0;0;0;0;177;5907
2013;1028,00;0;0;0;0;0;0
2013;976,00;0;0;87;3306;208;7415
2013;977,00;0;0;0;0;0;0
2013;1020,00;0;0;141;2821;0;0
2013;994,00;1;9355;0;0;0;0
2013;995,00;0;0;0;0;74;5234
2013;1060,00;0;0;151;10552;0;0
2013;1005,00;0;0;0;0;0;0
2013;1061,00;0;0;0;0;0;0
2013;1006,00;0;0;83;4618;0;0
2013;1088,00;0;0;0;0;0;0
2013;1089,00;0;0;0;0;0;0
2013;1076,00;0;0;0;0;0;0
2013;1078,00;0;0;0;0;0;0
