"año";"NCODI";"Camas instaladas";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2013;899,00;"Menos de 200 camas";0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0
2013;900,00;"Menos de 200 camas";0;0;2;0;9;0;0;2;0;1;0;0;0;0;2;0;0
2013;932,00;"Menos de 200 camas";0;0;2;0;15;0;0;2;0;0;0;2;0;0;0;0;0
2013;950,00;"Menos de 200 camas";0;0;1;0;6;0;0;1;0;1;0;0;0;0;0;0;0
2013;966,00;"Menos de 200 camas";2;4;2;1;70;1;4;2;1;2;0;0;0;0;0;0;0
2013;967,00;"Menos de 200 camas";0;0;0;0;9;0;0;0;0;0;0;20;0;0;0;0;0
2013;982,00;"Menos de 200 camas";3;1;5;1;93;1;1;4;1;4;0;11;0;0;4;0;2
2013;1014,00;"Menos de 200 camas";0;0;3;0;19;0;0;3;0;3;0;1;0;0;0;0;0
2013;1048,00;"Menos de 200 camas";0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
2013;1080,00;"Menos de 200 camas";8;2;7;1;105;8;2;6;1;2;0;7;0;0;0;6;1
2013;1074,00;"Menos de 200 camas";0;0;2;0;12;0;0;2;0;1;0;1;0;0;0;3;2
2013;722,00;"501 - 1000 camas";74;3;27;3;867;74;3;27;3;12;2;69;0;0;12;13;2
2013;660,00;"200 - 500 camas";0;0;12;0;308;0;0;9;0;3;0;10;0;0;21;0;0
2013;75,00;"Menos de 200 camas";0;0;0;0;100;0;0;0;0;0;0;0;40;0;0;0;0
2013;249,00;"Menos de 200 camas";3;2;7;1;118;3;2;7;1;3;0;1;0;0;7;0;0
2013;275,00;"Menos de 200 camas";0;0;5;0;94;0;0;5;0;1;0;0;0;0;6;0;0
2013;227,00;"Menos de 200 camas";6;2;6;1;98;6;2;6;1;2;0;0;0;0;0;0;0
2013;150,00;"Menos de 200 camas";0;0;4;0;82;0;0;4;0;2;0;0;0;0;4;0;0
2013;47,00;"Menos de 200 camas";0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0
2013;172,00;"Menos de 200 camas";0;0;6;0;148;0;0;6;0;1;0;6;0;0;6;0;1
2013;581,00;"Menos de 200 camas";3;2;4;0;103;3;2;4;0;3;0;1;0;0;1;0;0
2013;120,00;"Menos de 200 camas";0;0;1;0;39;0;0;1;0;1;0;0;0;0;0;1;1
2013;445,00;"Menos de 200 camas";0;0;2;0;164;0;0;2;0;0;0;0;0;0;0;0;0
2013;471,00;"200 - 500 camas";0;0;5;0;238;0;0;5;0;2;0;0;0;0;0;0;0
2013;53,00;"Menos de 200 camas";0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0
2013;199,00;"Menos de 200 camas";0;0;3;0;175;0;0;3;0;1;0;0;0;0;4;0;0
2013;575,00;"Menos de 200 camas";6;7;10;0;162;6;7;10;0;5;0;9;0;0;9;0;0
2013;528,00;"Menos de 200 camas";6;3;4;0;98;6;3;3;0;3;1;2;0;0;5;0;0
2013;631,00;"200 - 500 camas";6;2;6;0;264;6;2;6;0;4;2;12;0;0;6;0;1
2013;699,00;"200 - 500 camas";0;0;10;0;362;0;0;9;0;9;2;30;0;0;37;0;0
2013;823,00;"Menos de 200 camas";0;0;3;0;30;0;0;3;0;2;0;0;0;0;3;0;0
2013;849,00;"Menos de 200 camas";0;0;5;0;108;0;0;5;0;2;0;0;0;0;6;0;0
2013;869,00;"Menos de 200 camas";0;0;4;0;90;0;0;4;0;3;0;0;0;0;0;0;0
2013;955,00;"Menos de 200 camas";0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
2013;983,00;"200 - 500 camas";0;0;0;0;222;0;0;0;0;0;0;0;0;0;0;0;0
2013;1002,00;"Menos de 200 camas";0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0
2013;1015,00;"501 - 1000 camas";22;8;25;2;549;22;8;25;2;22;0;69;0;0;43;0;0
2013;51,00;"Menos de 200 camas";0;0;0;0;28;0;0;0;0;0;0;0;32;0;0;0;0
2013;441,00;"Menos de 200 camas";0;0;7;0;193;0;0;7;0;3;0;0;0;0;0;0;0
2013;327,00;"Menos de 200 camas";0;0;0;0;199;0;0;0;0;0;0;0;18;38;0;0;0
2013;690,00;"200 - 500 camas";4;2;15;2;209;4;2;15;2;3;0;24;0;0;2;0;0
2013;262,00;"Menos de 200 camas";2;2;7;0;90;2;2;7;0;2;0;3;0;0;0;7;0
2013;403,00;"Menos de 200 camas";0;0;3;0;13;0;0;3;0;1;0;0;0;0;0;0;0
2013;312,00;"Menos de 200 camas";0;0;0;0;155;0;0;0;0;0;0;0;15;0;0;0;0
2013;589,00;"Menos de 200 camas";2;1;4;0;91;2;1;4;0;6;0;6;0;0;6;0;0
2013;665,00;"Menos de 200 camas";3;2;4;0;179;3;2;4;0;4;0;3;0;0;0;0;0
2013;334,00;"Menos de 200 camas";0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0
2013;1075,00;"Más de 1.000 camas";26;4;31;1;990;26;4;31;1;8;6;63;140;0;0;23;0
2013;751,00;"501 - 1000 camas";11;3;22;1;837;11;3;18;1;10;3;79;20;0;0;26;4
2013;186,00;"Menos de 200 camas";1;0;3;1;49;1;0;3;1;3;0;0;0;0;0;0;0
2013;646,00;"Menos de 200 camas";2;1;2;0;101;2;1;2;0;3;0;10;0;0;2;1;2
2013;536,00;"Menos de 200 camas";1;1;3;0;79;1;1;3;0;5;0;8;0;0;3;1;1
2013;242,00;"Menos de 200 camas";2;1;2;0;49;1;1;2;0;2;0;0;0;0;0;0;0
2013;490,00;"Menos de 200 camas";0;0;5;0;170;0;0;4;0;2;0;1;0;15;0;15;0
2013;500,00;"200 - 500 camas";3;2;5;1;126;3;2;5;1;4;0;9;0;0;0;0;0
2013;206,00;"Menos de 200 camas";0;0;3;0;48;0;0;3;0;1;0;0;0;0;0;0;0
2013;58,00;"Menos de 200 camas";0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
2013;572,00;"200 - 500 camas";12;4;11;0;354;12;4;9;0;10;0;17;50;0;12;0;0
2013;180,00;"Menos de 200 camas";0;0;2;0;84;0;0;2;0;1;0;0;0;0;0;0;0
2013;549,00;"Menos de 200 camas";4;2;3;0;103;4;2;3;0;6;0;4;0;0;0;0;0
2013;582,00;"Menos de 200 camas";3;3;3;0;100;3;3;3;0;3;0;4;0;0;2;0;0
2013;743,00;"200 - 500 camas";15;2;14;1;453;15;2;12;1;7;3;41;0;0;20;0;0
2013;795,00;"Menos de 200 camas";0;0;5;0;113;0;0;5;0;1;0;0;0;0;7;8;0
2013;269,00;"Menos de 200 camas";0;0;3;0;24;0;0;3;0;1;0;0;0;0;0;0;0
2013;634,00;"200 - 500 camas";0;0;6;0;188;0;0;6;0;3;0;6;0;0;6;0;0
2013;1,00;"Menos de 200 camas";2;1;4;0;46;2;1;4;0;1;0;2;0;0;0;0;0
2013;717,00;"200 - 500 camas";8;2;5;0;201;8;2;4;0;4;0;7;15;0;8;0;0
2013;373,00;"Menos de 200 camas";0;0;0;0;138;0;0;0;0;1;0;0;0;0;0;0;0
2013;535,00;"Menos de 200 camas";2;2;5;0;151;2;2;5;0;5;2;5;20;0;0;13;0
2013;824,00;"Más de 1.000 camas";17;4;30;2;1043;17;4;26;2;50;7;113;12;0;46;1;1
2013;888,00;"Menos de 200 camas";2;1;3;0;90;2;1;3;0;2;0;0;0;0;0;0;0
2013;902,00;"Menos de 200 camas";0;0;1;0;19;0;0;1;0;1;0;0;0;0;0;0;0
2013;968,00;"Menos de 200 camas";0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0
2013;346,00;"200 - 500 camas";0;0;0;0;284;0;0;0;0;0;0;0;0;0;0;0;0
2013;27,00;"Menos de 200 camas";0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0
2013;165,00;"Menos de 200 camas";2;1;2;0;44;2;1;2;0;1;0;2;0;0;0;0;0
2013;956,00;"200 - 500 camas";10;2;12;0;460;10;2;9;0;9;0;47;16;0;0;19;0
2013;413,00;"Menos de 200 camas";0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0
2013;149,00;"Menos de 200 camas";0;0;3;0;66;0;0;3;0;1;0;0;0;0;16;0;0
2013;612,00;"Menos de 200 camas";7;3;7;1;163;7;3;7;1;9;0;6;0;0;0;0;0
2013;559,00;"Menos de 200 camas";0;0;4;0;87;0;0;4;0;3;0;0;0;0;0;0;0
2013;7,00;"Menos de 200 camas";0;0;5;0;113;0;0;5;0;1;0;0;0;0;0;0;0
2013;283,00;"Menos de 200 camas";0;0;8;1;160;0;0;8;1;6;0;0;0;0;0;0;0
2013;37,00;"Menos de 200 camas";0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0
2013;153,00;"Menos de 200 camas";0;0;8;0;177;0;0;8;0;5;0;0;0;0;0;0;0
2013;547,00;"200 - 500 camas";4;5;9;0;230;4;5;7;0;8;0;19;0;0;1;2;1
2013;397,00;"Menos de 200 camas";0;0;0;0;80;0;0;0;0;2;0;0;0;18;0;0;0
2013;556,00;"Menos de 200 camas";6;4;4;0;121;6;4;4;0;4;0;15;0;0;0;0;0
2013;42,00;"Menos de 200 camas";0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0
2013;31,00;"200 - 500 camas";0;0;0;0;241;0;0;0;0;0;0;0;0;40;0;0;0
2013;740,00;"501 - 1000 camas";40;8;26;1;799;40;8;18;1;14;4;38;37;0;32;0;0
2013;217,00;"Menos de 200 camas";0;0;3;0;41;0;0;3;0;1;0;0;0;0;0;0;0
2013;863,00;"Menos de 200 camas";2;1;3;0;21;1;1;2;0;1;0;0;0;0;0;0;0
2013;889,00;"501 - 1000 camas";0;0;22;3;688;0;0;15;3;14;7;64;0;0;0;23;4
2013;984,00;"Menos de 200 camas";0;0;5;0;127;0;0;5;0;3;0;0;0;0;0;0;0
2013;34,00;"Menos de 200 camas";0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0
2013;791,00;"Menos de 200 camas";2;1;5;0;120;0;1;5;0;3;0;0;0;0;0;0;0
2013;181,00;"Menos de 200 camas";0;0;0;0;77;0;0;0;0;1;0;0;0;0;0;0;0
2013;430,00;"Menos de 200 camas";0;0;1;0;14;0;0;1;0;1;0;0;0;0;0;0;0
2013;715,00;"501 - 1000 camas";3;2;12;1;396;3;2;12;1;10;0;13;0;0;0;0;0
2013;521,00;"Menos de 200 camas";0;0;3;0;43;0;0;3;0;4;0;1;0;0;1;1;1
2013;524,00;"Menos de 200 camas";2;1;9;1;192;2;1;9;1;2;0;5;0;0;0;6;2
2013;432,00;"Menos de 200 camas";0;0;2;0;18;0;0;2;0;1;0;0;0;0;0;0;0
2013;19,00;"Menos de 200 camas";3;1;2;0;15;3;1;2;0;0;0;0;0;0;0;0;0
2013;25,00;"Menos de 200 camas";0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0
2013;26,00;"Menos de 200 camas";0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0
2013;890,00;"501 - 1000 camas";18;2;17;1;589;18;2;17;1;21;4;48;20;0;0;15;0
