"año";"NCODI";"progAngioVasc_hosp";"urgeAngioVasc_hosp";"progAngioVasc_cma";"urgeAngioVasc_cma";"progAngioVasc_resto";"urgeAngioVasc_resto";"progAngioVasc_total";"urgeAngioVasc_total";"progCirCardio_hosp";"urgeCirCardio_hosp";"progCirCardio_cma";"urgeCirCardio_cma";"progCirCardio_resto";"urgeCirCardio_resto";"progCirCardio_total";"urgeCirCardio_total";"progCirGeneral_hosp";"urgeCirGeneral_hosp";"progCirGeneral_cma";"urgeCirGeneral_cma";"progCirGeneral_resto";"urgeCirGeneral_resto";"progCirGeneral_total";"urgeCirGeneral_total";"progMaxilo_hosp";"urgeMaxilo_hosp";"progMaxilo_cma";"urgeMaxilo_cma";"progMaxilo_resto";"urgeMaxilo_resto";"progMaxilo_total";"urgeMaxilo_total";"progCirPediat_hosp";"urgeCirPediat_hosp";"progCirPediat_cma";"urgeCirPediat_cma";"progCirPediat_resto";"urgeCirPediat_resto";"progCirPediat_total";"urgeCirPediat_total";"progPlastica_hosp";"urgePlastica_hosp";"progPlastica_cma";"urgePlastica_cma";"progPlastica_resto";"urgePlastica_resto";"progPlastica_total";"urgePlastica_total";"progToracica_hosp";"urgeToracica_hosp";"progToracica_cma";"urgeToracica_cma";"progToracica_resto";"urgeToracica_resto";"progToracica_total";"urgeToracica_total";"progDerma_hosp";"urgeDerma_hosp";"progDerma_cma";"urgeDerma_cma";"progDerma_resto";"urgeDerma_resto";"progDerma_total";"urgeDerma_total";"progGine_hosp";"urgeGine_hosp";"progGine_cma";"urgeGine_cma";"progGine_resto";"urgeGine_resto";"progGine_total";"urgeGine_total";"progCirNeuro_hosp";"urgeCirNeuro_hosp";"progCirNeuro_cma";"urgeCirNeuro_cma";"progCirNeuro_resto";"urgeCirNeuro_resto";"progCirNeuro_total";"urgeCirNeuro_total";"progOftalmo_hosp";"urgeOftalmo_hosp";"progOftalmo_cma";"urgeOftalmo_cma";"progOftalmo_resto";"urgeOftalmo_resto";"progOftalmo_total";"urgeOftalmo_total";"progORL_hosp";"urgeORL_hosp";"progORL_cma";"urgeORL_cma";"progORL_resto";"urgeORL_resto";"progORL_total";"urgeORL_total";"progTrauma_hosp";"urgeTrauma_hosp";"progTrauma_cma";"urgeTrauma_cma";"progTrauma_resto";"urgeTrauma_resto";"progTrauma_total";"urgeTrauma_total";"progUrolog_hosp";"urgeUrolog_hosp";"progUrolog_cma";"urgeUrolog_cma";"progUrolog_resto";"urgeUrolog_resto";"progUrolog_total";"urgeUrolog_total";"progOtrasCirugias_hosp";"urgeOtrasCirugias_hosp";"progOtrasCirugias_cma";"urgeOtrasCirugias_cma";"progOtrasCirugias_resto";"urgeOtrasCirugias_resto";"progOtrasCirugias_total";"urgeOtrasCirugias_total";"totalProg_hosp";"totalUrge_hosp";"totalProg_cma";"totalUrge_cma";"totalProg_resto";"totalUrge_resto";"total_programada";"total_urgente"
2013;914,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;928,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;964,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;565;235;539;55;602;20;1706;310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;10;9;0;121;1;193;11;0;0;0;0;0;0;0;0;1;1;0;0;168;0;169;1;471;249;239;78;9;1;719;328;0;0;0;0;0;0;0;0;0;0;1085;1;219;2;1304;3;246;7;29;0;0;0;275;7;389;400;423;9;0;9;812;418;170;11;21;1;283;0;474;12;0;5;770;1;0;0;770;6;1905;918;3115;145;1402;33;6422;1096
2013;1026,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;1068,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;596,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353;212;87;0;194;33;634;245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;170;0;190;0;362;2;99;76;103;0;8;11;210;87;0;0;0;0;0;0;0;0;8;9;514;0;40;16;562;25;54;9;1;0;1;1;56;10;409;214;212;0;13;23;634;237;173;68;52;0;63;27;288;95;0;0;0;0;0;0;0;0;1098;590;1139;0;509;111;2746;701
2013;749,00;691;72;19;0;8;0;718;72;491;283;0;0;4;4;495;287;1942;1188;486;0;614;118;3042;1306;421;57;30;0;294;8;745;65;102;23;0;0;3;1;105;24;483;57;162;0;809;15;1454;72;209;61;0;0;3;1;212;62;26;8;26;0;3547;95;3599;103;574;112;134;0;481;8;1189;120;491;138;28;0;4;7;523;145;358;36;3852;0;4138;62;8348;98;866;66;72;0;262;8;1200;74;2264;388;542;0;221;39;3027;427;1467;371;121;0;361;26;1949;397;417;23;88;0;259;38;764;61;10802;2883;5560;0;11008;430;27370;3313
2013;758,00;544;136;14;0;0;0;558;136;446;76;0;0;0;0;446;76;2271;1057;587;31;13;0;2871;1088;420;141;183;1;0;0;603;142;1375;1041;1678;32;13;0;3066;1073;401;169;266;35;11;0;678;204;339;49;0;0;0;0;339;49;0;0;2210;0;107;0;2317;0;1103;512;1799;232;237;0;3139;744;431;151;0;0;0;0;431;151;250;35;2955;8;27;0;3232;43;555;82;126;1;11;0;692;83;2517;388;173;36;1;0;2691;424;1123;428;567;7;19;0;1709;435;706;997;7;18;166;0;879;1015;12481;5262;10565;401;605;0;23651;5663
2013;1104,00;508;186;340;0;2;10;850;196;585;111;6;0;1;0;592;111;2220;1007;420;0;1096;38;3736;1045;213;21;254;0;312;3;779;24;42;9;150;0;205;1;397;10;315;6;140;0;212;0;667;6;259;136;2;0;27;3;288;139;9;0;115;0;2833;10;2957;10;914;745;501;0;25;304;1440;1049;377;135;40;0;37;1;454;136;384;55;6228;0;3372;138;9984;193;506;78;215;0;35;0;756;78;1420;618;814;0;1128;12;3362;630;1006;200;414;0;207;3;1627;203;0;0;0;0;0;0;0;0;8758;3307;9639;0;9492;523;27889;3830
2013;436,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
