"año";"NCODI";"camas_medicina";"estancias_medicina";"altFinal_med";"altCuracion_med";"altTraslaHosp_med";"altExitus_med";"altOtracausa_med";"altTraslaInter_med";"camas_cirugia";"estancias_cirugia";"altFinal_cirugia";"altCuracion_cirugia";"altTraslaHosp_cirugia";"altExitus_cirugia";"altOtracausa_cirugia";"altTraslaInter_cirugia";"camas_trauma";"estancias_trauma";"altFinal_trauma";"altCuracion_trauma";"altTraslaHosp_trauma";"altExitus_trauma";"altOtracausa_trauma";"altTraslaInter_trauma";"camas_gine";"estancias_gine";"altFinal_gine";"altCuracion_gine";"altTraslaHosp_gine";"altExitus_gine";"altOtracausa_gine";"altTraslaInter_gine";"camas_pediatria";"estancias_pediatria";"altFinal_pediatria";"altCuracion_pediatria";"altTraslaHosp_pediatria";"altExitus_pediatria";"altOtracausa_pediatria";"altTraslaInter_pediatria";"camas_neonatologia";"estancias_neonatologia";"altFinal_neonatologia";"altCuracion_neonatologia";"altTraslaHosp_neonatologia";"altExitus_neonatologia";"altOtracausa_neonatologia";"altTraslaInter_neonatologia";"camas_restoPedia";"estancias_restoPedia";"altFinal_restoPedia";"altCuracion_restoPedia";"altTraslaHosp_restoPedia";"altExitus_restoPedia";"altOtracausa_restoPedia";"altTraslaInter_restoPedia";"camas_rehabilitacion";"estancias_rehabilitacion";"altFinal_rehabilitacion";"altCuracion_rehabilitacion";"altTraslaHosp_rehabilitacion";"altExitus_rehabilitacion";"altOtracausa_rehabilitacion";"altTraslaInter_rehabilitacion";"camas_mIntensiva";"estancias_mIntensiva";"aFinales_mIntensiva";"altCuracion_mIntensiva";"altTraslaHosp_mIntensiva";"altExitus_mIntensiva";"altOtracausa_mIntensiva";"altTraslaInter_mIntensiva";"camas_uci";"estancias_uci";"altFinal_uci";"altCuracion_uci";"altTraslaHosp_uci";"altExitus_uci";"altOtracausa_uci";"altTraslaInter_uci";"camas_uCoronarios";"estancias_uCoronarios";"altFinal_uCoronarios";"altCuracion_uCoronarios";"altTraslaHosp_uCoronarios";"altExitus_uCoronarios";"altOtracausa_uCoronarios";"altTraslaInter_uCoronarios";"camas_uNeonatales";"estancias_uNeonatales";"altFinal_uNeonatales";"altCuracion_uNeonatales";"altTraslaHosp_uNeonatales";"altExitus_uNeonatales";"altOtracausa_uNeonatales";"altTraslaInter_uNeonatales";"camas_uQuemados";"estancias_uQuemados";"altFinal_uQuemados";"altCuracion_uQuemados";"altTraslaHosp_uQuemados";"altExitus_uQuemados";"altOtracausa_uQuemados";"altTraslaInter_uQuemados";"camas_largaEstan";"estancias_largaEstan";"altFinal_largaEstan";"altCuracion_largaEstan";"altTraslaHosp_largaEstan";"altExitus_largaEstan";"altOtracausa_largaEstan";"altTraslaInter_largaEstan";"camas_psiquiatria";"estancias_psiquiatria";"altFinal_psiquiatria";"altCuracion_psiquiatria";"altTraslaHosp_psiquiatria";"altExitus_psiquiatria";"altOtracausa_psiquiatria";"altTraslaInter_psiquiatria";"camas_psiAgudo";"estancias_psiAgudo";"altFinal_psiAgudo";"altCuracion_psiAgudo";"altTraslaHosp_psiAgudo";"altExitus_psiAgudo";"altOtracausa_psiAgudo";"altTraslaInter_psiAgudo";"camas_psiquiMedia";"estancias_psiquiMedia";"altFinal_psiquiMedia";"altCuracion_psiquiMedia";"altTraslaHosp_psiquiMedia";"altExitus_psiquiMedia";"altOtracausa_psiquiMedia";"altTraslaInter_psiquiMedia";"camas_paliativos";"estancias_paliativos";"altFinal_paliativos";"altCuracion_paliativos";"altTraslaHosp_paliativos";"altExitus_paliativos";"altOtracausa_paliativos";"altTraslaInter_paliativos";"otros1_texto";"camas_o1";"estancias_o1";"altFinal_o1";"altCuracion_o1";"altTraslaHosp_o1";"altExitus_o1";"altOtracausa_o1";"altTraslaInter_o1";"otros2_texto";"camas_o2";"estancias_o2";"altFinal_o2";"altCuracion_o2";"altTraslaHosp_o2";"altExitus_o2";"altOtracausa_o2";"altTraslaInter_o2";"otros3_texto";"camas_o3";"estancias_o3";"altFinal_o3";"altCuracion_o3";"altTraslaHosp_o3";"altExitus_o3";"altOtracausa_o3";"altTraslaInter_o3";"camas_total";"estancias_total";"altFinal_total";"altCuracion_total";"altTraslaHosp_total";"altExitus_total";"altOtracausa_total";"altTraslaInter_total";"ingreProgr";"ingreUrge";"total_ingresosHops"
2013;989,00;26;7978;1149;1025;0;124;0;24;7;2646;597;590;0;7;0;59;7;1543;397;392;0;5;0;12;6;1303;535;535;0;0;0;11;4;932;325;323;0;2;0;0;0;0;0;0;0;0;0;0;4;932;325;323;0;2;0;0;0;0;0;0;0;0;0;0;2;339;27;18;0;9;0;119;2;339;27;18;0;9;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;52;14741;3030;2883;0;147;0;225;728;2286;3014
2013;990,00;36;14535;1633;1425;41;152;15;88;16;4008;789;714;29;41;5;165;10;2657;574;554;7;9;4;20;11;2018;808;781;23;0;4;7;4;1149;343;322;20;0;1;2;0;0;0;0;0;0;0;0;4;1149;343;322;20;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;77;24367;4147;3796;120;202;29;282;803;3350;4153
2013;680,00;339;100151;14457;13129;478;764;86;3302;182;42457;7131;6924;120;60;27;1594;51;12532;2343;2308;19;7;9;90;59;13051;3668;3632;3;2;31;80;76;13950;2788;2718;54;2;14;364;22;4516;562;534;28;0;0;58;54;9434;2226;2184;26;2;14;306;0;0;0;0;0;0;0;0;48;10904;406;129;49;221;7;1447;28;6886;253;3;40;207;3;1225;0;0;0;0;0;0;0;0;12;2749;24;3;9;12;0;210;8;1269;129;123;0;2;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;755;193045;30793;28840;723;1056;174;6877;12372;18466;30838
2013;411,00;30;9385;1600;1542;0;58;0;0;28;6986;2043;2040;0;3;0;0;12;3563;1126;1125;0;1;0;0;16;3139;886;885;0;1;0;0;6;430;122;120;2;0;0;0;4;273;91;89;2;0;0;0;2;157;31;31;0;0;0;0;0;0;0;0;0;0;0;0;6;1140;279;266;0;13;0;0;6;1140;279;266;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";6;736;110;80;0;30;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;104;25379;6166;6058;2;106;0;0;3445;2721;6166
2013;241,00;29;5901;1544;1408;55;54;27;0;16;1896;762;758;0;3;1;0;16;1564;1024;1017;4;0;3;0;20;2675;1064;1061;2;0;1;0;7;709;393;345;15;0;33;0;3;178;79;79;0;0;0;0;4;531;314;266;15;0;33;0;0;0;0;0;0;0;0;0;7;1084;423;410;0;13;0;0;7;1084;423;410;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;60;3;2;0;0;1;0;1;60;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;96;13889;5213;5001;76;70;66;0;2624;2589;5213
2013;558,00;104;27685;4839;4376;102;357;4;593;53;14029;2257;2219;11;27;0;153;15;4931;918;889;10;17;2;36;32;5552;1678;1656;10;1;11;123;14;1422;590;563;24;3;0;21;7;575;197;191;4;2;0;2;7;847;393;372;20;1;0;19;0;0;0;0;0;0;0;0;7;1555;159;108;10;41;0;450;7;1555;159;108;10;41;0;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2540;327;307;2;0;18;4;12;2540;327;307;2;0;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;237;57714;10768;10118;169;446;35;1380;2631;8197;10828
2013;167,00;4;219;113;108;5;0;0;0;5;197;132;132;0;0;0;0;6;110;94;93;1;0;0;0;1;55;29;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;16;581;368;361;7;0;0;0;224;144;368
2013;248,00;45;14480;1238;1183;0;55;0;100;70;4697;2013;2001;0;12;0;170;17;2600;629;629;0;0;0;22;4;62;28;28;0;0;0;0;1;18;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;14;3470;74;0;18;56;0;949;14;3470;74;0;18;56;0;949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;151;25327;3983;3842;18;123;0;1242;1445;2660;4105
2013;224,00;6;2688;557;492;43;22;0;0;6;1128;461;448;4;9;0;0;6;994;272;262;8;2;0;0;3;1114;351;348;3;0;0;0;2;88;23;20;3;0;0;0;1;0;0;0;0;0;0;0;1;88;23;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;23;6012;1664;1570;61;33;0;0;932;747;1679
2013;591,00;169;52697;7943;7294;197;401;51;421;76;17491;3476;3414;31;29;2;424;35;6061;1412;1388;18;3;3;223;43;7880;2168;2132;1;0;35;34;31;7167;870;837;33;0;0;28;17;4080;323;303;20;0;0;25;14;3087;547;534;13;0;0;3;0;0;0;0;0;0;0;0;29;7431;164;4;40;118;2;1203;20;5673;155;4;34;115;2;1094;0;0;0;0;0;0;0;0;9;1758;9;0;6;3;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4494;262;238;14;0;10;1;18;4494;262;238;14;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;401;103221;16295;15307;334;551;103;2334;4503;11805;16308
