"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2013;1048,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;1080,00;6221;0;0;0;0;1360;0;0;0;3472;0;0;0;6753;0;31730;0;0;0;4673;0;1329;28;35
2013;1074,00;0;0;0;0;0;188;0;0;0;513;0;0;0;1594;0;4963;0;0;0;902;0;32;0;0
2013;722,00;19042;0;115;814;0;0;0;8040;0;4594;0;3355;0;7034;0;158896;24986;1085;0;23750;0;5677;764;423
2013;660,00;17238;0;48;609;0;0;0;0;0;3489;0;0;0;3961;0;127757;0;0;0;18241;0;2419;650;44
2013;75,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;249,00;484;0;0;99;0;269;0;0;0;458;0;0;0;0;0;28310;0;0;0;2409;0;229;3;0
2013;275,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;390;0;0;0;0;0;0;0;0
2013;227,00;0;0;0;0;0;3701;0;0;0;3441;0;0;0;5452;0;45262;0;0;0;5967;0;1168;25;1
2013;150,00;435;0;0;0;0;0;0;0;0;118;0;0;0;0;0;4956;0;0;0;0;0;716;0;0
2013;47,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;172,00;12;0;0;0;0;0;0;0;0;0;0;0;0;4902;0;19129;0;0;0;941;0;135;0;0
2013;581,00;3365;0;1;0;0;0;0;0;0;1040;0;0;0;0;0;62427;0;0;0;7659;0;800;31;0
2013;120,00;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5416;0;0;0;0;0;0;0;0
2013;445,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0
2013;471,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16919;0;0;0;0;0;198;7;0
2013;53,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;199,00;176;0;0;0;0;0;0;0;0;180;0;0;0;0;0;6099;0;0;0;0;0;239;0;0
2013;575,00;139;0;0;0;0;0;0;0;0;0;0;0;0;353;0;63059;0;0;0;5569;0;1102;198;0
2013;528,00;3818;0;9;0;0;0;0;0;0;1047;0;0;0;0;0;30489;7303;0;0;3359;0;874;7;0
2013;631,00;10808;0;11;0;0;0;0;0;0;2087;0;0;0;0;0;112426;19077;0;0;6562;0;2589;305;0
2013;699,00;18537;0;0;0;0;0;0;0;0;4280;0;0;0;3737;0;81299;11409;0;0;14645;0;5168;278;120
2013;823,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14592;0;0;0;0;0;0;0;0
2013;849,00;2854;0;0;0;0;0;0;0;0;3075;0;0;0;0;0;43562;0;0;0;3718;0;670;210;0
