"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2013;113,00;0;0;0;0;0;0;0;0;0;0;30;0;0;0;168;54473;17013;43028;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";3;2533;0;12;0;0;0;171;57006;17013;43079;0;0;0
2013;619,00;105;258;8;50;198;47;0;1535;5939;512;1132;1585;8601;0;268;675;0;76;407;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;374;0;0;128;3661;0;0;0;0;0;0;0;0;10;49;0;0;2;120;0;"Otros";0;0;0;0;0;0;0;2058;7295;520;1258;2320;12612;0
2013;163,00;321;363;0;8745;135;32;0;1222;1599;0;19098;338;2858;0;375;527;0;2435;121;38;0;0;0;0;0;0;0;0;53;95;0;209;11;2;0;7;19;0;136;1;48;0;0;0;0;0;0;0;0;2;3;0;162;0;10;0;"Otros";0;0;0;0;0;0;0;1980;2606;0;30785;606;2988;0
2013;131,00;5;2584;0;0;0;0;0;0;0;0;0;0;0;0;118;10184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;123;12768;0;0;0;0;0
2013;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441;17692;0;3103;0;562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;99;0;7;0;0;0;"Otros";1;32;0;3;0;0;0;444;17823;0;3114;0;562;0
2013;1090,00;0;0;0;0;1;1;0;63;379;266;480;1;562;14;39481;187827;52905;589165;8003;152429;878;0;0;1;66;0;1;0;0;0;0;0;0;0;0;20;63;0;63;2;817;7;26;93;22;93;1;231;0;143;885;0;475;3;2466;10;"Otros";99;411;84;529;3;1958;0;39832;189658;53278;590871;8014;158465;909
2013;764,00;0;0;0;0;0;0;0;77;246;0;494;0;295;0;23896;176022;20739;495230;4018;131964;0;320;1156;114;1393;3;780;0;9;46;0;64;0;19;0;48;219;0;1134;0;737;0;25;200;0;103;0;60;0;103;736;0;27;0;1580;0;"Otros";0;0;0;0;0;0;0;24478;178625;20853;498445;4021;135435;0
2013;14,00;89;271;0;0;104;82;0;2614;6952;0;0;1580;15890;0;13;13;0;0;317;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;167;0;0;40;360;0;0;0;0;0;0;0;0;31;50;0;0;5;182;0;"Otros";0;0;0;0;0;0;0;2845;7453;0;0;2046;16552;0
2013;657,00;0;0;0;4;0;4;0;10;48;0;12;0;87;0;4197;20656;1914;85868;1249;30134;0;17;103;0;30;0;200;0;0;0;0;0;0;0;0;9;36;0;45;0;315;0;7;37;0;52;0;35;0;12;64;0;0;0;387;0;"Otros";0;0;0;0;0;0;0;4252;20944;1914;86011;1249;31162;0
2013;362,00;59;1328;0;6221;25;29;0;920;3369;0;25237;694;7500;0;2911;7380;0;93037;4066;556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;150;0;86;39;666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;3935;12227;0;124581;4824;8751;0
