"año";"NCODI";"primDiges_hosp";"totDiges_hosp";"primDigestivo_CEP";"totDigestivo_CEP";"primCardio_hosp";"totCardio_hosp";"primCardio_CEP";"totCardio_CEP";"primDerma_hosp";"totDerma_hosp";"primDerma_CEP";"totDerma_CEP";"primNeurolog_hosp";"totNeurolog_hosp";"primNeurolog_CEP";"totNeurolog_CEP";"primPsquia_hosp";"totPsquia_hosp";"primPsquia_CEP";"totPsquia_CEP";"primRestoMed_hosp";"totRestoMed_hosp";"primRestoMed_CEP";"totRestoMed_CEP";"primCirGeneral_hosp";"totCirGeneral_hosp";"primCirGeneral_CEP";"totCirGeneral_CEP";"primTrauma_hosp";"totTrauma_hosp";"primTrauma_CEP";"totTrauma_CEP";"primGine_hosp";"totGine_hosp";"primGine_CEP";"totGine_CEP";"primOftalmo_hosp";"totOftalmo_hosp";"primOftalmo_CEP";"totOftalmo_CEP";"primOrl_hosp";"totOrl_hosp";"primOrl_CEP";"totOrl_CEP";"primUrolog_hosp";"totUrolog_hosp";"primUrolog_CEP";"totUrolog_CEP";"primRestoQuirurg_hosp";"totRestoQuirurg_hosp";"primRestoQuirurg_CEP";"totRestoQuirurg_CEP";"primPediatria_hosp";"totPediatria_hosp";"primPediatria_CEP";"totPediatria_CEP";"primPreAnest_hosp";"totPreAnest_hosp";"primPreAnest_CEP";"totPreAnest_CEP";"primRehabil_hosp";"totRehabil_hosp";"primRehabil_CEP";"totRehabil_CEP";"primOtrasConsul_hosp";"totOtrasConsul_hosp";"primOtrasConsul_CEP";"totOtrasConsul_CEP";"primTotal_hosp";"total_hosp";"primTotal_CEP";"total_CEP";"otrasTexto"
2013;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;95;3274;42986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;95;3274;42986;"Otros"
2013;619,00;0;0;0;0;357;814;0;0;0;0;0;0;352;444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;709;1258;0;0;"Otros"
2013;163,00;126;363;0;0;265;583;0;0;0;0;0;0;286;510;0;0;0;0;0;0;1248;5721;0;0;315;1918;0;0;6949;14466;0;0;0;0;0;0;53;66;0;0;684;1479;0;0;640;1687;0;0;712;3309;0;0;0;0;0;0;225;683;0;0;0;0;0;0;0;0;0;0;11503;30785;0;0;"Otros"
2013;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2013;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;1465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366;1649;0;0;0;0;0;0;560;3114;0;0;"Otros"
2013;1090,00;4717;22919;0;0;3303;14620;0;0;9456;31645;3459;8576;4452;14740;1605;5403;608;7689;0;0;21342;139073;20;334;7105;31333;0;0;16565;54326;1473;4601;5059;28666;9709;30744;9988;47865;5010;15160;8334;21578;1669;3184;1682;12631;3578;19072;5665;16488;0;0;2645;16567;0;0;20205;20589;0;0;8308;23068;0;0;0;0;0;0;129434;503797;26523;87074;"Otros"
2013;764,00;2530;10215;0;0;3999;15352;0;0;12166;23373;0;0;4077;14257;0;0;3670;23661;0;0;26685;131185;0;0;5474;15764;0;0;15523;45199;0;0;8861;29927;0;0;19471;59130;0;0;8366;21735;0;0;4484;18212;0;0;11117;32580;0;0;3199;14128;0;0;10159;10159;0;0;11256;33568;0;0;0;0;0;0;151037;498445;0;0;"Otros"
2013;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2013;657,00;112;1089;0;0;165;484;0;0;2547;4064;0;0;0;0;0;0;961;4189;0;0;5066;19744;0;0;1740;4149;0;0;3562;10009;0;0;3349;8242;0;0;4820;11467;0;0;2469;7014;0;0;1243;4581;0;0;0;0;0;0;439;1578;0;0;1795;1889;0;0;2801;7512;0;0;0;0;0;0;31069;86011;0;0;"Otros"
2013;362,00;331;640;0;0;1350;6488;0;0;2102;5604;0;0;646;2016;0;0;217;475;0;0;6029;29773;0;0;926;3026;0;0;3962;22556;0;0;393;1733;0;0;1609;3692;0;0;1061;3650;0;0;508;1854;0;0;6178;17466;0;0;637;5062;0;0;7157;7157;0;0;1261;13389;0;0;0;0;0;0;34367;124581;0;0;"Otros"
2013;989,00;958;5894;0;0;684;2896;0;0;3187;5894;0;0;898;4140;0;0;603;4339;0;0;3909;22328;0;0;1435;4284;0;0;3612;9159;0;0;2205;6423;0;0;4311;10084;0;0;1528;5097;0;0;1112;3208;0;0;0;0;0;0;22;2028;0;0;2539;2554;0;0;2639;7381;0;0;0;0;0;0;29642;95709;0;0;"Otros"
2013;990,00;1393;3466;0;0;1086;2957;0;0;2136;3585;0;0;1035;2677;0;0;755;3662;0;0;5518;22550;0;0;1774;4096;0;0;3905;9746;0;0;3060;9807;0;0;3852;11997;0;0;1923;4248;0;0;1318;4066;0;0;0;0;0;0;952;2856;0;0;2390;2390;0;0;3571;7462;0;0;0;0;0;0;34668;95565;0;0;"Otros"
