"año";"NCODI";"ccaa_Codigo";"ccaa";"cod_finalidad_agrupada";"Finalidad_agrupada";"cod_depend_agrupada";"Depend_agrupada"
2013;113,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2013;619,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2013;163,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2013;131,00;"16";"PAÍS VASCO";"2";"Otros";"2";"Privados"
2013;375,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2013;1090,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2013;764,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2013;14,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2013;657,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2013;362,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2013;989,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2013;990,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2013;680,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2013;411,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2013;241,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2013;558,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2013;167,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2013;248,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2013;224,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2013;591,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2013;586,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2013;453,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"1";"Públicos_SNS"
2013;145,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"2";"Privados"
2013;511,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2013;530,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2013;6,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2013;161,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"1";"Públicos_SNS"
