"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2013;622,00;6443285;1968958;2863136;871017;1992119;10800;1202606;397785;74892;1160597;391293;769304;19101049;15373969;0;3707711;19369;0;0;80652;26860475
2013;879,00;1676084;102921;527936;255434;272502;0;996344;48883;-2482;472362;129946;342416;1217984;945868;0;271889;227;232896;2178;124524;3723546
2013;906,00;6399823;2460854;867538;66231;801307;0;2876851;194580;27702;1855934;381521;1474413;5092129;3958919;0;1133210;0;1305695;114393;2622578;17418254
2013;370,00;2039821;572984;562941;0;562941;0;707850;196046;6;979384;488323;491061;19239937;14934339;7895;4258222;39481;0;433;0;22259581
2013;418,00;2504767;139540;1055489;652138;403351;0;1259556;50182;41410;1191546;191211;1000335;3297578;2465448;0;719290;112840;195954;1319;11250;7243824
2013;574,00;1722861;401729;606727;2048;604679;0;714405;0;-212910;2405725;172653;2233072;7743966;5560777;0;1625067;558122;310115;30627;668;12001052
2013;399,00;2280161;146333;450392;2064;448328;1338203;231416;113817;-2733;317852;101682;216170;3649826;2872477;0;770621;6728;606644;0;887632;7739382
2013;195,00;828895;114215;251071;0;251071;370284;15234;78091;0;377051;85624;291427;986697;752443;0;210432;23822;180700;5062;5430;2383835
2013;783,00;86727731;38618583;30435459;9318406;21117053;1597296;14141243;1935150;23779;12328133;4913873;7414260;187897207;148737076;69330;37836157;1254644;0;100970;575087;287652907
2013;263,00;5515645;672447;1000771;61198;939573;2406338;1352154;83935;2736;865821;412459;453362;5974636;4640291;26578;1236774;70993;914938;3312;-105503;13171585
2013;194,00;634926;159808;268772;0;268772;0;79648;126698;4627;507585;130660;376925;1921388;1434612;15981;465136;5659;210043;15545;42041;3336155
2013;214,00;962504;58297;135450;0;135450;0;310335;458422;22947;1173034;0;1173034;598047;474729;7225;116093;0;3925;0;51613;2812070
2013;785,00;132555589;54251637;48510355;15384081;33126274;3508009;22475157;3810431;-686594;19024005;5930785;13093220;266234787;213422430;130616;50917377;1764364;0;-303581;779061;417603267
2013;780,00;14423972;3768917;6399395;1848391;4551004;549460;3393323;312877;-196836;2712498;974515;1737983;34385636;28024180;14128;6283013;64315;0;14044;10494;51349808
2013;782,00;55520989;23221836;21337145;6050950;15286195;3120227;6325763;1516018;75102;8449358;3803377;4645981;101178463;80982869;74202;19975020;146372;0;-301763;617774;165539923
2013;369,00;1656607;301646;221178;33;221145;0;960061;173722;0;804966;334022;470944;17759796;13765387;4750;3978478;11181;0;8269;9655;20239293
2013;84,00;197910;880;2340;0;2340;89542;12595;92553;119;85020;54780;30240;263354;212109;0;51245;0;1200;1029;0;548632
2013;713,00;3101009;164724;655664;74578;581086;1211441;935586;133594;-5082;771528;331009;440519;7373608;5680352;0;1653664;39592;1233190;7901;8079;12490233
2013;941,00;367246;32096;22920;7709;15211;0;312230;0;0;367791;17197;350594;1418750;1112834;7801;288929;9186;34246;15487;9685;2213205
2013;1091,00;6327354;694812;127818;9;127809;14924;4183013;1306787;-179;2710271;655104;2055167;56930060;44768449;122092;12028575;10944;11031;-9586;36637;66005588
2013;1045,00;10177091;697496;1254701;439145;815556;6782563;1189144;253187;88752;6410500;340044;6070456;6886082;5314531;17618;1552440;1493;2267871;117209;0;25947505
2013;1086,00;23049359;7022750;3306926;0;3306926;9560037;3159646;0;-166860;2843418;883729;1959689;18207395;14324888;0;3630423;252084;2055735;2568332;1976549;50533928
2013;937,00;39313071;15173285;15004397;3364292;11640105;3663393;4351262;1120734;32647;6207118;2198197;4008921;78892021;63384571;0;15368657;138793;0;0;155462;124600319
2013;1004,00;1657514;475058;100232;51;100181;0;1043014;39210;16773;823694;146763;676931;1031532;788896;0;241495;1141;342532;28293;295865;4196203
2013;737,00;78210225;35285620;26494936;7988026;18506910;5931379;6130606;4367684;403263;6333578;3280746;3052832;151743233;119507040;8257;30584270;1643666;0;0;0;236690299
2013;765,00;127433185;66305985;41948253;11679370;30268883;4243413;11745018;3190516;-1063076;10967243;5617395;5349848;295398190;231918709;68815;59171153;4239513;0;0;0;432735542
2013;329,00;19914507;8128081;6243193;1174882;5068311;1465376;1552702;2525155;0;992552;923401;69151;48869207;38942080;0;9475809;451318;0;0;162816;69939082
2013;87,00;2100192;567037;24440;0;24440;0;1393862;114853;0;893053;759383;133670;9357357;7285818;0;2017232;54307;0;0;218934;12569536
2013;527,00;6009160;1137499;2104418;46527;2057891;39211;1619850;1108182;0;507430;434841;72589;26285498;21114061;6998;4924894;239545;0;0;98288;32900376
2013;562,00;4662328;469127;3375727;1075888;2299839;352520;14835;450119;128144;4251352;804436;3446916;15217241;11565937;52718;3478931;119655;857513;0;71243;25187821
2013;251,00;6285400;1623047;1600316;65653;1534663;2099966;807577;154494;33136;1777579;329882;1447697;5014316;3920648;15754;1052231;25683;488322;183171;314696;14096620
2013;129,00;1365368;308547;57948;0;57948;0;767427;231446;25906;566427;176597;389830;4548495;3497692;49671;978779;22353;508743;18044;304183;7337166
2013;154,00;3196277;253336;1385806;0;1385806;100523;1290367;166245;38092;1049237;338048;711189;7819771;6232321;0;1576115;11335;847579;40988;425876;13417820
2013;516,00;5837488;1845779;2436495;157466;2279029;0;1347969;207245;-30622;4920376;449060;4471316;9093655;6990729;28440;2042668;31818;715770;-37785;166770;20665652
2013;184,00;1129851;106604;231817;0;231817;674662;40735;76033;1970;339799;104429;235370;1165151;903675;3127;257903;446;153005;0;148718;2938494
2013;652,00;4217127;1913812;204237;154237;50000;33000;694362;1371716;28735;1117532;996037;121495;19957343;19957343;0;0;0;0;0;0;25320737
2013;637,00;8293614;3267459;2494296;535434;1958862;716321;1716272;99266;0;1049751;714139;335612;23353787;18869331;0;4461617;22839;0;0;6730;32703882
2013;88,00;167797;226;0;0;0;0;1215;166356;15810;342739;133415;209324;1616090;1185608;0;416232;14250;40524;9952;78549;2271461
2013;907,00;154699;670;1850;0;1850;0;91476;60703;-2045;210637;90777;119860;945776;720140;51;202433;23152;4327;0;47259;1360653
2013;970,00;363756;9171;8152;0;8152;225893;0;120540;0;404908;121871;283037;983491;778056;6335;199100;0;107808;2892;42262;1905117
2013;1019,00;395387;147846;131455;0;131455;0;105236;10850;195800;371435;10230;361205;2502603;1903462;0;593553;5588;104763;0;24;3570012
2013;1016,00;5582911;419142;1224041;0;1224041;2707134;1103973;128621;6504;1761163;409872;1351291;2622453;2018079;41988;552156;10230;47646;65792;361191;10447660
2013;1047,00;16660503;6062210;5764979;954218;4810761;2786796;668400;1378118;-103368;7108268;2342004;4766264;43346105;35351060;0;7899607;95438;3249294;0;72;70260874
2013;635,00;15712987;7121470;4687934;379766;4308168;0;3220283;683300;-155589;2545357;508903;2036454;38463326;31374391;34192;6950715;104028;986154;0;139346;57691581
