"año";"NCODI";"totHemodina_Paciente";"totPaciente_radioInterv";"totLitofrag_Paciente";"totLitofrag_Sesion";"totAceleLineal_Paciente";"totAceleLineal_Sesion";"totBomCobal_Paciente";"totBomCobal_Sesion";"totOtraRadio_Paciente";"totOtraRadio_Sesion";"totFisiot_Paciente";"totFisiot_Sesion";"totLogop_Paciente";"totLogop_Sesion";"totTerapOcupa_Paciente";"totTerapOcupa_Sesion";"totHemodial_Paciente";"totHemodial_Sesion";"totHemodialDom_Paciente";"totHemodialDom_Sesion";"totDialPerito_Paciente";"totDialPerito_Sesion"
2013;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195;3510;0;0;0;0;0;0
2013;619,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;163,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;131,00;0;0;0;0;0;0;0;0;0;0;50;585;0;0;0;0;0;0;0;0;0;0
2013;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;1090,00;1281;1486;425;530;800;18249;0;0;0;0;15820;384258;0;0;0;0;152;15743;0;0;0;0
2013;764,00;1726;1964;360;462;744;16016;0;0;44;186;12524;103077;3003;5418;2326;24559;83;13098;1;157;56;18885
2013;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;657,00;0;441;0;0;0;0;0;0;0;0;2633;20729;0;0;0;0;0;0;0;0;0;0
2013;362,00;404;112;0;0;0;0;0;0;0;0;1261;13389;0;0;0;0;0;0;0;0;0;0
2013;989,00;0;0;0;0;0;0;0;0;0;0;1914;18690;181;2818;124;1874;0;0;0;0;0;0
2013;990,00;0;0;0;0;0;0;0;0;0;0;2243;14650;604;2097;273;1908;0;0;0;0;0;0
2013;680,00;2661;1238;196;279;0;0;0;0;0;0;5571;239108;0;0;0;0;661;12058;0;0;23;8395
