"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2013;529,00;0;0;0;0;0
2013;345,00;0;0;0;0;0
2013;515,00;9846;167;0;0;10013
2013;174,00;0;0;0;0;0
2013;523,00;0;0;0;0;0
2013;697,00;69267;7759;513;3;77542
2013;239,00;39613;4627;260;6;44506
2013;287,00;52672;4003;77;2;56754
2013;377,00;0;0;0;0;0
2013;692,00;43858;6619;64;55;50596
2013;335,00;0;0;0;0;0
2013;435,00;15158;1498;128;39;16823
2013;423,00;7343;1433;0;0;8776
2013;351,00;15938;3485;155;9;19587
2013;810,00;7759;446;0;0;8205
2013;830,00;55136;9032;372;49;64589
2013;892,00;82252;12110;774;104;95240
2013;921,00;78511;7589;86;1;86187
2013;991,00;15728;307;134;8;16177
2013;992,00;46812;5305;576;54;52747
2013;993,00;17592;4308;72;8;21980
2013;1070,00;107165;15837;600;120;123722
2013;1095,00;2278;296;39;1;2614
2013;1094,00;2016;24;33;1;2074
2013;473,00;22222;3982;47;0;26251
2013;663,00;99100;12063;4297;157;115617
2013;552,00;10800;14;873;0;11687
2013;772,00;67410;14442;2424;476;84752
2013;568,00;5143;194;0;0;5337
2013;398,00;6251;1040;12;0;7303
2013;394,00;5634;350;5;0;5989
2013;614,00;0;0;0;0;0
2013;235,00;4756;91;4;0;4851
2013;616,00;37901;1336;2461;1;41699
2013;267,00;15025;2249;75;1;17350
2013;565,00;0;0;0;0;0
2013;220,00;13535;1605;37;1;15178
2013;278,00;15310;1200;85;0;16595
2013;107,00;0;0;0;0;0
2013;141,00;0;0;0;0;0
2013;711,00;112130;18111;4821;207;135269
2013;204,00;288;1;1;0;290
2013;579,00;100609;982;15;0;101606
2013;348,00;0;0;0;0;0
2013;766,00;14482;1097;223;0;15802
2013;761,00;0;0;0;0;0
2013;728,00;36579;6067;313;17;42976
2013;280,00;34569;2056;269;0;36894
2013;222,00;860;109;0;0;969
2013;276,00;68434;2961;684;0;72079
2013;11,00;14581;3569;29;3;18182
2013;302,00;23225;226;42;0;23493
2013;682,00;13113;1724;159;12;15008
2013;279,00;66644;4822;119;1;71586
2013;282,00;84920;5269;197;0;90386
2013;281,00;39719;6941;77;26;46763
2013;183,00;1375;23;0;0;1398
2013;610,00;11942;27;0;0;11969
2013;116,00;0;0;0;0;0
2013;115,00;0;0;0;0;0
2013;114,00;0;0;0;0;0
2013;126,00;0;0;0;0;0
2013;119,00;41;12;0;0;53
2013;770,00;86974;11269;1544;127;99914
2013;583,00;49642;3809;651;23;54125
2013;136,00;0;0;0;0;0
2013;469,00;25609;2286;170;6;28071
2013;642,00;45190;6800;1009;64;53063
2013;674,00;116772;10090;161;4;127027
2013;193,00;0;0;0;0;0
2013;526,00;92596;12096;629;65;105386
2013;698,00;73541;12813;6218;235;92807
2013;630,00;53831;4329;467;17;58644
2013;124,00;0;0;0;0;0
2013;364,00;0;0;0;0;0
2013;604,00;119725;14025;1999;19;135768
2013;123,00;0;0;0;0;0
2013;310,00;1953;953;0;0;2906
2013;571,00;46736;4350;1075;39;52200
2013;296,00;5060;0;0;0;5060
2013;566,00;67500;1404;107;78;69089
2013;784,00;111236;17764;3933;367;133300
2013;102,00;0;0;0;0;0
2013;379,00;4824;1064;503;0;6391
2013;639,00;81164;7975;1510;12;90661
2013;457,00;26166;1328;372;18;27884
2013;609,00;100116;8804;161;2;109083
2013;101,00;0;0;0;0;0
2013;454,00;43220;6357;836;18;50431
2013;318,00;2650;906;155;0;3711
2013;600,00;54750;5610;820;7;61187
2013;545,00;96844;8058;925;115;105942
2013;100,00;0;0;0;0;0
2013;702,00;103592;10131;384;148;114255
2013;778,00;46067;7652;348;27;54094
2013;341,00;4781;215;62;0;5058
2013;99,00;0;0;0;0;0
2013;767,00;37033;3824;1465;68;42390
2013;359,00;43075;117;1423;8;44623
2013;98,00;0;0;0;0;0
2013;132,00;0;0;0;0;0
2013;97,00;0;0;0;0;0
2013;103,00;0;0;0;0;0
2013;110,00;0;0;0;0;0
2013;94,00;0;0;0;0;0
2013;91,00;0;0;0;0;0
2013;664,00;91466;11135;1076;75;103752
2013;918,00;163498;23286;4889;435;192108
2013;92,00;0;0;0;0;0
2013;95,00;0;0;0;0;0
2013;96,00;0;0;0;0;0
2013;301,00;17855;11;10;0;17876
2013;492,00;58645;4035;850;26;63556
2013;811,00;8682;922;72;2;9678
2013;812,00;0;0;0;0;0
2013;832,00;0;0;0;0;0
2013;113,00;0;0;0;0;0
2013;619,00;12200;412;0;0;12612
2013;163,00;2909;76;3;0;2988
2013;131,00;0;0;0;0;0
2013;375,00;428;1;132;1;562
2013;1090,00;137463;20601;350;51;158465
2013;764,00;118312;16535;472;116;135435
2013;14,00;15635;606;311;0;16552
2013;657,00;27770;3037;324;31;31162
2013;362,00;8252;424;74;1;8751
2013;989,00;19760;2062;395;27;22244
2013;990,00;25931;3350;552;39;29872
2013;680,00;118815;18466;3901;64;141246
2013;411,00;31118;2721;63;4;33906
2013;241,00;29488;2589;26;2;32105
2013;558,00;36831;7458;278;64;44631
2013;167,00;1766;144;4;0;1914
2013;248,00;8729;2660;159;6;11554
2013;224,00;17329;747;14;2;18092
2013;591,00;66505;11123;544;47;78219
2013;586,00;62203;12984;305;75;75567
2013;453,00;1153;119;0;0;1272
2013;145,00;0;0;0;0;0
2013;511,00;50335;10081;512;76;61004
2013;530,00;56679;11354;338;52;68423
2013;6,00;11260;1009;0;0;12269
2013;161,00;0;0;0;0;0
2013;623,00;69948;12379;748;87;83162
2013;489,00;3936;553;64;0;4553
2013;875,00;29063;2562;50;4;31679
2013;940,00;0;0;0;0;0
2013;946,00;25065;5114;141;10;30330
2013;1023,00;56542;13017;227;74;69860
2013;1054,00;44309;8917;142;88;53456
2013;1057,00;0;0;0;0;0
